,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10/06/2021,Howtoapproachandhelpfriend,Jms7985,"Hi there.
I have been friends with this girl for over 10 years and she moved in with a model during COVID.
Ever since she moved in with her new roommate, her eating habits have changed drastically along with her weight. She has had her struggles in the past with body image, but this feels like a lot different and honestly way worse.
She eats all of her food when she’s around me, snacks when i snack, asks for snacks/food, and will announce when she’s hungry, so I can’t assume she’s not eating.. (we are together almost everyday) but when we’ve gone grocery shopping in the past, she would only buy a few types of food. Her fridge is always empty when I’m over, and i never see her eating at home.
Recently she has been showing spiraling and high risk behaviors and blacks out constantly when she drinks. She endured a concussion recently & the doctor advised her to not drink, workout, or work and she did all of the above and pretended she never had one. She works out constantly, and if we eat something “fatty” she will instantly start doing jumping jacks in the living room, run around in circles, or try to go for a walk “to burn calories.” She has an Apple Watch and is obsessed with checking other peoples movements, and “closing out her rings.” We recently took a picture together and that’s when i really realized how tiny she has become as i could really see the bones in her upper body.  Our friends parents are constantly making comments about how skinny she is, and its very uncomfortable and all i want to do is help.. her family has the mentality of entitlement and denial.. so I’m unsure if going to them for help is going to hurt or actually help.
I care about my friend immensely, we have a tight group of girls and we all have noticed her behavior changes along with her incredible weight loss. I have no idea how to approach this situation, I’m doing all the research i can, and I don’t even know where to start or how to help her. She struggles with PTSD, depression, and has had domestic violence in her past.",BobJ48,"Fri,10/15/2021-3:55pm","First off, I'm sorry that your post sat here unanswered for so long.  NEDA has these forums, but for whatever reason, none of their people seem to put much time into helping with them. So it's pretty much whoever shows up from the public to help. In any case, yeah, what a mess.  I think it's safe to say that your friend is in serious trouble.  EDs can really get it's claws into a person, and it sounds that they are into her deep.Plus she's in one of the earliest stages of an eating disorder too.  The part in the beginning where it feels super-rewarding.  Boy oh boy, if a person just works hard enough, is hypervigelent, and applies massive amounts of self-dissipline , look at the amazing things that they can accomplish !!  So yeah, it's all good, right ? Except they aren't hip to  the part about how they're going crazy.  And how their mind is being taken over.  They still have this wonderful feeling of control, whereas what's really happening is that their ED is controlling them.   But when they are in this early stage, it's hard for them to see any of that.   It's true that other people might be  showing concern, but those other people…they  just don't get it about how great it all is. The next stage may be the ""Uh oh, maybe I am in trouble"" stage, but it sounds like she hasn't reached that stage yet.  Because yes, the  whole thing can start getting emotionally darker for the person, once the reality of their situation starts to sink in. What anyone can do, it's hard to say.  One thing that people with EDs frequently do is to begin to withdraw from their friends, and start withdrawing from the world and it's activities  just in general, as their ED thoughts start to become  all that their brain can think about.  As her friend, you may be in a position to help with seeing that that doesn't happen.   Like keep in touch with her, make sure she shows up if you invite her out to things, and do whatever you can to keep her engaged in the every-day world. The PTSD, depression, and abuse issues may start to get worse as well.  Sometimes people use the mental distraction of EDs to try and keep those concerns at bay, but as things begin to play out further and further, those old issues usually start to come out again. "" I know that things may be kind of rough for you now""…saying something as simple as that to her might be more helpful than you might think. Otherwise, yeah ; don't let her start pushing you or her other friends away.  EDs can turn into a pretty lonely thing, and you can help by seeing what you can do to not allow that to happen.",,,,,,,,,
1,08/12/2021,Idon'tknowhowtotalktomyfriendabouthisanorexia,Satine,"Um I just signed up on this website to do a forum and don't quite know how to really start in on this but I'm going to give it a try. So a guy in close to and recently dated at one point briefly brought up how he is anorexic. He doesn't share these personal things or topics with me often if at all (it's usually because I have to push him to tell me when I notice somethings wrong).  And I don't think he has really told anyone else about how he is anorexic. I'm just figuring out and researching anorexia but I don't know how to help him. He has had a troubled past with a lot of trauma and he doesn't seem depressed per se and would never self harm or harm anyone around him. However he very much has a mindset of ""if I get help from someone then I am weak and I must be strong"". So I don't know how to help or talk with him on the matter of his anorexia among other things if he doesn't want help. He has a lot of stress in his life right now too with school and the fact that his mom might have cancer so he will need to help pay bills for it. He also isn't big on talking about himself or personal things unless you push him and even then he doesn't always open up. Aside from that I realized that he smokes Marijuana as a form of self medicating his trauma especially so he can get through his day and night. But I've read that it can be the cause of not eating or not getting good sleep, is that true? And if so would it be safe for him to stop using Marijuana when he uses it as a crutch? And is there any reccomendations on how to help him without him feeling like he is weak? I really care about him and want to help, I know he also wouldn't be okay or feel comfortable talking to a therapist or professional about it nor do I know how serious his anorexia is yet.",BobJ48,"Thu,08/12/2021-10:07pm","Yep, the worries about ""being weak"" can be a concern alright.  Particulary for guys.  They can have a lot of fears around that, it's true.But…what about facing our fears ?  And going ahead and doing the thing that we fear ?  Is it a weak person who does that, or a strong one ?He also may fear that he did get help…things would still turn out to be impossible. That it wouldn't help or make any difference, and then what would he do ?So yeah, people have to take risks sometimes.  Which is another theme you might use.  Strong men are willing to take risks, it's a thing they are know for.  So that's a point you could make too.Even so, you won't want to seem like you are being coercive.  These are just some things to think about. Things which he may already be thinking about, you know ? Folks with EDs can feel alone with their thoughts, so having someone who understands these things can be helpful too.Anyhow, just some thoughts.  Keep in touch if it seems to help ?",,,,,,,,,
2,07/25/2021,Helpingafriendfiguringoutifhehasaneatingdisorder,Aconcernedfriend,"My friend (male 20) thinks he has an eating disorder. I am not sure it is one but I would like to help him as much as possible. He has said that he hasn’t felt like eating “because it is not fun” for a few weeks now. Today he texted me that he was trying to eat and after a few bites he felt like he was going to throw up so he had to stop eating. He said the taste had made him feel that way and it has been happening for over a week. This current meal he was actually excited about which hasn’t happened in a while so now he is concerned.
He is a bigger guy even for his height so he’s always eaten a lot but his intake has diminished because of his lack of wanting to eat. Is this why he feels gross when eating?
Is this an eating disorder and if it is how can I help him to make sure he is eating and taking care of himself?",,,,,,,,,,,,
3,03/28/2021,ShouldIInformHerParents?,ananonymousfriend,"Okay, I'll try to keep this brief. So, recently I noticed that my best friend was starting to get thinner. In hindsight, I hate that I commented on it to begin with, since that probably just fueled her determination to harm herself. But, I digress. I asked her what she was doing, and she seemed kind of hesitant to answer at first. Then she said that she was just cutting out snacks. In my mind, I just figured that she was cutting back on overeating, which I thought was a good, healthy step. Fast forward, and then I realized she wasn't bringing lunch to school (she packs), and then I realized I couldn't remember the last time she brought lunch to school. I know she doesn't eat breakfast, so now without eating lunch, I put two and two together and realized her method of getting 'healthy' is by forcing herself to not eat.
I tried talking to her about it recently and sat her down and addressed the situation. Her response was that she was fine and I was overanalyzing the situation. I even asked her what she had been eating recently, and she refused to tell me when the last time she had a full meal was. Her excuse is that she's not hungry. So then I packed her lunch for school and gave it to her (I said she left it in my car so no one would think I actually made her lunch). I don't know if she ate it or not, because I found out that she likes to lie to me so I won't worry.
I told her that if she doesn't talk to her parents about getting help that I will. However, I think she lied to me about actually doing that. I know I'm not a doctor, but what she's doing is all in line with an eating disorder. Especially since the two times we hung out with our other friends, she was fine until food was placed in front of her. Her hands would shake as she held the food in her hands and she looked really withdrawn and ill.
Now, her cousin just died from COVID and I don't know if it would be inappropriate to reach out to her mom and tell her that she isn't eating. Her mom's been praising her appearance lately too, which, to me, demonstrates that she didn't actually tell her mom what she's been doing. I mean, what parent would comment that after finding out their child hasn't been eating? I don't know what to do. Any advice would be much appreciated.",BobJ48,"Mon,03/29/2021-3:35am","Oh brother, it's hard to say about this. Because it sounds like you are right in your suspicions.  There are certainly those who will tell you that it's your responsibility to tell on her, and they may have a point. But ""the responsibilities of friendship"" can be pretty tangled sometimes. Combine that with the fact that it's possible that her parents would not believe you. Like how no one wants there to be ""a problem"" you know ?  It's can be pretty amazing sometimes, how people don't see things which are right in front of their eyes.
Just a suggestion, but  you might want to talk to the counselor at school about this, and see what she has to say ?  If it comes down to telling her parents, she might be the most effective person to do that ?",,,,,,,,,
4,02/26/2021,CanIGetSomeAdvice,shawn7851,"So I met this girl online and after a little while of talking to her she admitted to having an eating disorder to me, this is something new for me and while I did my best to support her as much as possible until the other day when I made a huge mistake, I did not know that her situation was currently as bad as it was in the past. But as we were talking she went to go eat breakfast and when she came back all she had was some nuts, later on in the day she was hungry so naturally I told her it was okay to go get some food, she refused and then insisted she wasn't hungry anymore, and then I said one of the worst things possible, I said ""the nuts didn't fill you up."" I realize I made a huge mistake and owned up to this and now after talking to her for about 8 months she wants nothing to do with me. For her this is a big deal because she's had negative comments from her friends and family before and I knew that. Is there anything I can do to help fix the situation or support her going forward. I feel terrible and I always had the best intentions but something I said as a joke ruined everything and I didn't even think about her eating disorder when I made this comment. If I had just thought about what I said before I said it, I wouldn't be in this situation. But I can't take back what I said and I own up to my actions. I just would like some advice if anybody has been in a situation like this or if you've been a victim of negative comments.",_admin_moderator,"Sat,02/27/2021-10:22am","Hi shawn7851, Welcome to the forums. We are glad that you reached out for some advice and support. We wanted to remind you that you can always reach out to the NEDA helpline if you feel like you need more support or access to more resources in the meantime. The helpline phone hours are Monday through Thursday 11am-9pm ET and Friday 9am-5pm ET and can be reached by calling 800-932-2237; you can also use the online chat to speak to someone Monday through Thursday 9am-9pm ET and Friday 9am-5pm ET. There are also some resources for friends here. Keep posting and stay strong!",BobJ48,"Thu,03/04/2021-2:15pm","(Sorry your note sat here for a while.  For some reason, sometimes it seems to take a while for notes to get posted. )"" I said ""the nuts didn't fill you up."" I realize I made a huge mistake and owned up to this and now after talking to her for about 8 months she wants nothing to do with me. ""This has got to be a bummer I know, but really, after 8 months of being friends with her, that should all go down the drain because you mentioned some nuts ?  I know it may have been the wrong thing to say, but when you think about it, friendships should be more resilient than that. Plus she should know you well enough by now to understand that you only said it out of care and concern. But this can be the way with eating disorders though.  People who are right in the thick of it can get really edgy, and find that they have become sensitive to the slightest of things.  Out of consideration we should try and be sensitive to this in a general way, but at the same time, we shouldn't have to find ourselves having to walk on eggshells all the time.  Our level of care for the person should count for something I think, and that's something that she should realize as well. So yeah, maybe it's all just bad business.  I'm not sure that we should be required to twist ourselves into mental knots, simply to be friends with someone.  Granted the person may not be responsible for the situation that they find themselves in, and the effects that it has on them,  but at the same time they still kind of need to live in the real world, just like the rest of us do. If it were me, I'd hold off on the apologies, and recommend keeping it really simple if you write to her about this: ""I know what I said may have upset you, but I hope you can trust in my good intentions and the friendship we've shared.""Which is kind of it in a nutshell, you know ?",,,,,,
5,12/08/2020,WorriedBestFriend,eeel123,"Hi there,
I've been growing increasingly nervous around one of my best friends. Over the summer I had noticed her losing some weight, and exercising more, which I thought was her just trying to get healthier at first, but recently, it's become noticeably much. Another friend came up to me as well and asked if she was alright. I guess because I'm around her so often it wasn't exactly clear how thin she had become until I had taken a step back and really looked at her. Recently she started an instagram page that was all about food, and I saw her in our free time scrolling through pages of meals, which I didn't think was weird until I realized that I never really see her eat much of the meals that she makes. This was around the same time she started to get quite thin as well. When we go out to eat, or she comes over for a long period of time, I will rarely see her eat, she never says she's hungry, and she will always reject food when I offer her some unless it's a set lunch or dinner that she has previously agreed to. She used to get excited over food and other activities, but has grown quiet and reserved, and maybe just less enthusiastic overall and now I am mainly the one to initiate meals. I have been friends with her for nearly 10 years, and am wondering if I should just ask her if she is alright and make sure to clarify to her why I am asking? You'd think I'd be more comfortable checking in on such a close friend but I am really scared, because I just want to help her more than anything and I guess I am asking for confirmation that I should at least try.",BobJ48,"Thu,12/10/2020-5:54pm","I think you have every right to be concerned.  While no one is a doctor here, the behaviors you've noticed…they really are the sorts of things someone with an eating disorder would do.  The apparent anxiety around eating, while simultaneously looking at al sorts of ""food porn"", along with what you said about her mood becoming more quiet and less engaged.It's normal to be concerned, and wonder what's going on in situations like this.  To my mind, it falls under the category of ""obligations of friendship"", if you know what I mean ?  One other thing to keep in mind is just how alone with their concerns people with eating disorders can often feel.   Of course it's possible that she's still in the ""denial"" phase of her ED, where she still believes that everything is fine, but from what you've said, she may also be in the ""Uh oh"" phase too, where she's becoming aware of how much power these ""habits"" are starting to exert over her, and over what would otherwise be the normal course of her life. So if it were me, rather than confronting her face-to-face (which can often be terrifically awkward and unrewarding) think about writing her a letter ?  Something she can read in her own good time, and have time to think about, you know ?   And have time to consider how she'd like to respond as well. Also keep this in mind - Not everyone would be willing to step up like you are doing.  While it may create some tension, you've also taken a chance of your own for her.  And she may understand that that in itself counts for something.In any case, it can be quiet here at times, but I hope you see this reply.  And that if there are developments, you'll feel OK about posting.",,,,,,,,,
6,11/29/2020,concernedaboutnewfriend,canshecicero,"Hello, a little background info: I'm 21F and struggled with anorexia when I was a teenager. To cut the story short: I think this girl at my uni I just met this semester (oct 2020) is seriously struggling with an eating disorder, but I don't think i know her well or long enough to do anything.So a few things that raised my suspicions - starting off with the visual aspects, it is pretty clear that she has a ""low bmi"". Also she wears baggy clothes  - we study in the medical field, so we had to take each other's blood pressure and hers was exceptionally low - due to the pandemic we're not allowed to eat on campus, so I can't really tell you anything about her eating behavior, but I visited her dorm once (when she insisted on walking there instead of taking the subway) and food-wise there wasn't much to see. Of course this could be an innocent typical college dorm but I don't know honestly - likes a lot of ""physical"" posts on social media, being bodies or specific body parts like legs etc. (could be seen as th*nspo?) - Lastly, we had a lot of group assignments and we always work together. For our last assignment she didn't really do anything so I asked her if she was okay and she told me she had some personal issues. I told her she could talk to me and she thanked me and told me that she would soon. I really want to help her, but I have no idea how to approach her. As I mentioned before, I have struggled with eating disorders myself and I'm still recovering, and from what I remember i did NOT like to talk about it at all. Anyone know how to help?",BobJ48,"Tue,12/08/2020-4:31pm","Hey there.   Sorry your post sat here for a while, but hopefully you'll get a chance to see this.Standard disclaimer : ""None of us are doctors"" and etc.  Having said that, I'm pretty sure that you can trust your instincts about your friend, and what her issues might be.   So yeah. And exactly like you said yourself - "".. and from what I remember i did NOT like to talk about it at all. ""   Which is a legitimate issue.  I work on some other message boards for people with EDs, and people often talk about seeing other people they know who have them too, and how it's really hard to come out and say anything face-to-face, even though both people are probably well-aware of what the issue is . So….you might want to write her a note or a letter, and mention that you understand what she might be up against, tell her a little about your own situation.  And then see what comes of that ?Because you know how it can be, I'm sure - people can feel awfully alone with their situation sometimes, and just knowing that someone else understands can make quite a difference itself.",,,,,,,,,
7,07/24/2020,freeonlinetherapy?,Kaisa,"hi, my friend recently came forward about struggling with an ED. they believe therapy would help, but thinks that telling their parents wouldn't be helpful (parents most likely won't pay for therapy). i was wondering if anyone knows some free online counseling/therapy resources?",_admin_moderator,"Sat,07/25/2020-2:21pm","Hi, Kaisa, welcome to the forums! We are glad you are here to seek help for your friend. Here at NEDA we have a resource from our website you may find helpful in finding free/affordable ED treatment, here is the link: https://www.nationaleatingdisorders.org/helpline-financial-II. We wish you and your friend the best during this time and again, welcome!",alancorea,"Fri,08/14/2020-8:12am",I can suggest the group therapies. They really help.,bunntea,"Fri,11/06/2020-1:30pm","Hi! This may be too late to do any good, but I can recommend X, previously known as X. It's a free chatroom service with certified counselors that can help people talk through things in a safe group setting. I hope this helps!",_admin_moderator,"Fri,11/06/2020-2:57pm",While we appreciate your support of another member we are writing to let you know that we have had to edit your post of the outside resource you suggested as this is not permitted on the forums. If you have any questions please feel free to review our community guidelines or give us a call at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET or chat with us online M-Th 9am-9pm ET and F 9am-5pm ET.
8,11/03/2020,CanIhelpanAcquaintancewithED?,bunntea,"Hi, my best friend's brother has been showing signs of an ED for quite some time now but I've never known if I should do or say anything because we are not very close. I live 3 hours away so I don't see him often and we rarely chat or anything like that. I heard from my mom that he's reached out and is presumably going to receive help for his ED. The thing is, he is a part of a family that all have toxic relationships with food and they praised him when he began suddenly losing a dangerous amount of weight, so his recovery will likely be extremely hard on him, if he even is able to. I'm afraid he won't be able to recover in his environment but I don't know if I'm even capable of supporting him because we rarely speak. Is there anything I can do? And is it even in my place to say anything? I'm afraid for his health but I'm really not sure if it's any of my business.",,,,,,,,,,,,
9,10/06/2020,HowtohelpafriendsupportmeandmyEDrecovery,anne91405,"Today I told my best friend about my ED. I want her to be apart of my recovery and for her to be there for support. She also said she wants to support me but I know that she has no clue how. What do I do to help her support me? How do I educate her on my ED (anorexia)? I have also only been diagnosed and in recovery for less than two weeks. I was hospitalized for 6 days and then I have only been home for five. I've only had one FBT (Family Based Treatment) therapy session. I am nowhere near recovery, I have literally only just started.",_admin_moderator,"Wed,10/07/2020-11:16am","Hi! Thank you for posting. We’re sorry to hear about what’s going on but it's encouraging to hear that you're interested in how your best friend can support you! First, here is a page on how to open up about your concerns: https://www.nationaleatingdisorders.org/sharing-concerns-about-your-eati.... Second, you asked how you can educate her. We have a resource called the Parent Toolkit. This can be read by any loved one and has a wealth of information regarding eating disorders and may help in terms of her supporting you. Here is the link: https://www.nationaleatingdisorders.org/toolkits. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines.  If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. Phones are open Monday-Thursday 11AM-9PM EST and Friday 11 AM-5PM EST. Our Click to Chat is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can click the chat now option at the top right hand corner!  Please continue posting! ",BobJ48,"Wed,10/07/2020-1:05pm","Hey Anne,It's brave of you to want your friend to help support you.  So I guess what I would say is…what do you think she could that would feel most helpful to you ?Lot's  of people would like to help their friends who have EDs, but unless the person tells them what feels helpful, they don't really know what to do. Educating herself is a good start, but I'm not sure that that needs to be your job to be her teacher,, so as mentioned above, she might want to check around and see what sort of resources there are that can help her get a better idea of what you are going though. For a start, that is.But yes, she will be wondering what else she can do, and you may have to be the one who lets her know what would feel best to you.You know how it can go with EDs I'm sure - all those ED thoughts 24/7 and the like.  So maybe she can help you do just normal sorts of things, like going on hikes and things like that, which can help people's minds not stay stuck in those ED thoughts all the time ?",,,,,,
