,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,05/25/2021,reactionarybingeeating,lookingforhelp,"Hi everyone,
I think my sister has a binge eating disorder but any time I try to bring up getting help to her, it always results in more binge eating. I don't know how to talk to her about getting help because I'm always scared it's going to result in a binge. Does anyone have any experience with this and how did you successfully stop this cycle? Also, I've read in guides that when you talk to them about getting help you should try to limit mention of food or their eating habits, but I'm not sure how to site my concerns about her binges otherwise. Does anyone have any advice? Could you give me examples?Thank you!",,,,,,,,,,,,,,,,,,,,,
1,03/06/2021,IsuspectmylittlebrotherhasanED,leon2019car,"Yesterday my dad called me and told me he thinks my brother has been throwing up after meals. He noticed that my brother doesn't drink any liquids when he eats and the promptly chugs liquid after dinner. He also noticed obvious throw-up underneath the toilet. My dad told me that he confronted my brother about it, asking him if he's been throwing up after meals. My brother denied it and said the throw up was from one time when he ate too many snacks and felt sick. I am in my 20s and don't live with my family, but when I was home last I noticed my brother skipping a lot of meals because he slept in so long. I really only saw him eat dinner, but he said he ate snacks at night when he was still awake playing video games and we were all asleep. He's always considered himself ""chubby"" and I remember him struggling as a kid regarding it. I am also realizing that he's been obsessed with always chewing gum for the past few months. Maybe that is his way of trying to cover up his breath after purging? My dad had an eating disorder when he was younger for 14 years. He somehow managed to stop his behaviors entirely by himself and seems to think my brother will do the same. I feel so sad and worried and scared. Yesterday after I found out, I reached out to my brother just to play a game online with him and have a casual conversation. I didn't bring anything up about his eating habits because I want to make sure I'm the best support person I can be. Our parents aren't the best proponents of mental health and positive guidance. I also feel so guilty for being far away and not being able to be with him in person. I will be going home in a week though. He hasn't been diagnosed or anything but I don't think I'm overreacting, but maybe somehow the throwing up was just a one time thing? I don't know what to think - I want to take this seriously and be helpful but I also don't want to overreact and be overbearing. Any advice or thoughts would be greatly appreciated",BobJ48,"Mon,03/08/2021-6:22pm","Yeah, who knows what the situation is.  But the idea that your dad would think to mention it to you…He probably wouldn't do that if he wasn't concerned.  I suppose he could be overly sensitive to the matter, having had an ED himself, but then again because he did have his own struggles he may have an eye for things.  For now, it sounds like it could still be hard to draw conclusions. If it were me, I think it's good if you can just be supportive of your brother as a person.  As far as ""symptoms"" go, I'd keep an eye out for various ways that he feels about himself.  People with EDs are often really harshly self-judgmental about themselves, and can question whether they are worthy human beings, so that might be one thing you'd want to look out for. Otherwise, it sounds like it's still too early to tell.  If your dad continues to find ""evidence"" though, that would be a matter for concern.",,,,,,,,,,,,,,,,,,
2,02/21/2021,WorriedaboutsisterandherhabitsaretriggeringmeEDthoughts,indigo123,"So basically I am working on a better relationship with food but it's really hard when living at home with my sister. I have noticed she has become more aware of what she is eating, the amount, and avoiding certain types of food. She doesn't really eat that much anymore and has started exercising. This is making it really hard for me to recover and be in a peaceful state with food when I can see that she isn't quite. I also noticed on her laptop that she had been searching for weight loss advice. By no means do I think she should or needs to lose weight, she is on the smaller side anyways, is fit and healthy. She is quite defensive and if we try to ask her anything around the topic she shuts us down and walks off. Having said this, when she sees me making food and it doesn't look like a lot she shows concerns which is helpful for me, but also I don't think she takes that for herself. What shall I do?",_admin_moderator,"Mon,02/22/2021-12:53am","Dear indigo123, welcome to the forums. We slightly edited your post to remove specific clothing sizes and a mention of a specific food, which are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",BobJ48,"Tue,02/23/2021-2:24pm","""She is quite defensive and if we try to ask her anything around the topic she shuts us down and walks of...What shall I do?""Good question.  I never think it's a good idea to focus on the food and eating part.  As you said, she just gets defensive.  But what you might do is ask her about how she's feeling about herself as a person.  Does she view herself as ""a good enough person"" ?  Or perhaps she is having social issues at school, or difficulties within your family?Like what is it that might be causing herself to worry if she's an acceptable person or not ?   While you may not be able to tell her how she should or should not be eating, the things which may be pushing her towards thinking that if she only lost weight, her self-doubts and such, maybe those are things she might be willing to talk with you about ?",,,,,,,,,,,,,,,
3,01/08/2021,Isuspectmysisterhasaneatingdisorder.HowinvolvedshouldIget?,Froggie8,"I have an awesome little sister who is going to turn 17 in March. I am concerned that she has developed an eating disorder or is on the path to developing one.
  Recently, my family and I have noticed that she is not on a regular eating ""schedule."" She will skip meals, sleep through them, or just have a snack. None of her food choices are very healthy, even though my mom makes healthy dinner options for her. She instead opts fast food. At first, I just assumed her altered eating was a result of a ""quarantine"" blues type of thing, but her habits aren't changing.
  My eyes weren't truly open to the situation until today. I was with my sister and her boyfriend on a shopping trip. I told her that she was looking really skinny (which I realize now is not the way I should have brought up my concern) and I again expressed my worries about her skipping meals. She admitted to me for the first time that she has a fear of gaining weight. She assured me that she doesn't ""starve"" herself and she eats when she is hungry. I started reminding her how she needs to eat healthier in order for her body to function. She responded that she ""doesn't want to get fat,"" and so I reminded her that if she was concerned about that part, she could always stay active and exercise. She told me that she didn't have time to exercise. At that point in the conversation, I then asked her if she had an eating disorder. She didn't say yes, but she didn't say no. I don't think she is certain either way herself.
  I told her that she needs to talk to our mom about all of this. She said she ""might,"" but told me not to discuss it with my mom.
  My question is: how much or little involved should I be? And what does the involvement look like? Do I let my mom know of the conversation that I had with my sister today, even though my sister told me not to mention it? Or should I stay out of it, knowing that my sister may never independently seek help? Either way, I am going to research how to be supportive in situations like this. Right now, she's in a world of high school self-consciousness, fake social media body ""influencers,"" and a relationship in which her boyfriend is incredibly body-image conscious.
  This is my first experience with someone close to me having a challenge like this (that I know of), so any advice is appreciated. I know how serious this issue is, and I would hate to see my sister hurt. I'm just unsure if it's my place to discuss it with our mother or not.
  Thank you.
P.S.: Now that I look back on our conversation today, I realize that I may have addressed my concerns the wrong way. I will be educating myself on ways to be supportive so that I will be better prepared for future situations.",_admin_moderator,"Fri,01/08/2021-2:56pm","Dear Froggie8, it's great that you would like to support your sister during this difficult time! Please do not hesitate to contact our Helpline to discuss how you can support your sister during this time. Helpline's number is 800-931-2237 or you can chat online here. ",clarabd,"Wed,01/13/2021-9:59pm","I’m sorry your sister is going through this and I’m sure it must be hard for you to watch that. I think your sister is lucky to have you there to support her and it’s great that you’re there for her. And it’s important to inform yourself on how to help her so it’s good that you’re researching it.I think you should tell your mom. It might not be what she wants but it’s what she needs. She can't fight this alone. She needs a support system. A therapist would probably be helpful too. When you talk to her about it, a warm loving supportive approach might be best for her. You’re probably upset or angry but try not to take those emotions out on her. It’s not her fault.I think it’s a good sign though that she’s coming to terms with the fact that she’s sick by saying she might have an ed. It’ll be easier to get her to start treatment since she’s not so much in denial.",BobJ48,"Fri,01/15/2021-4:53pm","One thing to keep in mind : people with Eds often struggle with a lot of self-doubts. Doubts that go beyond food and appearance. One of these doubts is the ""good enough"" thing.  They'll just never be good enough (as a human being) until they get thin.  Or until they can show the sort of rigid self-control and self-discipline that's needed to conquer their hunger and natural urges to eat. Perhaps you see what I mean ?   Their psychological worries and concerns about themselves and their sense of worthiness in the world end up getting played out in all this weird stuff that has to do with thinness and eating.  It can get to a point where it's  like they are at war with themselves, and the normal functioning of their body in an attempt work up their self-esteem. So that's something you might want to ask her about.  If she feels ""good enough"" as a person ?  You might be surprised at what she finds herself saying.But…it's probably not going to help for you to tell her how wonderful you think she is.   A better response might be ""It must be difficult to find yourself struggling with thoughts like that. ""   If you see what I'm getting at ?   Try and put yourself in her shoes if you can, when you are trying to craft a question or a response. Otherwise yeah ; she'll not want to find herself falling deeper into this.  The danger is that these associations with eating and being an adequate human being can get etched into her brain in a manner that begins to be beyond her control.  The longer her thinking goes down this path, the deeper and more persistent these thoughts become.   When you hear people talk about if it's possible to really recover from an eating disorder, this is kind of what they are talking about.  How this stuff can bore itself into a person's mind and never leave, even when every bit of the person wants it to. So while it may seem like a betrayal to tell your mom, if you think she's the sort of person who will react in a sympathetic way, then you might want to tell her.   Because time itself really can be a factor in this.",,,,,,,,,,,,
4,08/05/2020,Respondingtoweightcomments,SUPPORT4SISTER,"My younger sister has begun treatment for ED which is great, but I'm struggling as a sister to help her when people comment on her drastic weight loss. She has admitted that there is a part of her that wants to hear these comments to reassure her weigh loss, but the other part of her is torn apart. Unfortunately we live in a world where people feel it's acceptable to make these comments, and as an older sister I have jumped to her defense in simply saying that the person making the comment ""Doesn't need to mention it."", but I don't know if this is the best way of handling it. Should I give her the opportunity to respond? Is there a better response without divulginf her ED? Any advice is appreciated!!",BobJ48,"Fri,08/07/2020-2:29pm","Hey there.I wasn't quite sure what you meant here.  Were you wanting to know what to say to the people who make those kinds of comments to your sister ?  If so, I'm not sure what to tell you.  Here in the US it's rude to say those sorts of things, but I know that in other cultures it seems to be common, and a normal thing for people to make comments like that.  I suppose you could tell people to mind their own business, but I'm not sure that that would do much to help relive the tension of the situation. And as you said, it's probably not your place to bring up your sister's ED.  So it's a difficult matter for sure.How to help your sister to deal with these kinds of comments is another thing.  As you said, on the one hand her ED may be reassured by such comments, but if she is also trying to recover, they aren't helpful.  One thing that's true is that people who make these kinds of comments are rude and ignorant, but the fact that the two of you both understand that…It's good that you do, but I'm not sure how much comfort your sister is going to feel, knowing that there are rude people in this world. So it's a tough situation for sure.  Being able to say ""I know it must be confusing to hear people make those kinds of comments""…sometimes I think that would be the most comforting thing for her to hear from you ?Like that someone else understands, you know ?Anyhow, just some thoughts.",kaygonzo,"Wed,12/02/2020-11:06am","Way to go being your sister’s ally, for one. So many people with EDs struggle to find support within their family, so... I think you’re really awesome no matter what. This is a tough situation because the people saying these things to your sister might be well meaning though let’s be real, their comments are rude. Unfortunately, commentary on weight has been in our culture’s crosshairs for a long time. If she isn’t getting a message about weight personally from someone, it will come through media and other sources. So... it’s impossible to protect her from it. She may need to be the one to shut down the comments with you at her side. That puts the power in her camp, but you can still support her as she navigates dealing with this part of our culture (which we can only hope continues to change for the better). Thanks for being an ally, you are making the world better for your sister and so many others out there!",,,,,,,,,,,,,,,
5,04/23/2020,Momdoesn'tbelieve/careenough?,cactusmoon,"My sister has struggled with an eating disorder for about 5 years. Our family is awful at communication, so we've never actually talked about it but we all know. I could tell from the very beginning and would often get angry with my mom for not making my sister eat or allowing her to skip meals and over exercise. My mom never saw anything wrong in this, even as my sister lost an incredible amount of weight and became a skeleton. I finally convinced her to get my sister some help so she took her to a nutritionist and our GP, but never a mental health professional. She's gained a little weight, enough to satisfy my mom, but she still looks very unhealthy and scary to me. My sister recently mentioned that she missed her period and my mom completely brushed it off and just said ""it happens."" With my sister going to college in a few months, I'm absolutely terrified that she'll get even worse. Please help me! I need advice for how to talk to my mom and make her take this seriously! Thank you so much",iwanttolive,"Fri,04/24/2020-8:19pm","Hi.  I want to welcome you to the forum.  I am sorry you have been going through so much with your sisters illness. I understand the whole ""sweeping things under the rug"".  It is frustrating and can cause anger as have been experiencing.  It can be very scary watching someone so close to you suffering and not being given the help that your sister needs.  I am that sister.  I was very ill for most of my life and it was very scary for my younger sister watch and she had lived in fear that I woud die.  My other sisters just got angry with me and never tried to understand so I applaud you for wanting to get your sister help   So you and your sister talk about this at all?  Is she able to confide in you or anyone?  Your mothers lack of action may be out of fear or just not understanding how dangerous eating disorders can be.  On NEDA's web site, there is what is called the Parent Tool Kit. In that there are suggestions on how to help with a child that has an eating disorder.  It may be helpful for you as well.  You are correct in saying that it seems important to get her help now, before she goes off to college.  Do you know why your mother doesn't want her to get psychological counselling?  I know this is scary and I am glad you reached out.  Please continue to as much as you need.  And check out the resources NEDA puts out, you may even want to chat with someone from the organization.  Take care of yourself too while you are dealing with all of the fear and family dynamics that are challenging.  Please post again.iwanttolive",kaygonzo,"Sat,11/28/2020-1:07pm","Hey Cactusmoon.  I'm sorry to hear that you're going through this as a family. When I was going through my eating disorder as a teen, my family had a similar dynamic in terms of brushing it under the rug, which ultimately made things worse of course.  I think appealing to her mom could be a good approach, and perhaps appealing in the most non-accusatory way that you can while trying to inspire action?  The turning point for me getting treatment was actually a neighbor who approached my parents and voiced her concerns and went to them with more of a ""I know this is scary, and this isn't your fault, but we have to do something or your daughter is going to die.""  Every family is different, and every situation is different.  I'm sharing what triggered action in my situation in the hopes that it might be a viable avenue for you.  Good luck, and great job seeking support!",,,,,,,,,,,,,,,
6,11/14/2020,Mylittlesister,sgracem,"Hi guys! My younger sister, who is 12, is struggling with anorexia. It has been so hard on my family, and her of course. I just feel like no one can relate to what I’m going through, being her older sister and watching it all happen. It is scary, and sad, and feels like there is no way out. Has anyone had a similar experience?",BobJ48,"Wed,11/18/2020-2:58pm","Yeah, when things are difficult they are difficult, and it's hard to pretend otherwise.  Lecturing the person, and trying to persuade them that they are being illogical - My guess is you've already found out how well that works. Not particularly well, usually. Does it seem that your sister is happy ?  If not, that's something that most of us can sympathize with, so that might be something to try.  Rather than the ""Don't worry, everything gonna be fine"" approach.  Which generally doesn't work that well either.So see what you can do to try and put yourself in her shoes.  And imagine what might be helpful for you to hear ?  NOT, ""Oh boy, you're looking thinner"", but more like ""It's gotta feel rough to be in a position like this.""",,,,,,,,,,,,,,,,,,
7,08/30/2020,Whattodo?,monkcarter,I didn’t see a forum for family members that weren’t siblings so I apologize but this is my cousin. She has been doing this for years while she was a minor and now that she just turned 18. Her mother refuses to admit that she has anorexia even though doctors and psychologists diagnosed her. Her father is too weak to stand up to his wife. Her mother got her out of the hospital twice within days because she refused to say her daughter has a problem. My cousin is no longer going to doctors appointments now that she is an adult. What can I do? She has never looked thinner. Her heart rate is in the low 30s. She is dying and I don’t know what I can do me and her brother have tried to talk to her and she completely shuts us out. Any help works I just need to do something.,_admin_moderator,"Sun,08/30/2020-10:24pm","Hi monkcarter, thank you for posting. We’re sorry to hear about this difficult situation. You mentioned some medical symptoms your family member has experienced. The following are just some of the signs of a serious problem that demands immediate medical attention:
Seek medical help soon on an outpatient basis if she experiences the following:
 We recommend that she receive medical attention as soon as possible. The NEDA Helpline phone line can be reached for help finding resources at 1-800-931-2237 (Monday-Thursday 11:00am-9:00pm, Friday 11:00am-5:00pm EST). Helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. Please take care, and we wish you the best.",BobJ48,"Mon,08/31/2020-1:15pm","Yep, it's good to see a list of what the person *should* do, and what sort of things *should* alarm them, but when the whole set-up seems to be based on denial, as you said, it's hard to know how we can help. So I guess I would ask how totally she has shut you out.  Do you think she reads any of the things that you send her ?  If she does, then there may be some ways to help, although they may not always serve to convince her to do the things that you wish she would do.What I mean is….it's unlikely that she doesn't know she's in trouble. Not too many people in her position honestly believe that everything's fine.  This doesn't mean they are anxious to quit though. Often they want to keep losing instead. So perhaps you can imagine the sort of dilemma it puts them in.  And then she has to deal with her parents, who sound like they have some issues of their own. So rather than pointing out the ways in which she's endangering herself (which she may already be aware of) instead you might want to say something like  ""I imagine it might be difficult to be dealing with how things are going on the home front.""Her response to which might be ""Thank God  someone finally gets it about that.""Is this sort of approach going to help her quit having an ED ?  Probably not.  But it can help her feel less emotionally alone with her situation.  And that is something that  can make a difference.",,,,,,,,,,,,,,,
8,08/20/2020,SiblingAdvice,BuNnY1216,"I have an eating disorder and I'm scared that my behaviors are rubbing off on my younger brother. Also everytime he does an eating disorder related action, it triggers me and holds me back from recovery.",BobJ48,"Fri,08/21/2020-3:25pm","Yeah, it's easy for people to be triggered alright.  Try and keep your perspective, is what I would say.  You may not always be able too avid being triggered, but at least you'll know where it's coming from.  xx",sadieelizabeth7,"Sat,08/22/2020-3:28pm","Hi, I’m sorry about your ED and situation with your brother, it sounds like it must be painful to see him picking up on your behaviors like that. I’m not sure what kind of support you already have, but if you don’t already, I’d really recommend seeking professional support, for you and your brother if possible. The NEDA Helpline may be able to help if you’re having trouble, I hope you can find the support you deserve. Wishing you the best",_admin_moderator,"Sun,08/23/2020-10:45pm","Hi BuNnY1216 - The NEDA Helpline is available for help finding support and resources at 800-931-2237, or there is a chat function on this website to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We wish you the best – you are not alone. Please continue to reach out to the forums, and we hope they are a supportive space for you.",,,,,,,,,,,,
9,08/04/2020,Howcanihelpmylittlesister,caringoldersister122,"My little sister is 15 and in this past year has developed anorexia. She lost a lot of weight and is now really underweight and had to get bloodwork done at the hospital. They discovered physical symptoms during that doctor visit I never even knew of, she had kept secret. I realized that even I had not realized how serious her ED had become. My mom is now searching for a therapist, although the only open appointments were a month away. She’s still looking for more immediate help for my sister but i fear that because she isn’t in an inpatient nor outpatient program she isn’t getting the help she needs so desperately. I cry everyday because i hate myself for not speaking up when i initially noticed her exercising daily and eating less. She is now severely underweight, and she constantly is frowning even while my family is laughing with eachother and i look over and i notice it. It makes me sad that she is so unhappy all the time, i know the ED is taking its toll on her mental health. She also stays home a lot, she’s the only one in my family who doesn’t work, so it’s difficult to cheer her up unless my mom is home to take her out- even then she seems down and has a temper. I want to know anything i can do to help. We had a really heartfelt conversation the day she went to the doctor, and i continue to make lunches for her and dinners that she will eat. Yet she isn’t eating much more than before, still small portions- even if now she’s eating 2 meals rather than 1 barely eaten meal a day. Im just worried we aren’t getting her help quickly enough. I’m constantly stressing that i’m not helping enough because i don’t know how to approach the topic. I ask if she is okay, if she is hungry, i hangout with her and watch tv with her when im home.. I just fear that she is so depressed and crippled by this. She tells my mom she struggles so much with eating & does not wanna gain weight. Since she kept it a secret so long i think its so much more comfortable for her to just keep her thoughts to her self, she tells my mom the most out of any of us but. I wanna be there for her too as best i can. Are we doing anything that is hurting her? Is there anything I should take into account? I would so much appreciate the advice of someone who has recovered from such a brutal disorder.. How can i show my sister recovery is worth it?",BobJ48,"Wed,08/05/2020-7:35pm","Hey there.Not recovered myself, and never had an ED, but I talk online with a lot of people who do, and yeah…How able are loved ones to help with situations like this ?But first, try not to blame yourself, OK ?  EDs tend to sneak up on people, and while we can look back and think about all of the things that we wished we had done, and berate ourselves for not being aware of things which seem obvious now, the fact is that most people aren't very familiar with EDs, and it's kind of the normal thing for it to take a while for them to figure things out. Plus it's clear that you care, or else you would never have posted here in the first place.  So I hope you can set you mind to rest about those things.   Or just a little I mean.And yeah, your sister sounds like she's in the thick of it alright. Being cranky and irritable all the time is a pretty common symptom when people suspect that others are ""against them"" and are going to be wanting them to give up their ED.  I mean don't people understand all of the effort and extreme self-discipline it's taken them to get to this point ?  And they expect her to welcome the idea of throwing that all away, and  just ""getting fat"" again ?   You can understand why she might be feeling pissy.  Other people just don't get it, you know ?So yeah, what can you do ?  Not as much as you might want to, because so much of what happens is going to be up to her.  So you'll need to get used to that part.  Which can be really hard to get used to. You mentioned how much she stays in, and that may be a place where you can help.  It's like people with EDs can start losing touch with the world, as their own world begins to narrow in around them, so anything you can do to try and keep her in touch with the wider world, I do think that's a role we can play.    Go on a hike, go to the museum (if you can)- anything to keep her in touch with the world. That may not seem like much, but sometimes things like that can give the person a break from the never-ending ED chatter that's going on in their heads.Plus people with EDs are often frustrated.  They just aren't losing weight fast enough, people are always bugging them about their habits, God knows what's going to happen when they make her see this therapist person - They have a lot of things to feel frustrated about. So that is something you could say to her.  ""It must be frustrating to have to deal with all this.""  So there you go ; you guys would have something you could agree on, and she'd be able to think that at least you get it about that part.  Which is good, you know ?Anyhow, just some thoughts.  My sense is that there are going to be a bunch of more ""stages"" to go through in all this, so keep writing if it seems to help.B.J.",,,,,,,,,,,,,,,,,,
