,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,fullsun,06/04/2021,i don't know whats wrong with me and i get triggered so easily,"pre quarantine ive always had a really good relationship with food and my body, i was the type who never really gave much thought into it and just ate what i wanted comfortably. once covid hit and we all had to stay home, and till now im with my family 24/7. i started getting into working out (which ive never done before), and with that i started becoming a little more conscious about my food intake. i noticed my older sister started restricting what she ate and i felt bad for eating as much as i did so i tried doing the same. things kept going until i developed a bad relationship with food and dropped down to an unhealthy weight. i told myself i would try to get better and eat more, and to this day im doing my best not to restrict because i know how damaging it is to me both mentally and physically, but whenever i see my sister eating really little i feel extremely anxious and panicky and upset at myself for eating as much as i do and i end up acting very mean/snappy to my sister. i feel so bad for even getting triggered in the first place. i feel like im becoming such a mean and controlling person and i want to change but i can't get away from what triggers me, how do i deal with it instead? :(",_admin_moderator,"Sat,06/05/2021-10:29am",Welcome!,"Hi fullsun, Welcome to the forums! We are sorry to hear you are having a hard time. For more support, you can contact the NEDA Confidential Helpline: 800.931.2237 (M-TH 11am-9pm ET, F 11am-5pm ET) or use the NEDA Online Chat  Monday to Thursday 9am to 9pm and Friday 9am to 5pm. Stay safe and keep posting.",_admin_moderator,"Wed,08/25/2021-2:09pm",Hi Emilyplungong!,"Hi Emilyplungong! It's great that you are posting and sharing with others, however we did have to slightly edit your post to remove links. This violates our community guidelines which you cann view here, https://www.nationaleatingdisorders.org/forums/community-guidelines. Keep posting!",,,,,,,,,,,,
1,CASACERA,02/02/2021,finally 2 days my Covid vaccine,"This Covid ""stay in my home"" situation has really exasperated my BED.  I manage my BED out of my house. Doesn't mean I don't see food that I want and would overdo in my home but my conscious mind stays alert and in charge of my behavior. Know all the why's but that has never curtailed my robotic destructive eating to my health and happiness when it ""takes off"". This doesn't mean now I can go out and run free when immune but I can do more, still abiding by the stay safe from Covid guidelines (for me and other's). Anyway I'm VERY grateful. CC",_admin_moderator,"Mon,07/12/2021-8:40pm",Edited your post!,"Hi TerryDeirdre - your post had to be edited to comply with our Community Guidelines. Please take a moment to review the guidelines. Thank you in advance for helping us ensure that the forums are a safe space for everyone, and please continue posting.",,,,,,,,,,,,,,,,
2,jujugreen,04/03/2020,losing sense of smell and taste and recovery,"Hi,
I've been doing really well and being really motivated in recovery (anorexia) but lost the sense of smell and taste two days ago and feel awful. I'm struggling to cope and struggling to keep eating, which I suspect is probably due to the virus although I don't have any other major symptom aside from headache and fatigue. My dad and sister also lost the sense of smell but had more significant symptoms (fever that lasts and cough) which is why I suspect the virus. Does anyone have advice regarding loss of taste and smell and avoiding relapse ?",_admin_moderator,"Fri,04/03/2020-2:35pm",Support During COVID-19,"Hi jujugreen, We understand the frustrations and fears during the time of  COVID-19 and know it can be difficult. For more information and support please feel free to reach out to our NEDA Helpline at 800.931.2237 or chat with them online (http://www.nationaleatingdisorders.org/helplinechat ) M-TH 9-9 EST and F 9-5 EST.",_admin_moderator,"Sat,03/20/2021-10:11am",Hi Kotarsu,"Hi Kotarsu, we’re glad to see you active on the forums and hope you are finding all the support you need. We’d like to inform you that we had to slightly edit your post, as portions of it did not align with our community guidelines. As a reminder, forum posts should not include any external links. Keep posting and take care.",_admin_moderator,"Sat,03/20/2021-10:02am",Hi Micheletaylor,"Hi Micheletaylor, we hope you are doing well and are glad to see you on the forums. We’d like to let you know that we deleted your post as it did not align with some of our community guidelines. As a reminder, forum posts should not include links as well as any endorsements/advertisements for products or services. We hope to see you on the forums again; take care.",_admin_moderator,"Sat,03/20/2021-10:19am","Hi Liamjack519,","Hi Liamjack519, we’re glad to see you so active on the forums. We’d like to let you know that we have deleted your post as it did not align with our community guidelines. As a reminder, forum posts should not include any links, or any endorsements/advertisements for products or services. You can revisit the community guidelines by following this link: https://www.nationaleatingdisorders.org/forums/community-guidelines. Thank you for posting and take care. ",_admin_moderator,"Tue,03/23/2021-8:30am",Community Guidelines,"Hi Jacobliam, we are glad to see you on the forums. We wanted to let you know that we deleted your post as it did not align with some of our community guidelines. As a reminder, forum posts should not include links as well as any endorsements/advertisements for products or services. We hope to see you on the forums again!"
3,Blue44,09/12/2020,Positive Covid test ,I tested positive for the virus today. I was really sick with symptoms yesterday. I feel better today. I’ve already lost weight. My eating disorder thoughts are happy.,_admin_moderator,"Sun,09/13/2020-11:08pm",Blue44,"Hi Blue44. We’re sorry to hear you tested positive and have been sick, and are glad you’re feeling a little better. Just wanted to send a message of support for you during this time. We encourage you to be in touch with medical providers as needed and to reach out for support from family, friends, and NEDA if you need (Helpline number: 800-931-2237, or text “NEDA” to 741-741 if you feel you are in crisis.) Please feel free to continue posting about how you’re doing on the forum. You matter and your recovery matters and we truly hope you feel better soon.",,,,,,,,,,,,,,,,
4,yoyokay,09/08/2020,Covid-19 has been an excuse for not getting better,"I do not know if anyone else will have similar experiences with these feelings, but here is what has been on my mind for quite some time now:
My ED seems to be using the Covid-19 Pandemic as an excuse for not recovering. It has made me want to ""put off"" getting healthy and gaining weight. A lot of my motivations for getting healthy again are irrelevant because of the pandemic. My brain thinks, ""What is the point of getting to a healthy weight? You still won't be able to get tattoos or travel for who knows how long."" I of course know that I would likely feel a lot better, be able to sleep, and be less stressed about food, but I have gotten so used to my typical routine of feeling like garbage and barely making it through the day, and without the opportunity to even do any of the things I had looked forward too before ED, it is so hard to find any motivation. I also have depression, which I have struggled with for years, so it just adds more hopelessness to my mindset. Another piece of this is that I kind of feel like my ED is invalidated because with shelter-in-place, no one has really seen how much weight I have lost. I know that I shouldn't have to ""prove"" my Anorexia and that EDs occur at any size, but still, in the back of my mind, I think I have to preserve this skinny body. Anyone else having difficulty pushing themselves to recover during Covid? Any tips for getting past this?",_admin_moderator,"Wed,09/09/2020-1:38pm",Resources,"Hi. You mentioned feeling hopeless so for precaution, we wanted to provide you with these resources you can reach out to if you need additional support:Please take care and stay safe. ",,,,,,,,,,,,,,,,
5,marygwen,08/16/2020,feelings of worthlessness and suffering from COVID blues/depression/relapse,"Hi and help!I am a successful business woman who thought my ED was well in the rear view mirror! WOW covid is doing a number on me.  I struggle with lower than lows, overexercising to compensate horrible feelings of guilt, depression and worthlessness.  These are more expressed when the weather is gloomy. I am scared I am getting fat, I have no purpose and a million other crazy non productive thoughts.  When I exercise they go away (for a bit at least)
Is anyone else in this bad space?  My self worth is tied to my identity that is my work/professional persona.  there is no out to this nightmare until COVID goes away but I am not sure I will be able to cope when the weather turns cold and dark in November on :(",_admin_moderator,"Sun,08/16/2020-10:58pm",marygwen,"Hi marygwen, welcome to the forums! We’re sorry to hear you’re having a difficult time and hope the forums are a supportive space for you. If you need help finding resources, the NEDA Information and Treatment Option Helpline phone number is 800-931-2237, or there is a chat function on this website to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. Here are additional resources that you can reach out to as you mentioned some concerning feelings:We wish you the best, and please continue to post!",_admin_moderator,"Mon,09/14/2020-2:13pm",Editing Note ,"Hi, we again want to remind you that we edited part of your post since you mentioned another organization. Per our community guidelines, we're not able to post about outside organizations. Please take a look here: https://www.nationaleatingdisorders.org/forums/community-guidelines. Thanks in advance for understanding. ",,,,,,,,,,,,
6,karen11,08/27/2020,I have I C and don't know what to do,I was diagnosed with this condition but never got help to maintain it. I am so scared I always has an eating disorder before this now I don't know what to do or eat don't know how to make a list or combine foods together. I used to go in the store look at ingredients but now you can't with the pandemic. I don't know what food trigger my bladder because when I eat I feel sick everytime I have gallbladder problems and iron deficiency now. The meat is scary because covid can be in it. Most foods have been recalled so I afraid to pick anything. I want to be able to eat and not get sick please help me with ideas if your going through this. I want to change this problem in my life it is affecting me so much. I don't drive going to the store is difficult and because I can't carry anything my legs are bad and going on the bus is dangerous anymore with the pandemic if I was healthier I would feel better. I don't how to manage all of this and it is not the half of it. I have so many problems and I was working on them but it got worse because of this pandemic. Now I don't know what to do I don't want surgery I dont want to take the iron pills they made me sicker. I don't want my legs to be bad I want to eat but I don't want to be in pain. I just want to be healthy,_admin_moderator,"Thu,08/27/2020-4:07pm",Dear karen11," We are sorry to hear you are struggling and are having some concerns. Your post has some points of concern and we wanted to encourage you to reach out to a medical professional. Additionally, we wanted to provide a list of some signs and symptoms to be aware of. The following are just some of the signs of a serious problem that demands immediate medical attention:
If you experience anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if you:
Please take care! If you have any other questions, concerns, or need help finding resources and additional support please feel free to call our confidential NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. You can also chat with us online M-Th 9am-9pm ET and F 9am-5pm ET.",,,,,,,,,,,,,,,,
7,Avacomfor2,07/19/2020,Concerns with relapse,"Hello, I had previously suffered from an eating disorder from age 9 until age 27. I am now 37 and having an extremely difficult time with it again due to quarantine. I had a good 10 years of recovery without relapse. I am so disappointed in myself and not sure how to proceed.",_admin_moderator,"Sun,07/19/2020-10:04pm",Avacomfor2,"Hi Avacomfor2 – welcome to the forums. We’re sorry to hear that you’re struggling and wanted to post some resources for support during this challenging time. A list of resources specifically for COVID-19 can be found here. The NEDA helpline is available for help locating resources and treatment options near you and can be reached by phone M-Th 11am-9pm ET and F 11am-5pm ET at 800.931.2237. You can also chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. You are not alone, and please continue to reach out to the forums as well – we hope they are a supportive space for you. ",_admin_moderator,"Tue,07/28/2020-2:57pm",Dear annalise2,We are so sorry to hear you are struggling and are concerned with some of the behaviors you have described. We want to encourage you to reach out to our confidential NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. You can also chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. We also have to inform that we did have to edit your post slightly as it contained ED specific behaviors which can be triggering for other forum members. You can always review our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines  We do hope you continue to post on the forums! Stay Well and Take Care!,,,,,,,,,,,,
8,pursoul,08/06/2020,COVID & health issues triggering ED,"TL/DR - COVID has worsened my stress related health issues (some autoimmune) and the weight loss from one of them has triggered an ED crisis and strong urge to relapse.When COVID and shelter at home started, I unexpectedly lost weight, which I only noticed because my pants were looser than normal. I have digestive issues (IBD, IBS, and others) and I saw my gastroenterologist who had me make med changes in hopes of stopping the weight loss and other digestive health symptoms (sorry, trying to not be triggering or gross by listing them). But my weight loss has continued, though it's slowed. There's been several problems with this situation:
1) I don't own a scale as I get triggered by knowing exactly how much I weigh. But now I had to start being weighed. I tried to only have it happen at doctor's offices because I ask them to not tell me the number and let them monitor it. But that's less possible now with COVID and I've had to weigh myself and record the weight.
2) There's been too much discussion about my weight by everyone - doctors, friends, family, and it means I think about it more and more. Just 2 days ago, a friend expressed great concern with how I looked (too thin). (I am still in the healthy BMI range.)
3) With COVID, I'm anxious about going to stores unnecessarily and when I do my every other week grocery shopping, I refuse to buy the foods I used to binge on. I recovered from the restricting anorexia I had in my teens twenty years ago, but I never got over the disordered eating of binging unhealthy foods and then restricting after to prevent weight gain. I've been successful at maintaining a constant ""normal"" weight, so I've just left my recovery linger there. But now, when I want to emotionally eat, I can't unless I want to risk getting COVID for a food binge run. So I don't eat anything (I'm not saying I skipped a meal but that I don't eat the extra I normally do - I'm choosing to shut down and numb instead of eating my emotions). At first, I thought I was fine. At the start of COVID, I was at my sister's helping with my nephews (her and her husband are essential workers in healthcare) nearly everyday from mid-March through the end of May and they were feeding me, so I ate normally. But that's also when I lost the most weight, though it happened pretty rapidly right at the beginning, again when I was eating regular meals and not paying attention to amount or content because I was just having a nice family meal. But now, I'm home alone most times and I've grown to really like how much weight I lost. I also notice the loose skin and untoned arms, etc. I'm pretty sure I've started eating less, on top of not bingeing, so now I don't know if the continued weight loss is my health issue or my eating behaviors. I see my gastroenterologist on Monday, so I've been thinking about it a lot, but I wasn't concerned until my friend expressed so much concern about my weight and if I am truly honest with myself, my face looks gaunt, not healthy. I've noticed I've been exercising more, though it looks healthy because I'm walking my dog, but I'm choosing hilly areas and sometimes doubling the length of walks. But what's really concerned me is that I finally broke down and bought my favorite binge food to go with a food my sister made me from scratch. But, I'm barely eating it. Even when I'm emotional, I see how much I have a smug satisfaction that I'm not eating the binge food. When I have a very small serving, I find myself satisfied I had so much restraint. I see me sliding down a slope where I try to control COVID by controlling my weight and what I eat and how much and when. I am starting to worry about where this leads. I'm trying to figure out my next step. But I can say that I don't want to go back to my ""normal"" weight. I like how I look and I want control over wanting to eat and I feel good about life. But I'm also pretty sure there's a darker side because I don't want to say anything to my therapist or too much to my gastroenterologist or to reach out to my PCP. I want to see how much less I can eat and how much ""healthier"" I can eat and if I can lose even more weight. I feel like I'm at that fork in the road between health and relapse and I'm not sure I'm capable of picking the healthy path. It's not that I've never come close to or actually briefly relapsed, it's that I always had people around who were kind of silently keeping tabs and I had reasons to enjoy food and I wasn't so afraid of everything that's happening in the world and so very desperate for control over something. If I'm not going to binge and eat my emotions, then I feel I need to restrict to numb them, to control them. This time, it will be much much harder to choose to eat. It's always a choice, every time I eat, there's that evil voice in my head encouraging me to restrict, but everyday, nearly every meal, I've overcome it for years. But right now, I don't want to. It will be so much energy to overcome those thoughts. I don't know how to pick the better path right now. This seems like the perfect solution to all sorts of problems. I need support.",_admin_moderator,"Fri,08/07/2020-3:43pm",Dear pursoul,"Welcome to the forums! We are concerned with some of the symptoms, behaviors, and emotions you have described and would want to encourage you to reach out to your physician or other medical professionals. If you need assistance finding resources in your area please reach out to the NEDA Helpline at 800.931.2237 M-Th 11am -9pm ET and F 11am-5pm ET or you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. The following are just some of the signs of a serious problem that demands immediate medical attention: 
beats per minute) 
Seek medical help soon on an outpatient basis if you: 
    We hope you continue to post on the forums! Stay well and take care!",,,,,,,,,,,,,,,,
9,pupper,05/20/2020,TFW you think you're 100% recovered but then BAM here comes quarantine!,"TLDR: Covid is bringing back old pre-recovery feels. Who else is feeling this? What healthy coping mechanisms do you use? I'd been considering myself ""officially recovered"" from my eating disorder for a couple years now, but like many others in this situation I feel like I'm starting to relapse thanks to covid19. I suffered from a combination of multiple disordered eating habits and over-exercising. I only talk to my therapist every other week now and stopped going to my dietitian because I didn't feel like I needed them (also my therapist is expensive and I'm a poor grad student haha!). But over the past month or two, as my work schedule was cut in half, going to the grocery store has become an anxiety-attack trap, and climbing gyms are closed (climbing and riding bikes are my activities of choice), I'm starting to feel like the lack of control is putting me back in that ED headspace of needing to control something, feeling discontent with my body, extremely paranoid that I'm gaining weight, etc. One thing I've been trying to do that I think would be helpful is limiting how much time I spend on social media (this has proven to be very difficult haha!). As a cyclist I follow a lot of fellow cyclists and cycling accounts, and I've found that exercise-heavy instagram accounts make me think more about how little I am exercising in comparison to them, and then I feel bad about myself (I know this is totally irrational since some of them are professionals, or racers, or whatever, and I'm not at that level nor do I want to be nor would it be healthy or realistic for me to be, but I still compare myself with them subconsciously). The weather has been pretty crappy too this spring so there've been many days when I don't even want to be outside. But even so, I feel this guilt on days when I don't exercise and then I start doing this very negative self-talk, accusing myself of things that I know deep down aren't true or real but that's all part of the disorder I suppose. I'm trying to do deep breathing exercises when I start getting freaked out, and I'm trying to talk to people who empathize with me. My partner is supportive too but since we are quarantined together I feel bad for constantly complaining about my ED to him all the time, especially since he really has no idea what it's like. I wish I could be totally content with my body and unconcerned about it like he is about his own. Today has been an especially rough day. I had planned this relatively long and strenuous ride to do today but due to mechanical issues with my bike wasn't able to do it after all, and felt real crappy about not riding on a day when I finally have a chance to. At work I sit in front of a computer all day and that lack of movement bothers me, and I've been driving there instead of riding my bike so that I can give a coworker a ride, and that makes me feel crappy too. Also in grad school, most of my classes are online (especially now) which requires a lot of sitting at my computer doing schoolwork. These things trigger this feeling of discontent and disgust at my body, feelings that I honestly have not felt in probably three or four years, and I feel like my recovery progress is being peeled back bit by bit. I just feel like this big dark cloud of doom is slowly gliding over toward me. This feeling is so familiar to me but I haven't felt it like this for a while. I feel unmotivated to do things that I normally enjoy and sometimes all I want to do is take a nap that lasts all dang day so I don't have to worry about stuff and can pass the time without having disordered thoughts. I've been tempted to buy a scale recently but I know that will not lead to anything good. I've even thought about borrowing a scale from my workplace but I keep having to tell myself that it will not do any good. I gotta keep reminding myself that it's not all that bad. There are some silver linings to this quarantine thing for me and I am grateful for them. Still, I have days when I feel like I'm slipping back down to that dark place and those feelings come back and haunt me.",_admin_moderator,"Thu,05/21/2020-2:24pm",Dear supper,Welcome to the forums! We hope you find support here. If you need any additional support or resources we encourage you to reach out to our confidential NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET or chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. We also have a resources page dedicated to COVID-19 https://www.nationaleatingdisorders.org/help-support/covid-19-resources-pageStay strong and take care!,,,,,,,,,,,,,,,,
