,0,1,2,3,4,5,6,7,8,9,10,11
0,jem3910,10/15/2021,Hi,"Hi I'm new here. I am just really struggling with eating and I the guilty thoughts about it afterwards. I am so afraid to gain weight as a competitive athlete and the day before my races is all out of wack because I feel that I need to somehow be lighter on race day. I know that my problem isn't valid because I still eat, and I haven't lost a lot weight, but I just want to this to end but I don't know if I have the strength to tell my therapist or anyone around me.",_admin_moderator,"Sat,10/16/2021-1:35pm","Hi jem3910, welcome to the","Hi jem3910, welcome to the forums! We are glad that you reached out for support. We wanted to remind you that you can always reach out to the NEDA helpline if you feel like you need more support or access to more resources in the meantime. The helpline phone hours are Monday through Thursday 11am-9pm ET and Friday 9am-5pm ET and can be reached by calling 800-932-2237; you can also use the online chat to speak to someone Monday through Thursday 9am-9pm ET and Friday 9am-5pm ET.  Keep posting and stay strong!",,,,
1,ilostmyself.98,10/13/2021,recovery for me is hell,"Hi everyone.
I have been a member it says for 1 month and 4 weeks. I realized I have an eating disorder caused by stress and living in a toxic environment. here's a bit of my back story since this is the only place I feel safe.as a kid my cousins used to make me feel uncomfortable. it came to the point where I started listening to my body. my body was trying to tell me to be scared this isn't normal. here I am 23 years old with my own daughter now. anytime I look at her I get flashbacks about the things I faced. I know its not her fault but it haunts me. I now have people asking me how I lost weight so fast or wow Im used to you being thick or hey your losing weight. why dont people realize that these things puts us in a deeper hole. I know I shouldn't let their words get to me but it does and it hurts and I feel like im never getting out of this alive.I feel like im drowning and everyone is just watching me sink to the bottom throwing me short pieces of rope to ""help"" but is it really helping? or is it just to make them feel better about themselves?im having gallbladder issues because the drastic weight drop and prior to this I spoke to my dr about having an eating disorder and needing to take steps Into recovery. so we started me with therapy. now she's telling me its my fault that im going through these gallbladder issues because I lost too much weight as if I told her this is what I wanted to do. I never wanted to lose weight I've been depressed and alone without really being alone cause I have my man aka my daughters father but he's always at work so again alone.I also get these awful pains in my knees ankles back just all round body aches and pains. is that normal? has anyone else felt this way? I feel like a zombie at times. I also get hungry pains but no motivation to get up and eat something as I should.I have no friends because any friend I get they just start issues so that the friendship can end and then im the bad guy. I had a friend who sabotaged our living space knowing I have a child and I can't work cause im a stay at home mom and still to this day won't take accountability for it. she tried making it my fault and then bring things up that didnt have to do with the current situation.I feel like im better off forgotten.but that's not what I want. I want to love myself again. I want to feel like someone again. I just want my life back.",_admin_moderator,"Mon,11/15/2021-4:37pm","Dear ilostmyself.98,We would","Dear ilostmyself.98,We would like to inform you that we edited your post to remove the details of the trauma that you have experienced. As per community guidelines, we kindly ask our users to refrain from discussing special details about their traumatic experiences since it could be triggering to other users. We encourage you to contact RAINN for support. Thanks for your understanding and please continue to post!  ",,,,
2,lulu601,10/11/2021,very strong urge to relapse ,"hi everyone - i’m here again,from the last time i spoke about wanting to relapse those urges still haven’t gone away and they’re becoming stronger and stronger. about a week ago i even weighed myself for the first time in months and i brought out my fitbit - i was planning on relapsing again. but i have exams and i know that if i relapse i will not be able to study for them and they see extremely important exams. i even made an account dedicated to my ed on twt hoping i’d keep myself accountable but i can’t go back to it. i know what i’m doing is bad and i know how harmful my ed is for me but i really miss the addicting feeling of fasting and the high i’d get after not eating for a day. i miss the feeling of an empty stomach and i miss being weak and tired all the time. as stupid as it sounds i miss my ed and i really want to relapse. but at the same time i can’t just because i’m so far into recovery i don’t think i’ll be able to restrict like how i used to 2 years ago. yes i’ve been in recovery for nearly 2 years now and i suddenly want to relapse.truth be told i just simply cannot stand this body - it’s not unfamiliar because i’ve been this weight for months but i’ll never be able to get used to it. i feel so ashamed about it. i’m so incredibly insecure about it - i can’t even explain the way i feel about my body. i feel like i don’t deserve to recover i feel like i don’t deserve to eat. i want to punish myself and starve myself again but i don’t want to go back to my ed hell. because the binges were horrid - the hair loss was terrifying. i was always on the verge of crying because of how sensitive i was. although i know all of this i still want to go back to it i’m literally sayinf opposite things i feel pathetic.i don’t recognise myself. i’m a lot - and i’m not exaggerating serious a lot higher than my pre ed weight. i used to reassure myself that the overshoot would go away and i’d go back to my pre ed weight but i know it’s a lie. i keep deluding myself into thinking i’ll naturally lose the overshoot.i’ve never been at this weight in my life - my weight was very stable before my ed and it wasn’t even that different to ny lowest weight but now i’m so much higher than what i was before my ed even started. i feel so ashamed. words cannot describe how much hatred i have towards my body. i would do anything to lose weight naturally. on social media especially tt there are many glow up trends and their ‘glow up’ is basically weight loss. it’s so triggering and it keeps reinforcing the idea that losing weight is glowing up.maybe it’s our beauty standards but i think i look better when im thinner and i want to go back to that so badly. please help i don’t know what to do. im feeling even more suicidal bc of my ed and the immense pressure of school. i’ve burnt out and im not even able to shower or clean my room. this all happened when i gained weight and bc of my ed. i wish i never went on that stupid diet - my body was fine before my ed - i just completely ruined it. is there any hope of my body going back to how it was before my ed started - bc if not i know i’ll definitely relapse. even if it does i literally can’t stand another day beinf this huge.i really apologise if ive triggered anybody - i’m just in a really negative place right now and my ed voice is really loud. please don’t take anything i say personally. i know it’s my ed voice.",_admin_moderator,"Tue,10/12/2021-1:50am",lulu601,"Hi lulu601, we’re sorry to hear about these difficult feelings recently. We slightly edited your post to remove descriptions which could be triggering for others. Please review our community guidelines here. If you ever feel like you want to reach out to someone, NEDA is here. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET.  You mentioned some concerning feelings, so we also wanted to post the following resources: 
  Please stay safe and keep posting on the forums. You matter. ",,,,
3,kcporter6,10/13/2021,I don't want to be recovered,"If I were making an objective guess, I'm like 90% completely recovered. I'm doing better than I ever was, but the whole time I've been thinking, ""I'm only eating to make people stop watching, I'll be anorexic again."" I'm so stressed now. I weigh more than I ever have in my life, I don't count calories at all anymore, and most importantly, I can see a little more clearly that my life was actually miserable when I was anorexic. It's so repetitive, ""I was always cold and tired"" and ""everything revolved around food and calories in/out"" but I finally like realized it about my own life. I'm glad I do not have an eating disorder anymore, but I am still dealing with mental illness. It took everything I had and about a year to get over losing my ED, and it was a pretty mild short-lived case, too. I don't have it in me to get over BPD and severe social anxiety, too. I also am graduating with an AA degree soon, so I have to move on with my real life, too, move out, go to college, start a career. It's like I lost everything, and now I have to start again. It's so stressful, and being anorexic was so much easier. It wasn't easy but it was easier, it was simple. I have had minimal support, partially my own fault, and I actually have been pushing forward in ED recovery recently, but like every time I get triggered on social media, or something stressful happens, all I want to do is starve to death. I don't even know where I'm going with this but I guess does anyone else feel like this?",_admin_moderator,"Mon,10/18/2021-10:35pm",Lulu601,"Hi Lulu - you mentioned some concerning feelings in your post and we wanted to make sure you know there are resources if you ever need to reach out for support: 
Please take good care of yourself! You're worth it. ",,,,
4,gr4cie,10/28/2021,Bloating,"During anorexia recovery, one of my biggest physical struggles has been bloating by far. Everyone says that it goes away with time and consistency, but I've been in recovery for 9 months and reached weight restoration over a month ago, and it's still very severe. Is anyone else struggling with this? Is it normal to last this long and be so severe? I wake up bloated in the mornings too and it makes it very uncomfortable to eat.",_admin_moderator,"Mon,11/01/2021-11:14am",Hi gr4cie,"Hi gr4cie, thank you for posting. We’re sorry to hear about what’s been going on and we encourage you to speak with a healthcare provider about your concerns. If you need assistance finding resources in your area, please feel free to contact the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Please don’t hesitate to reach out and take care.",,,,
5,Annet,08/20/2021,Thoughts of self-harm (I am safe),"I have been in recovery for 3 years, now. I basically eat normally and exercise for a healthy amount of time. Unfortunately, reducing the time of my workouts has literally increased my anxiety levels to the sky. I know I used to be an elite level athlete and that for years, exercise became my way to let  my anxiety go. Lately, my body just can not cope even with the ""normal exercise time"" for a healthy person. That has been pretty frustrating for me. The problem is that now, there are days when I just can not stop thinking of self-harming. I have NEVER done it and I do not want to get into that terrible habit. Unfortunately, all the things that I try just do not seem to help with my anxiety levels.I see a therapist and a psychiatrist. I had these thoughts in the past but they faded away.
Now, they are back again. I am trying to do all that my therapist told me to avoid having to workout more than the needed. But she does not know I am starting to have self-harm thoughts.I am planning to tell her. But I feel ridiculous just to think of talking about it. At the end, I have not done it. I am not sure if it is just that some time back, I told my pdoc about it and she just did not take it seriously (believe it).My therapist is different. She will surely listen to me. But this is soooo ashaming.
Also, I do not know if I will be able to resist the urges until Tuesday.I am with my family this weekend. So, that will help. But that is where I am right now.Annet",_admin_moderator,"Mon,08/23/2021-1:31pm","Dear kcporter6, since you","Dear kcporter6, since you mentioned having thoughts of self-harm, we would like to share the following resources. 
We also deleted the link you have shared. As per our community guidelines sharing outside links is not permitted on the forums. Thanks for your understanding. Please stay safe and continue to post! ",_admin_moderator,"Tue,09/07/2021-1:57am",EphWhyEye,"Hi EphWhyEye, we are sorry to hear about these difficult thoughts. Your post mentioned self-harm so we wanted to post the following resources:  Please stay safe and keep posting on the forums. You matter."
6,pblover,10/19/2021,i don't know how to like myself anymore,"i developed an eating disorder during my first year of college. i became obsessed with losing weight. even though i lost my period, my hands were always purple bc i was so cold, i skipped social events because i didnt want to go over my calories, and i binged whenever i drank, i still loved being skinny. i saw it as an identity, and i placed all of my self worth in my weight. my senior year of college, we were sent home due to covid. then, i binged all the time and stopped tracking calories since i didnt have the pressure of seeing anyone i knew and i assumed i would lose the weight before i went back to school. eventually, i gained back the weight i lost in college, and i started to hate myself. i thought i was a failure and that everyone would think i had glowed down / let myself go. so i hid from all of my friends for a year and tried a bunch of fast methods to lose weight. these diets always failed bc my body was still demanding so much food. now, i have shared my ED story with my friends and apologized for being so distant. i am excited to see them again, but i am so so so nervous. i am no longer partaking in any anorexic behaviors and i'm not underweight, but i still had ED thoughts. i hate looking in the mirror, i hate taking photos of myself, i hide from people i recognize in public, and whenever i see someone i haven't seen since before the pandemic, i just obsess over how they are judging me for gaining weight. i truly dont know how to like myself or gain back the confidence that i had when i was at my skinniest. i feel like hiding forever",_admin_moderator,"Wed,10/20/2021-2:03pm",Welcome! ,"Welcome to the forums Pblover! We are sorry you are feeling this way, bit it's great that you are sharing on the forums. If you would like to reach out to someone, NEDA is here for you, You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat  to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We hope you find the support you are looking for and keep posting!     ",,,,
7,awasi9,10/15/2021,Undeserving ,"I’ve struggled with bulimia for years. Other than some stomach problems I’ve been mostly medically stable. But lately I’ve done a complete turn around and have been diagnosed with atypical anorexia with purging. I just don’t eat anymore. I can’t. I don’t feel like I deserve it. When I do have to eat I purge. It’s making me feel so weak and tired all the time. I get winded so easily, my chest hurts I get light headed when I stand up, sharp pains in my ears, my eyes are blurry, and my hands and feet have been going numb but I feel like I deserve all these things. I don’t deserve to feel good.",_admin_moderator,"Mon,10/18/2021-1:54am",Medical symptoms,"Hi awari9, thanks for posting on the forums. We’re very sorry to hear about how what’s been going on recently. You mentioned some medical symptoms, and we encourage you to speak with a healthcare professional - the following are just some of the signs of a serious problem that demand immediate medical attention:If she experiences anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if she:If you are in crisis, please test ""NEDA"" to 741-741.If you need assistance finding resources in your area, please feel free to contact the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Please don’t hesitate to reach out and take care.",,,,
8,rykla34,10/17/2021,Bulimia recoverer (struggling BAD),"Hi, this is so hard for me to even let people know that I am a struggler with an eating disorder. Where do I even start?A year and a half ago, I called my mother crying begging her to help me lose weight because I have been bullied for the 7 years before that (since elementary school) about my weight. I had finally hit X bs. I hated myself but it didn’t help that other people let me know they didn’t like how I looked either. Then my ex told all of his friends he was only dating me because I would let him do whatever he wanted, but…I was “too fat” for him to care about cheating on me. So I took it upon myself and my mother’s word to start a diet. That diet lasted 2 weeks.I ended up throwing up every single meal I ever ate. Up until about a month ago, I was fine with dying honestly. I lost so many more friends losing weight than I even had when I had the weight on me. I can’t participate in gym activities anymore, I don’t have the strength. And I can’t play the sport that had my absolute heart growing up. This past year I wasn’t only battling eating disorder, outside of everything going on including the disorder, I was battling with drugs. Now, 2 months and a week sober. And I now suffer with paranoia and anxiety so bad that I can’t go outside and see a group of people without shaking so badly that I don’t even understand why.My own mother tells me how skinny I am. I have gained since then but in pictures I’m so much skinnier than everyone else and I hate it. It’s funny cuz I used to hate being the biggest one and now I hate being the smallest. I am in recovery but struggling. I can keep it in until I look in the mirror and see the extra fat I’ve gained so I relapse. And I haven’t had any help and I don’t want any but I do want advice. As much advice as anyone would like to give. I don’t want to feel full. I hate that feeling. But I do want to gain weight so I can have the strength to gain muscle. It got so bad, i started getting paranoid and started accusing my friends and family of having eating disorders. It hurts a lot but I realized that one of my friends did gain an eating disorder….and that’s my fault for losing that much weight. But I convinced myself that if drugs couldn’t kill me then I will just wait for my disorder to. But that’s enough. I’m so young. My life isn’t the best, but it’s not even close to the worst. I have so much more life to live, I just want to recognize the me in the mirror. I want to live. I want to love myself. I want me and my life back.If you’re a struggler as well I just wanted to let you know that you are NOT alone. You’re so loved and cared for and I’m so proud of you for taking this step as well just to even come on here and read these. You got this!!!",_admin_moderator,"Mon,10/18/2021-1:43am",rykla34,"Hi rykla34, welcome to the forums. We’re sorry to hear about what’s been going on recently. We slightly edited your post to remove weight numbers which could be triggering for others. Please review our community guidelines here. If you ever feel like you want to reach out to someone, NEDA is here. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET.  You mentioned some concerning feelings, so we also wanted to post the following resources: 
  Please stay safe and keep posting on the forums. You matter. ",,,,
9,Keb93,10/13/2021,Stuck,"HelloFirst time here.I'm about 6 months into recovery, but I'm stuck. Psychologically my relationship with food is worse than ever, but in the sense that I've essentially 'gone off' everything!When I go to the shops I'm on the verge of panic attacks trying to work out what I'm supposed to get to eat. When I do buy myself ingredients or ready meals or components of a meal, by the time I get home I can't think of anything worse to eat. I Google recipes and look on delivery sites but as soon as I see photos of the foods or think about them for too long I start to feel really nauseous.I live with housemates and we're all on conflicting schedules, so I only have myself to rely on to decide what to make and eat, but it's getting more and more debilitating every day, and for snacks, it's even worse. Everything feels like it has too much flavour, it's too strong, or on the opposite hand, it's seems like the blandest dryest thing in the world.At the moment I'm basically living on bread, which is something but leaves me feeling pretty bad mentally and physically at the end of the day.I don't know what I'm supposed to do to, but this needs to stop. It's stressing me out in ways I can't describe and making recovery feel impossible.I'm waiting to begin therapy from the eating disorder team in my local NHS but still have at least 3 months to go.Please help!Thank you x",_admin_moderator,"Sat,10/16/2021-1:44pm",Welcome to the forums ,"​​Hi keb93, welcome to the forums! We are glad that you reached out for some advice and support. We wanted to remind you that you can always reach out to the NEDA helpline if you feel like you need more support or access to more resources in the meantime. The helpline phone hours are Monday through Thursday 11am-9pm ET and Friday 9am-5pm ET and can be reached by calling 800-932-2237; you can also use the online chat to speak to someone Monday through Thursday 9am-9pm ET and Friday 9am-5pm ET. Keep posting and stay strong!",,,,
