,0,1,2,3,4,5,6,7,8,9,10,11
0,shuba,06/23/2021,Looking for support group for spouses,"Sorry if this has been asked and I didn’t see it, but where do find a list of support groups for partners/spouses? My wife suffers from an eating disorder and I need to be more involved, and better at listening/caring/dealing with issues, etc. but I don’t know how - or maybe I’m afraid of saying the wrong thing and or triggering a bad response. Thanks",_admin_moderator,"Wed,06/23/2021-2:51pm",Welcome! ,"Hi Shuba, welcome to the forums, it's great that you are posting. If you browse the NEDA website, the ""Help & Support"" tab as well as the ""Learn"" tab have some information that may be helpful for you. You could also contact the NEDA Phone number or Helpline chat which could help you find some options. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat  to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We hope you find the support you are looking for and keep posting!  ",,,,
1,blusp,08/28/2021,When to push the panic button?,"Hi Everyone,
I've known my wife for about 20 years and been married for 10. Until February this year she never appeared to have an ED but has since seemingly developed anorexia. I think the trigger was her putting on some weight such that she didn't fit in some old clothes, although she was still within the healthy BMI range. Since then she has plummeted in weight. As far as I can tell she is barely eating and is exercising at least 2 hours a day; likely more due to all her pacing around the house. The positives currently is that she diagnosed herself with a problem and sought help from a professional specialising in eating disorders, which she is seeing in two weeks. She came to me and told me what she was struggling with in about late July.So she seemed on top of things and I tried to support and not interfere but since then her weight keeps dropping. She keeps a log of her weight (which I have read behind her back, I apologise) but it means I know that she is lying to me when I ask how things are going and she says she is recovering and gaining weight whereas I just see the real numbers going down. She is incredibly secretive and doesn't want anyone to know about this which has put me in a difficult position as my parents want to visit but I've had to make excuses since she doesn't want anyone to see how thin she has got. It's difficult hiding all this from my son (9 years old) who I think knows something is up. I hate lying to him so I have to walk a fine line between feeling like I explained things the best I can to him and not causing my wife to become extremely upset. Lately I have become concerned about my wife driving my son places, since I know at her BMI she should could potentially faint - I haven't brought this up with her yet, but I suspect it will cause more upset. In fact, if others can chip on this point explicitly it would help a lot.Each time I raise something of concern she says ""I stress her out which doesn't help her recovery"". Of course I want to help, but I am also growing concerned that there is no recovery and she just wants no one interfering with her ED.I desperately want to respect her wishes and the way she wants to do things. But I'm beginning to feel there must be a point where you hit the panic button where you tell a wider circle of family so they can support and start overriding her; like getting rid of all the exercise machines she has bought. What do I do?Please help.",_admin_moderator,"Mon,08/30/2021-10:57am",blusp,"Hi blusp, welcome to the forums. We’re glad you’re here and are sorry to hear about what’s going on with your wife. We slightly edited your post to remove mentions of BMI numbers, which are not allowed on the forums. You can view our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines.  For more support and resources, please feel free to reach out the NEDA Confidential Helpline: 800.931.2237 (M-TH 11am-9pm ET, F 11am-5pm ET) or use the NEDA Online Chat  Monday to Thursday 9am to 9pm and Friday 9am to 5pm. We hope you all stay well and please keep posting.",,,,
2,Rose63,08/12/2021,Husband is not eating and constantly weighing himself but in denial - ,"Hi all:I'm new here - my husband has quite a bit of weight in a short period of time.  not that he was even that much overweight. but he just kept going and is now obsessed with not eating and weighing himself. He continues to say he's full after eating half a meal.  even says he feels nauseous.  Yesterday he only ate a little bit.  that's it. All day long.   said he wasn't hungry.I have told him I'm worried about his weight and asked him to talk to me about whats going on.  I've said I'm here to talk about anything.  I support him and I love him.  I've told him nothing is too much for me to hear...  But he's in denial.   he doesn't do that cover up thing - he acutally continues to buy smaller clothes and wear small shorts which show his stick legs.  I do not tell him to eat or force him to eat or anything.  We serve ourselves at dinner.  I do try to make things he really really likes though.  I believe he's in total denial - his kids have even mentioned their concerns.  None of us nag but once ina while we might mention it.  People at work have asked if he's OKSo my question for you all is - is there anything I can say to help him see the slippery slope he's on?  that weighing himself 20 times a day shows that he needs help.  I'm even thinking of calling his doctor to have her talk to him.  but that seems invasive.  I just want to help him seek help.  Note, I do know the three Cs - i didn't cause this, I can't control it and I can't cure it.  but perhaps I can help him get help before this gets bad...I'd love your thoughts on how I can support him and how I can help him decide to seek help.",_admin_moderator,"Thu,08/12/2021-2:14pm",Welcome! ,"Hi Rose 63! Welcome to the forums, it's great that you are reaching out. We did have to slightly edit your post to remove numbers because it can be triggered for others. This violates our community guidelines which you can view here, ,  https://www.nationaleatingdisorders.org/forums/community-guidelines. There are some resources on our website that can help you bring up the conversation. Under the ""Help & Support"" tab you can click on ""How do I help?"" and ""Where do I start?"" to learn more. Keep posting! ",,,,
3,Johnn-towns,04/20/2021,Worried about my partner ED,"Hello, my partner suffers from a ED I assume. We have been together coming up 9 years and when I first met her she was X stone .. at the age of 17. She struggled putting on weight or eating proper meals and enough food. As the years gone on I promised my self to help her gain weight, now she’s 25 and we have moved out to our own place she has put on weight and now she’s at X stone which she is only Xft so she isn’t very tall. So Iv been so proud of her Anyway her life is hectic, stress with her family mainly her mother suffers from depression and neglect from her father and sister who has things going on and throwing getting comments to my partner about her weight etc. So the only positive things she has is friends and me so I can see where her depression started. So sometimes she has good weeks and some times there really bad but she can not look at her self in the mirror without knocking her self sick. Everyday it’s in her mind that her weight or body isn’t correct for a 24 year own women and sometimes she can’t even leave the house or do things that she would love todo. Some meal times are hard she doesn’t know what she wants or when she eats it’s only something small or she can’t get half way through a normal meal. At times she doesn’t want to eat and it frustrates her because she really wants to but her her mind making her feel sick just looking at her food. When she does have good times it’s eating X which she can have a good amount no problem. I’m just looking for some advice because I’d do anything for this girl. Iv now ordered some weight gainers just to experiment. She will never ever be happy unless her gains weight and it’s been that long Iv tries my hardest to support her but it feels like I’m drowning im running out of options or ideas. There is plenty more to say but I’ll leave it as this for now thank you for any advice",_admin_moderator,"Wed,04/21/2021-5:11pm","Dear Johnn-towns, we would","Dear Johnn-towns, we would like to inform you that we edited your post to remove weight, heigt numbers as well as specific food items, as these could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post!  ",,,,
4,holzi,04/02/2021,Partner relapsing,"First time talking about this to anyone...my partner has said they're struggling bad at the minute and is seeking professional help again (they're good like that).I was a little surprised and hurt that they didn't tell me they were struggling before. I know it's an ongoing thing but I thought their recovery was still going well and am annoyed at myself for not noticing things were getting bad again. Little habits I've noticed have started to creep back in. Like I bought three different types of small canned cocktails for us and they chose the only one which had the caloric content stated. They said it was a comfort thing, to know how much they were consuming. A few years ago when things were really dire, I remember them telling me certain foods affected their periods (and, like an idiot, I bought into it), but really they were just scared of the calories. It was very worryingAnyway, just venting a little I guess. I'm scared things are going to get REALLY bad again, like they were a few years ago when we were trying to date for the first time. The disease consumed them so much they literally didn't have it in them to continue the relationship with me. When we got together properly in the summer of 2020, they promised they were better now and they'd never, ever let themselves get that sick again. I truly believed they meant it when they said they were better but I very quickly discovered that wasn't the case.I'm glad they get help when they need it but they don't believe they'll ever overcome those thoughts and that it's all about ignoring those thoughts, not getting rid of them. I'm just so scared they'll die young. That's my ultimate fear, that even if they do 'recover', all the damage they've done to themselves will ultimately end in a premature death. Their liver is already very damaged and their skin is often yellow, so I know organs have been affected. According to their doctor, they're a 'healthy weight' at the moment, but there's still no periods. They've just started running again and dancing most nights and doing up to 3 hours of yoga. I think it's too much for a recovering body. I'm hoping this is just a setback, not a full blown relapse because I don't believe our relationship will survive it a second time. My anxiety is sky-high and I'm trying so hard not to let it show because they are the most sensitive person in the world and have said so many times they don't ever want to be a burden on me. They aren't, but this disease is. It's affected everything. I'm not the one suffering with it but it's on my mind all day everyday as well. We don't even live together yet, but plan to at the end of this year. This worries me, because they eat well when we're together for the one full day we get a week when we're not at work, but I know they have many secret eating habits that I don't see but will be hard to hide when we live together. I hate that this is something I have to think about. It's like a third member of the relationship, we've even named that part of their brain! I hate it and feel so guilty at the thought that I truly don't know if I would have gotten back with them had I know they were still suffering. I love them so much but I'm not sure my own mental health can cope with this for the rest of our lives.Sorry if that was a lot, it's just a bit tough at the moment.",_admin_moderator,"Sat,04/03/2021-10:20am","Hi holzi, Welcome to the","Hi holzi, Welcome to the forums! We wanted to let you know we edited your post to remove mentions of certain foods, as it can be triggering to other users. You can check out our community guidelines here. In addition, you can check out our resources for loved ones here. Keep posting!",_admin_moderator,"Mon,04/05/2021-1:05am",Medical Symptoms,"Hi holzi, we’re glad you’re here on the forums. We’re sorry to hear about what’s going on. You mentioned some medical symptoms and we encourage your partner to seek help from a medical provider about these concerns. The following are just some of the signs of a serious problem that demands immediate medical attention:If they experience anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if they:Please also feel free to reach the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET to talk about options for treatment that are available to you. You can also chat with us online M-Th 9am-9pm ET and F 9am-5pm ET.Please don’t hesitate to reach out, and take care. "
5,Codman123,03/31/2021,Partner/Ex Broke up with me due to an ED and now I’m concerned for their health.,"Hi, I would first like to say that reading just a few of the forum posts has been very helpful as I can relate to every single one I’ve read which is of great comfort to me in my situation. And a special mention to BobJ who has provided some excellent advice to others on the forum.I would like to know if it was possible to talk to BobJ privately about my specific situation. I understand by replying on the forum could be of benefit to others but my partner, current ex, asked me specifically not to talk to anyone about this so I feel posting on an open forum somewhat betrays the trust they have put in me, and in addition they have previously mentioned that they have been seeking help via helplines and forums. So in short I am worried about them seeing this post, despite its obvious anonymity. However if necessary I could be willing to post some details on the forum. Thanks in advance for any response.",_admin_moderator,"Wed,03/31/2021-2:59pm",Welcome! ,"Hi, thank you for posting. We’re sorry to hear about what’s been going on and the concerns you’re having. Per our community guidelines, we don’t allow for people to post their personal information including contact information to keep this a safe place. You can take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. You mentioned how you’re worried about their health so for precaution we are providing you with this list. If they’re experiencing any, please make sure to talk to them about getting medical help as soon as possible. The following are just some of the signs of a serious problem that demands immediate medical attention:
If they experience anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if they experience:
If you’re looking for resources, please feel free to contact the confidential Helpline at (800) 931-2237. Phones are open Monday-Thursday 11AM-9PM EST and Friday 11 AM-5PM EST. Our Click to Chat is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can click the chat now option at the top right hand corner! Please continue posting.",,,,
6,986jj,02/26/2021,Pushing Away,"Hi all,I'm a long-time lurker, and first time poster. My girlfriend and I have been together for over two years, and for the past year or so, her ED has been a near-constant in our relationship. After a flare-up in the spring, she opened up to me about everything, and I am the only person in her life who knows the full extent of what she is going through. Her friends are aware that for a little while, something was wrong, but they think she is more-or-less fully recovered. On the other hand, her family refuses to believe that she even has an eating disorder, and frequently make comments about her weight and eating habits.Despite a less-than-ideal living situation, she has made great strides in recent months. Days of intense behaviors are in the rear-view, and now, her eating and exercise habits are much more sustainable and healthy. Things are not perfect - portions are still precisely measured, body image is still a major issue, etc. - but they have gradually improved with the passage of time. So much so that, as of a few weeks ago, she told me she felt the healthiest she has felt in a long time, and that she wanted to try expanding her diet to allow her to regain some of the weight she initially lost.Naturally, I was pumped to hear this. I love her unconditionally, and any decision to lose or gain weight won't affect that in the slightest. But even still, it felt like such an important milestone on her road to recovery. She was hopeful as well, but more than anything she was, understandably, really scared. Fast forward about a week or so. She has a busy stretch at school, and starts to cancel plans. We still saw each other a few times, or at least FaceTimed for a few minutes when things were really stressful. I know how hectic midterm season can be, so this was, in a sense, expected, and totally okay. Within a few days though, reaching her became almost impossible, and any attempts to make plans were being shut down. By the end of the week, we ended up going for a drive. She broke up with me, saying that I deserved more than what she had to offer me, that she wasn't good enough, that she needed to learn how to love herself before she could love someone else.I was caught by surprise, but not totally shocked. We had also taken a break when she was going through the initial rough patch last spring, and the reasons she provided then were more or less identical. Realizing this, I started to put two and two together, and now suspect that the breakup was a way to push me away, likely because of her ED, and possibly because of the stress she is feeling about her desire to take a leap forward and put on weight. I've also read up quite a bit on the topic, and this seems to be a pretty common response for people in similar situations - to push away people who are already deeply involved in the process, sometimes for fear of disappointing them, or not wanting to let go of their ED just yet, even if they know it is the right thing to do (Having battled addiction in the past, and can definitely relate to this).We agreed to stay friends, and texted back and forth - almost as if nothing had happened - for the next 24 hrs or so. We even hung out again two nights later. Everything felt natural. Nothing affectionate, but we both had a really great time, and she told me as much at the end of the night. She has had a difficult time with affection for a few months now, so when she hugged me tightly for a really long time before leaving, I felt so happy, and thought that maybe this was all just a necessary bump in the road, and that everything would be just fine. She even told me she realized that she was pushing people away, and that she was going to make an effort to be more accepting of people's help by not doing it anymore.So we made plans to see each other again a few days later, but they fell through. The connection that felt restored just a few nights earlier had suddenly evaporated again, and by the end of the week, she was ignoring calls and texts. Finally, she reached out on the weekend to let me know that she decided to go stay with a friend in another town for the next two weeks, and that she wouldn't be able to see me for a while. She said she's not sure if she wants to be friends, and that maybe we shouldn't talk anymore - at least for a really, really long time until she feels ready. I can't help but feel that this is an attempt to push me even further away. It is like she knows that I want to help, and that I'm the only one who knows what she's going through (I don't mean to sound as if I know what her ED feels like, but rather that I am the only one whom she regularly opens up to about it). It almost feels as if she would rather lose me than lose her ED. This makes me feel confused and a bit sad, but I am not upset, nor am I willing to lose hope. What she is going through is not her fault.It's been a week since she left town, and we have managed to communicate a little bit - mostly just discussing our situation. She talks as if she wants to totally cut me off and get over our relationship entirely, which I am having a hard time accepting, especially considering just a few weeks ago, everything was fine, and outside of her recent developments with her ED and school, we were inseparable, and on great terms. Although she is insistent on needing her space, she still responds to texts, and we've had an ongoing conversation for a few days now, although it does take a while for replies. On the whole, it feels like I am being erased.  Does anyone have any advice on how to handle this sort of situation? I want to strike a balance between giving her space, and staying in touch. Ideally, I want to be with her, but more than anything, I want to be able to communicate, and to help her in any way that I can. I have written her a few letters telling her how I feel. I try to be as supportive of her ED as possible, as well as make her feel as comfortable as I can. But whenever I do try to bring up her ED, and its relation to our current situation, she avoids it altogether.Thanks so much for reading! Any help would be greatly appreciated.",_admin_moderator,"Sat,02/27/2021-11:14am",Welcome!,"Hi 986jj, Welcome to the forums! We are glad that you reached out for some advice and support. We edited your post to remove mentions of specific numbers as stated in our community guidelines, which you can find here.We wanted to remind you that you can always reach out to the NEDA helpline if you feel like you need more support or access to more resources in the meantime. The helpline phone hours are Monday through Thursday 11am-9pm ET and Friday 9am-5pm ET and can be reached by calling 800-932-2237; you can also use the online chat to speak to someone Monday through Thursday 9am-9pm ET and Friday 9am-5pm ET. There are also some resources for loved ones here. Keep posting!",,,,
7,MegLeg,01/15/2021,Advice for Helping Boyfriend with BED (+ Bipolar II),"Hi everyone,
I just joined this forum and haven't found any posts regarding binge eating disorder. Lately, my relationship with my (live-in) boyfriend has been a bit strained. Almost all our day-to-day responsibilities have shifted onto me over time and I need to talk to him about this because it's causing me to feel depressed most days. But I'm also really concerned about his eating habits because they've been getting worse.He's diagnosed with binge eating disorder and has insomnia (due to the bipolar disorder) and he's been sneaking more and more junk food while I'm sleeping. I get our weekly groceries (including healthy snacks he likes! and he gets input in the list) and do all the cooking for us but he works part-time at a pharmacy and brings home snacks every day he works. He also drinks energy drinks all day. Whenever I ask him what he got, he lies about what's in the bag (telling me about 1-2 of the items, leaving the others in the bag as if I can't see them) and then he justifies the purchases to me based on their price (""well I only got this because it was only $3 for 2"") kind of making it seem like he HAD to purchase it.Our days are so different it feels like we're living completely separate lives - I get up at 7:30 and clean up wrappers/plates/etc he left out the night before, take care of our pets, get ready for work. I have lunch at 12:30 or so and if it's an off-day for him, he won't get out of bed until around 3pm. I get off work at 4 and do some more house chores or errands and make us dinner (anywhere from 5:30-7:30). After dinner, I'm so exhausted and usually feeling frustrated at him (probably a little bit of jealously, too if I'm being honest) and I don't want to do anything except curl up and read. But at this point, he's ready to hang out, play video games and watch tv together. After I go to bed at 11pm, this is when he struggles with binge eating. He usually starts around 12 or 1am and sometimes has gone as long as eating continuously until 6am. Usually he finishes eating by like 3am and then he immediately goes to bed once he's done eating. We sleep in separate rooms (due to the insomnia) and I often find even more food/wrappers hidden in his bedroom. I have to write in sharpie ""for a recipe"" on anything that's off-limits at night because there have been times I had to go to the grocery store to replace something he ate at night.Lately I feel like I'm teetering back and forth between feeling like I'm being controlling and feeling like I'm being steamrolled and completely losing myself in the relationship. I almost never feel balanced between those 2 feelings. He kind of has this habit of shifting responsibility onto me. Like when he first moved in 2 yrs ago, he wanted me to find a way to lock the fridge and keep the key from him at night - which feels really unfair to me (or maybe I'm a bad caretaker?).Has anyone else been in a similar situation? How can you show you care without making it feel like a parent-child relationship? It's hard to approach the topic because he has a history of being shamed for his weight.Thanks in advance!",_admin_moderator,"Fri,01/15/2021-5:26pm","Dear MegLeg,Welcome to the","Dear MegLeg,Welcome to the forums! We are writing to inform you that we edited your post to remove specific food items and disordered eating behaviors that could be triggering for other users. You can review our community guidelines here. Thanks for your understanding and please continue to post!",,,,
8,jareddj3,12/16/2020,wife recent diagnosis,"good day everyone, this will br my first post, i wish i found this forum earlier. a brief history on my situation, my wife was recently diagnosed 2 months ago (nov 2020) with anorexia by a psychiatrist. few month before this, maybe summer 2020, she started converting to a specific diet ( she eats a regular diet prior), when I asked why, she said she is limiting her caloric intake to lose weight. she has been doing indoor cycling for about 3 yrs.this year she added beach body on her exercise routine on top of her daily cycling. I notice her mood getting worst, she gets irritated easily, she is more withdrawn and depressed as well. I asked her how much is her daily caloric intake is, and she said she limits herself to X calories/daily. i asked her this because i notice that she spends her off days grocery shopping and preparing her meals all day. she weighs each and every ingredient, and makes sure that she eats <X calories/day.she states that this is the only way to she lost weight, and she finally is getting to her weight goal of X lbs. while all this is happening, i told her she might be anorexic and we should consult a psychiatrist. she agreed with me, because she said she want to prove to me that she is fine.
after a long wait, we finally got our appointment, she was diagnosed with Anorexia nervosa, anxiety disorder and depression. she was referred to a nutritionist and started on a medication.
Our nutritionist has been great, she informed her that she needs to increase her caloric intake, and stop using the exercise bike (she complied to this) the dietitian also gave her a guide for her meal plan, which she refused to follow. all this happened in the last 2 weeks, the dietitian asked me to weigh her blindly, she was able to take a peek of her weight and she freaked out. I decided to hide our scale at home so she would stop monitoring, she said she feels like she is gaining weight and will need to keep her diet. last weekend while at work, she felt lightheaded and had a hard time focusing, so she asked to go home early, she was instructed to go stop by an urgent care if she can just to be sure she is ok before going home. all her vital signs appeared normal, and they did a set of labs. we assume the results was normal since we have not heard anything from them. she decided to call insick for the next day just to rest.
monday came, and she felt normal, and we updated our dietitian on what happened in the last 2 days, and she recommended that my wife go into an inpatient rehab. my wife did not take this lightly,
she told me she would try to follow the diet  recommended as long as she doesn’t go in rehab. so yesterday, she finally ate a regular light meal, and we went grocery shoping for her meals this week. she is trying to comply and i know it is against her will and she is not happy. the nutritionist touched bases with me and i told her the progress. she said she is worried about refeeding syndrome and will
talk to my wife again. i know for a fact that my wife will never agree to go to rehab at this point, I am just lost on how to handle this at this point and I know we have a long road ahead of us. I hope someone can chime in and give their suggestions on our situation, I apologize for the long narrative",_admin_moderator,"Wed,12/16/2020-6:14pm","Dear jareddj3, welcome to the","Dear jareddj3, welcome to the NEDA Forums! We would like to inform you that we edited your post to remove weight, height, and calorie numbers that could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post!",,,,
9,Bdutra1,10/28/2020,Waking up nauseated & vomiting ,My 18 year old daughter has relapsed.  We are trying to up her calories and working on keeping a meal plan.  She wakes up nauseated and throws up stomach acid most morning.   I’m at a loss now to help her.  She is a legal adult so I don’t have any power. Is this morning sickness just part of refeeding process? Any information would be greatly appreciated.,_admin_moderator,"Thu,10/29/2020-2:29pm",Dear Bdutra1,We are so sorry to hear about yours and your daughters struggles. We want to strongly encourage that your daughter seek medical attention from her physician. You can also always call our confidential NEDA helpline for assistance locating additional resources and support. We are available at 800.937.2231 M-Th 11am-9pm ET and F 11am-5pm ET. You can also chat with us online M-Th 9am-9pm ET and F 9am-5pm ET.beats per minute) temperature of less than 35 degrees Celsius/95 degrees Fahrenheit Or for any other medical concerns.  Seek medical help soon on an outpatient basis if you:  ,,,,
