,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Fireflyseeker,07/05/2021,Nocturnal eating syndrome,Hi does anyone here have NES?  I would like to connect with someone who understands what I'm going through.,_admin_moderator,"Wed,12/01/2021-2:05pm",Hi Qeser!,"Hi Qeser! It's great that you are posting and here to support others, however we did have to slightly edit your post to remove links and specific foods. This can be triggering for others and violates our community guidelines. You can review them here. Keep posting!  ",,,,,,,,
1,2Healthy4me,10/18/2020," My Slew of Daily Vitamins, and by the way, … i Feel Flat as an Emory Board...","So I had a rather efficient breakfast, and a nice beverage after awakening. Weighed myself 1st thing after relieving my bladder this morning. Feeling upset that my weight is still rising. I am trying so hard to keep physical while @ work, as well as for my daily walking routines, not over eating, and usually Not snacking on Hi Cal foods or snacks.But according to the d--- scale my body weight is resisting my need to feel in control of obesity. Last week couldn't walk due to my fall on the stairs. Then the heat kept me from walking earlier and it seems to get dark outside even though the temperature is finally at the level which I allow myself to do outdoor exercise at.
So, even that is out of my control. I messed up on doing a rather complicated register transaction so now my new employer told me to Not do the same transaction again. In a way that is a relief, as most the people who I ever have to deal with in doing returns always seem somewhat disgruntled upon entering the store, or returning out of retaliation or something regarding their feelings towards the people working here.I experienced  another shoplifter run out of the store again. Another assistant  manager screamed and gave verbal command to call the police in lieu of just Quietly and Discreetly calling them themselves. These people are paid a lot more than the regular cashier and stock staff. So I feel that they need to go through a security training on how t use smart phone technology to use them as they witness an event causing them to feel the need to chase and scream loudly in the store, which is stressful for me to deal with.My last job in retail always have had at least 1 security guard that was at the front door checking baggage of customers exiting daily from the store. It's requires at least 1 trained guard. Cashiers having to take attention off the customer being served is really annoying, and should really be unnecessary. Really, at least the managing staff should be as well versed on how to discreetly use smart phones for asset protection as they are trained to look up the price or location of the stock on sales floor.It can all be done with 1 store smartphone, but requires an additional training in the use of dialing out police, as well as in how to take discreet security photos to acquire proof of their accusations for yelling and chasing these locals out of the store swiftly....Now on 1st of a few days off from work and feel like if I don't eat until I'm stuffed as a bell pepper and feel pain in stomach to remind my self that I am still alive, though totally quiet and isolated at home here in my doll house like apartment. I am still sheltering from covid,  and avoiding neighborhood pools, malls, driving somewhere else other than being here at home alone paying bills, and doing online, fantasy,  ""window shopping""....Or Not eat all day and continue to feel numb and isolated.....like,  a Bad boy on house arrest.",_admin_moderator,"Mon,11/22/2021-10:33am","Hi boylejake, we would like","Hi boylejake, we would like to inform you that we edited your post to remove the outside link as well as the mention of specific food items since they could be triggering to other users and any kind of advice is not allowed on the forums. You can review our community guidelines here. Thanks for your understanding! ",,,,,,,,
2,kiwi_0423,10/21/2021,I don't know how to stop! :(,"I am new to here, just signed up today! I am struggling so bad with binge eating at night and I have struggled on and off for about 5 years now. I have gained so much weight, as I had gained due to an injury 2 years ago and never lost that weight, then gained more during the Covid shut down and now more since June! I work so hard to eat healthy during the day and I used to be very active at my gym, but now just don't do anything, I am a slug! I eat a healthy dinner, then around 6ish, the kitchen calls me for more food. Then I feel horrible about myself and feel fat and ugly and ashamed and swear it's the last time and I do it all over again the next night.  I am so depressed and just lost. I don't know what to do! I do not have any insurance right now, so I can't seek counseling, I just don't know where to turn! :(",_admin_moderator,"Thu,10/21/2021-2:06pm",Welcome! ,"Hi Kiwiw_0423, welcome to the forums! We are happy to have you here and it's great that you are reaching out. You can check out the tab ""Help & Support"" and click on ""Low & Free Cost Support"" if you would like some resources. If you ever want to talk to someone or reach out, NEDA is here for you. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat  to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We hope you find the support you are looking for and keep posting!  ",,,,,,,,
3,applesforaddison,10/29/2021,alternative to calorie counting ,"i started recovery less than a month ago. in order to make sure i eat enough, ive been counting calories. (wouldn't do this if i was in touch with my hunger cues, but unfortunately i'm not.) however this often leads to fixation on food and i also find myself avoiding going over that number. i've tried a set number of meals and snacks a day, but it gives me anxiety. does anyone know any other ways to make sure you eat enough? thank you",_admin_moderator,"Mon,11/01/2021-10:15am",Welcome!,"Hi! Thank you for posting. We hope that you’re able to get the support you deserve here on the forums. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. Phones are open Monday-Thursday 11AM-9PM EST and Friday 11 AM-5PM EST. Our Click to Chat is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can click the chat now option at the top right hand corner! Please continue posting!",,,,,,,,
4,Anonymous_they-them,10/21/2021,I don't really know what I have,"I've done alot of research and I'm fairly confident that I have ARFID, but from what I've learned people with ARFID don""t care about thier weight, and I do, up until i was 14-15 I was under a healthy weight, and when I finally got to a healthy weight, I convinced myself I was happy about it, but I think I was really just covering up the fact that I wasn't, now I'm 16 and I went to the doctor yesterday and they weighed me, and I didn't think I really cared that much about my weight but getting that number really messed with me, I haven't eaten anything since dinner last night all I've done is drink, and I really don't want to eat, but I'm confused, everything I read about ARFID says people with it don't care about thier weight or body shape,can I have ARFID but still care about my weight and body shape? Is it possible I have more than one ED?",_admin_moderator,"Thu,10/21/2021-2:15pm",Welcome! ,"Welcome to the forums! It's great that you are taking this step to share your experience. Eating disorders are different for everyone but you are not alone. We did want to mention that we edited your post to remove weight, which can be triggering for others. This violates our community guidelines, you can review them here. Keep posting!",,,,,,,,
5,Gracey_,10/11/2021,Hi,I've been hiding food from my parents and sister's after someone passed away and I feel like something is wrong with me.,_admin_moderator,"Tue,10/12/2021-1:31am",Gracey_,"Hi Gracey_, welcome to the forums. We’re glad you’re here. We are so sorry to hear about your loss. If you need assistance finding resources to support you, we encourage you to contact the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Please don’t hesitate to reach out and take care.",,,,,,,,
6,Spreview,10/14/2021,New here how do I search the forum?,"I just joined the forum and am exploring it, but I do not see a search feature to be able to see if topics have been discussed before. Am I just overlooking it somewhere?",_admin_moderator,"Fri,10/15/2021-2:29pm",Welcome! ,"Welcome to the forums, we are glad you are here! There are many threads about different topics discussed throughout the forums so it's best to look in the category that would best fit what you are looking for. For example, if you're looking for ways to support your sibling, looking under ""Siblings of Sufferers"" and browse through the threads to find a topic that could help find what you need. It is also perfectly fine to start your own thread on a topic! ",,,,,,,,
7,Magelle17,10/13/2021,"I dont know where to start or if it's a ""thing"" ","I've spent the past few years in and out of every doctors office possible trying to get a diagnosis for why my body has suddenly revolted. I went from being an athlete and fun stay at home mom to barely able to lift my toddler and unable to work. I've been diagnosed with multiple autoimmune diseases as well as mitochondrial disease. I know my body needs more food to supply healing but I feel sick when I don't eat and sick when I do. I have to be on a restricted diet because my levels were toxic. I eat super clean but I also moderate food groups. I can get in my calories for the day and even then I feel overfill and sick. I'm so bloated and uncomfortable all the time. That's just the tip of the iceberg. I'm honestly afraid to try any sort of food because of how I may react and I don't want to feel worse. I have done different diets and food groups for years as well. No one has any answers. I want to get better. But I feel like my fear of food is out of control. It makes me SO SAD because I LOVE cooking and baking for my family, yet I eat none of it. I honesty just want my life back.",_admin_moderator,"Thu,10/14/2021-2:15pm",Welcome Magelle17,"Welcome to the forums Magelle17! NEDA is here for you and it's great that you are sharing. We did want to let you know that we edited your post to remove specific diets, food grouos and calories, which can be triggering for others. This violates our community guidelines where you can check them out here. Keep posting!",,,,,,,,
8,Braviary18,10/09/2021,Simple meal ideas?,"This is my first time posting on a forum like this, I'm really nervous to submit this but I'd really appreciate some help or feedback or even some kind words.I struggled with bulimia for a couple years in college. It started with dieting and counting calories until it progressed to throwing up almost all day long, everyday. I was always hungry and the only thing I could think about was what food I was going to eat next and how I would purge. I tried stopping at various times, but could never quite fully pull myself out of the hole I dug around me. I dated a few guys in that time and each time they found out, they were really angry with me and the relationship would end shortly after. I felt like a ticking time bomb.One day I started dating the guy of my dreams, a guy I had a crush on since I was 14 and it turned out he liked me the whole time too. I decided to fully quit bulimia. Of course I had some slip-ups in the first week of trying, but eventually I stopped puking. I had to learn how to eat fast and sugary food again without feeling sick. I had to learn how much food was a normal amount because I hadn't felt full in years. The first time I felt full and let myself digest my food I cried because it had been so long since I felt 'normal'.I started recovery on my own, but after I felt confident eating and digesting food I eventually told my boyfriend and he was perfectly wonderful about it. I had to teach him my needs, but he never made me feel bad. By the way, he lives in Massachusetts and I live in Texas. He FaceTimed me for every meal and told me I was beautiful and perfect every single time I started worrying about my weight.Over the summer I got a job in Massachusetts and lived with him in a tiny room in a house he shared with 4 guys. It was hard at first and there was even a time I almost gave up because he didn't understand I needed to eat at the same time everyday because otherwise I wouldn't eat at all. We talked it out and developed a plan. It ended up working out and I got used to living with the perfect, most loving, caring person.Summer ended and I had to go back to Texas for my last semester of college. I'm doing well in my classes because I don't skip and I always get my work done, but I'm struggling with eating again. For some reason almost all food looks gross to me. I don't think I'm eating nearly as much as I should be even though I'm really trying. I was really happy with my weight, but now I'm almost back to my high school weigh. I've never really struggled with anorexia before, but that seems to be my new problem. I'm not sure if it's because I'm sad from missing my boyfriend or scared of food because of my past relationship with it, but something's definitely wrong. I used to always be hungry and now I never am. Yesterday I felt sick while sitting at my computer, so I stood up and my vision went black at the edges. I crumpled to the floor and dropped everything in my hands and waited on the floor in the fetus position for the feeling to go away. I ended up taking a nap and ordering food for dinner and then sleeping very early. I feel alright now, but a little shaken. I think I'll feel better if I get back into a routine of eating at the same times everyday, but I've never been a very good cook and usually just ate microwavable meals. The problem is that type of food just looks gross to me now. I was hoping some of you might have some simple, fresh meal ideas for a recovering bulimic/possible anorexic that I could make easily. The less complex the better. Thank you for reading, sorry it's long.",_admin_moderator,"Sat,10/09/2021-1:47pm",welcome to the forums ,"Hi braviary18, welcome to the forums. We are glad that you reached out for some advice and support. However, the NEDA Community Guidelines do not allow discussion for nutritional advice. We slightly edited your post to remove specific weight numbers. Thanks for your understanding and please continue to post!  ",_admin_moderator,"Thu,10/14/2021-9:47am","Dear ilostmyself.98, We would","Dear ilostmyself.98, We would like to inform you that we edited your post to remove the nutritional advice. As per our community guidelines, any kind of advice is not allowed on the forums. Thanks for your understanding and please continue to post!   ",,,,
9,kat167mar,10/04/2021,i might have eating disorder ,"I lost lot of weight in past month not on purpose but because i feel disgusting when i eat, i want to gain weight but i just can't force myself to eat. i just feel like i have problem in my head but at same time i think i am just overreacting. am i overreacting?",_admin_moderator,"Mon,10/04/2021-9:06pm",Welcome!,"Hi kat167mar - welcome to the forums! We’re glad you found us. Since you’re new, we wanted to make sure you knew about the NEDA Helpline - (800) 931-2237. Helpline phone hours are Monday-Thursday from 11AM to 9PM ET, and Friday from 11AM to 5PM ET. Helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. You can contact the Helpline for support, resources, and/or treatment options. Please don’t hesitate to reach out, and please continue posting!",,,,,,,,
