,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,Fireflyseeker,07-05-21,Nocturnal eating syndrome,Hi does anyone here have NES?  I would like to connect with someone who understands what I'm going through.,Fireflyseeker,"Wed,07/07/2021-10:42pm",Just bumping as still seeking,Just bumping as still seeking someone with the same ED,tarthazel,"Fri,07/16/2021-2:16pm",NES,"I have this.  This started for me after I lost my mother.  I am not a young person, but when I get up in the night ususally to go to the bathroom or take the dog out, I always want to eat, I don't eat alot, but I look for something, not meat and potatoes, usually sweet or some desert type thing or candy that we have in the house.  I hate this habit, I hide it from my partner and everyone too.  I try to drink water instead, it doesn't satisfy it.  I know it's not good for you.  Do you have any tricks that help? Do you eat more then just sweets, etc.? I sort of dismiss it, but I know that it's probably not a normal way of eating, especially because I hide it. Tell me about your NES.",Fireflyseeker,"Sat,08/21/2021-10:44pm",Nes,Hi. Thank you for your reply.  I usually eat sweet things when I wake up. But I also eat savoury stuff.  My only trick is to try not to fight it.  I know I am incapable of not eating when I wake up so I try and plan what I eat.  I lay it out on the Bench in the hopes of limiting what I eat.  It doesn't always work. I have seen an eating disorder psychiatrist and.she said it is because I don't eat enough during the day.  But I don't eat at night because I'm hungry. And I used to be obese and eat lots during the day but I still had the night time eating problem.  So I was very disappointed in her comment.  And now I feel like she won't bother to look for the real reason why I eat at night.,InvisibleCape,"Thu,08/26/2021-12:25am",I have NES as well ,I just joined this group as i realized that i have NES as well. I overeat at night when everyone else in the house is asleep.  Mostly sweets that are easy for me to digest - no protein.  I start thinking about what I am going to overeat early in the day.  I try to control it - but finding it very hard.  I have tried eating more at dinner to be less hungry at night - does not help.   I tried eating less during the day - also no help.,Fireflyseeker,"Sat,08/28/2021-11:36pm",Nocturnal eating syndrome,Hi there. Sorry to hear of your struggles with food.,Qeser,"Wed,12/01/2021-4:34am",I understand what you mean. I,"I understand what you mean. I also experienced a night binge eating disorder when I was stressed by adjusting to my nightly work schedule. I had never worked night shifts before, but the conditions forced me to try this regime. It was terrible. I felt tired and hungry all the time. I didn't seem to distinguish between psychological and physical hunger. The only thing that came to my mind were some snacks. I don't really like sweets, I constantly want protein. I try to dose the consumption of snacks, convincing myself that at least it might seem useful. And it's really better than bingeing at 3 a.m. ....",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nadini,01-09-21,Dentist/ treatments ,"Hello! I just found this forum and signed up in the hope of finding support and advice. Please forgive me if this question has been asked before. I didn't see a search function.I've suffered from anorexia and bulimia for many years and I've destroyed my teeth. I'm terrified of going to the dentist, of the treatment (or lack of) and I also worry that I won't be able to afford the kind of treatment I would need to""fix"" my teeth. I've never had the guts to confess to any dentist why my teeth were in such a condition (although I'm sure it's more than obvious! I always wondered why they didn't ask me).Has anyone had a similar experience and maybe can point me in the right direction? I'm afraid I need dental implants. I'm terrified...And lastly does anybody know of any dentist that specialize in treating people with eating disorders?  Thanks so much for any insight. I appreciate you all.",CASACERA,"Tue,01/12/2021-6:00pm",I'm living at the dentist these days,"Oral surgeon and my regular DDS. My teeth are a wreck Nadini, but NOTHING to do with my ED.  So don't be so hard on yourself, o.k.? I've had some implants and may have to have another. 4 painful extractions. All upper teeth issues. Taken care of my teeth my whole life but it is what it is. Expensive, too yes. But the DDS doesn't have to know why you have this problem, he/she just needs to fix and repair them. When my DDS said I'd need a partial denture on the upper part of my mouth. he and his assist. saw how upset I was  and he said ""o.k. I'll make you a 6 tooth bridge instead (all across the top front, o.k?"" So right now I have the 6 tooth temp. bridge and that's where I am in the process. I'll probably post about this when it's done. Good luck to you. CC",Tryingtoheal,"Tue,11/30/2021-12:03pm",Actually ,"Eating disorders are usually a MAJOR consequence of dental issues.   But the eating disorder is not your fault.  Do you insurance, nadini?  Maybe you can get a quote for what needs to be done.  Keep us posted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ev.1234,10/20/2021,I feel trapped and don't know how to stop,"I have an eating disorder. I have always had body dysmorphia and have had bad thoughts about eating since I was young, but I was able to pretty much push those thoughts aside and maintain a normal eating lifestyle. It wasn't until sophomore year when I dropped a significant amount of weight (due to stressful situations) that my mindset changed. At first when I lost the weight I knew it was unhealthy so the summer after my sophomore year I worked on rebuilding my body and I ate normally and enjoyed exercising. That summer I had the healthiest relationship with food and my body, and it has been the last time I have ever had a healthy relationship with food. That was the summer of 2019. When returning to school, I was healthy at first, but then I had the constant desire to lose weight and be skinnier than all my friends. So I heavily restricted almost all foods and again I lost a vast amount of weight. I kept on my restriction until quarantine. When quarantine hit I told myself that it'd be really hard to restrict myself without going to school and being at home all day. During quarantine I would severely restrict myself and then binge and repeat. I am still stuck in the loop of restriction and binging and I want to change my brain so bad. I know that binging comes from restriction, but even when I'm not restricting my brain wants me to keep eating until I'm sick. I am just confused and looking for advice on how to change my mindset and lifestyle because my eating disorder has brainwashed me and has become a habit. If anyone has any helpful tips I would be more than happy to hear them.",brokendocs2,"Fri,11/19/2021-11:31pm",ME TOO ME TOO. it is such a,ME TOO ME TOO. it is such a cycle i binge then restrict then the same thing. i dont know how to stop. please let me know if you figure it out.,2Healthy4me,"Sat,11/27/2021-5:24pm",How are you doing now?,"Hi, I hope you are feeling better. I haven't seen any more entries to your original postso I just wanted to check on you and see how things are going for you. Have you returned to school yet? They have counselors on campus at nearly every college and university. I hope that if you have returned to college that you are able to find some therapeutic support for yourself. Good luck and Happy Holidays too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2Healthy4me,10/18/2020," My Slew of Daily Vitamins, and by the way, … i Feel Flat as an Emory Board...","So I had a rather efficient breakfast, and a nice beverage after awakening. Weighed myself 1st thing after relieving my bladder this morning. Feeling upset that my weight is still rising. I am trying so hard to keep physical while @ work, as well as for my daily walking routines, not over eating, and usually Not snacking on Hi Cal foods or snacks.But according to the d--- scale my body weight is resisting my need to feel in control of obesity. Last week couldn't walk due to my fall on the stairs. Then the heat kept me from walking earlier and it seems to get dark outside even though the temperature is finally at the level which I allow myself to do outdoor exercise at.
So, even that is out of my control. I messed up on doing a rather complicated register transaction so now my new employer told me to Not do the same transaction again. In a way that is a relief, as most the people who I ever have to deal with in doing returns always seem somewhat disgruntled upon entering the store, or returning out of retaliation or something regarding their feelings towards the people working here.I experienced  another shoplifter run out of the store again. Another assistant  manager screamed and gave verbal command to call the police in lieu of just Quietly and Discreetly calling them themselves. These people are paid a lot more than the regular cashier and stock staff. So I feel that they need to go through a security training on how t use smart phone technology to use them as they witness an event causing them to feel the need to chase and scream loudly in the store, which is stressful for me to deal with.My last job in retail always have had at least 1 security guard that was at the front door checking baggage of customers exiting daily from the store. It's requires at least 1 trained guard. Cashiers having to take attention off the customer being served is really annoying, and should really be unnecessary. Really, at least the managing staff should be as well versed on how to discreetly use smart phones for asset protection as they are trained to look up the price or location of the stock on sales floor.It can all be done with 1 store smartphone, but requires an additional training in the use of dialing out police, as well as in how to take discreet security photos to acquire proof of their accusations for yelling and chasing these locals out of the store swiftly....Now on 1st of a few days off from work and feel like if I don't eat until I'm stuffed as a bell pepper and feel pain in stomach to remind my self that I am still alive, though totally quiet and isolated at home here in my doll house like apartment. I am still sheltering from covid,  and avoiding neighborhood pools, malls, driving somewhere else other than being here at home alone paying bills, and doing online, fantasy,  ""window shopping""....Or Not eat all day and continue to feel numb and isolated.....like,  a Bad boy on house arrest.",boylejake,"Sun,11/21/2021-10:58am",You shouldn't see food as the,"You shouldn't see food as the enemy. That's precisely what I did for so many years, which was the cause of my eating disorder. I've struggled with this issue for a long time before realizing that food isn't what defines me. Eating isn't the worst thing that can happen to me, and there are much worse things that I can do to myself than eating. I started looking at food as energy and a way for my body and mind to thrive. That's when things began to change in my life. I started working out, eating good food that wouldn't make me feel sick, and I even started taking vitamins and supplements!",2Healthy4me,"Sat,11/20/2021-4:50pm","You are Right, THANKS","Thank you for sharing how you feel. And, it is true too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,kiwi_0423,10/21/2021,I don't know how to stop! :(,"I am new to here, just signed up today! I am struggling so bad with binge eating at night and I have struggled on and off for about 5 years now. I have gained so much weight, as I had gained due to an injury 2 years ago and never lost that weight, then gained more during the Covid shut down and now more since June! I work so hard to eat healthy during the day and I used to be very active at my gym, but now just don't do anything, I am a slug! I eat a healthy dinner, then around 6ish, the kitchen calls me for more food. Then I feel horrible about myself and feel fat and ugly and ashamed and swear it's the last time and I do it all over again the next night.  I am so depressed and just lost. I don't know what to do! I do not have any insurance right now, so I can't seek counseling, I just don't know where to turn! :(",xhushdil,"Fri,10/22/2021-7:25pm",Thank you for sharing...Same boat,"Thanks for sharing your story kiwi_0423. I am in the same boat as you. Pretty much identical. I can for the most part do well during the day with healthy eating choices and then something just switches at night and I get so ravenous. I'm not even actually hungry or thirsty. I just seem to snap. I have had issues with binge eating and secret eating since I was elementary age and I am now in my late 30s. This is my first time taking a real step towards getting help. Over the years I've briefly browsed websites about eating disorders, but that's about the extent of it. Me signing up on this site was a big deal for me. I also took another step of finding a virtual support group. As of yet, I haven't actually registered or signed up for a group session. Perhaps in time. Baby steps.We can both do this and we will. We are off to a good start! :-) ~Torah",2Healthy4me,"Tue,11/02/2021-9:02pm",Sounds Like You are Isolated and Unmotivated,"It's difficult getting back on our feet after taking a mandatory recess while the rest of the world dies of Covid. I feel that I am lucky. I only get sick following vaccinations, but never had any signs of Covid so far, Thank God.Do you have any friends you can call and plan to go and do fun things with. Are you dating? What do you do to pass the day from AM to PM?Good luck in trying to reach out and go treat yourself to a mall-i-day. Most places are beginning to open up and some are even doing away w/ the face masks too.",brokendocs2,"Fri,11/19/2021-11:29pm",hi i am here for you! i am,"hi i am here for you! i am going through the same thing and it freakin sucks. im hiding it from everyone in my life, it doesn't make me feel good it makes me feel disgusting. lets help each other!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2Healthy4me,10/14/2021,Shopping for New Work Clothing is Stressful,"Stores round here wont allow us customers to fit on clothes in their fitting rooms.I hate guessing whether an outfit, or pants will fit me correctly. I have already returned online outfits, especially pants. The size chart of online clothing is Not always accurate. So tonight I continue to online shop and order clothes. My retail job kind of has a uniform. I  wear scrub pants and we have an assigned polo shirt. My teaching job is the 1 that I am finding myself doing online shopping for. I have tons of tops in my closet. I am donating a bunch of my favorite dresses that I had never worn, but had saved as they were so lovely. Now I feel bad but hope that some lady will be able to appreciate my dresses. Tonight I am feeling anxious. I have not worked for 2 days in a row. Tomorrow and next day I work both jobs. I need to go take my pm Rx's or I shall never chill and will feel jittery all night. Take care everyone, and take 1 day at a time.",Carole,"Tue,11/02/2021-5:35am",Reply re: Pants Shopping,"Hi 2Healthy4Me,
I'm so glad I came across your post sharing about the incredible difficulty in finding professional pants. I also have plenty of tops, but otherwise only jeans and capri leggings that are really comfortable. I have been out of work for 2-1/2 years and trying to find pants that truly fit, are a material my skin can tolerate, and are reasonably priced, has been overwhelming, and no success yet. The shame and unhappiness I feel about how my body carries extra weight and how that makes finding any pants that comfortably fit almost impossible is often overwhelming. When I did find a pair a while back, having them tailored to fit ended up being more expensive then the pants.
Yikes! I sure am venting here. I'm grateful to have found this site. Thank you for sharing.",2Healthy4me,"Sat,11/06/2021-4:15pm",Your Welcome,"Macy's has a plus women's department. The In Style Department has a line of soft stretchy jeans. This line of women's jeans are called, ""In Style."" I ordered a larger size but ended up overjoyed by the generosity of how stretchy the material fits. Now I may even fit in a size less. I hope that you explore some online shopping sites for plus size clothing. Just use their brands size chart and measure yourself for filling in the measurement blanks.It's fun shopping, and it sure helps distract me from binging unnecessarily.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Anonymous_they-them,10/21/2021,I don't really know what I have,"I've done alot of research and I'm fairly confident that I have ARFID, but from what I've learned people with ARFID don""t care about thier weight, and I do, up until i was 14-15 I was under a healthy weight, and when I finally got to a healthy weight, I convinced myself I was happy about it, but I think I was really just covering up the fact that I wasn't, now I'm 16 and I went to the doctor yesterday and they weighed me, and I didn't think I really cared that much about my weight but getting that number really messed with me, I haven't eaten anything since dinner last night all I've done is drink, and I really don't want to eat, but I'm confused, everything I read about ARFID says people with it don't care about thier weight or body shape,can I have ARFID but still care about my weight and body shape? Is it possible I have more than one ED?",kcporter6,"Tue,10/26/2021-3:12pm",Honestly,"It might not be the answer you were looking for, but I get it. I’ve never been diagnosed so I always thought I just had mild anorexia, but recently it seems a lot more like bulimia. But at the end of the day it literally does not matter. An eating disorder is an eating disorder. If food causes you distress, that’s not good. A diagnosis is very validating, but unfortunately it doesn’t do anything. At least in my experience. ED recovery is hard, and it goes the same for all EDs: stop behaviors, restore physical health, work on mental health, essentially. Idk if that helps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,idkjussad,10/17/2021,forced into recovery,"i feel as if im being forced into recovery. like its being used as an ultimatum for anything and everything i want to do this year for school. i go to a out of area school and my moms friend thats a teacher brings me. she knows about my ed because shes in the same building as the counselor and the counselor told her. about a week ago i had a really bad headache and she asked my sister where i was and she told her i stayed home because i had a headache, she then proceeded to tell my sister and the counselor that if i dont get better she wont take me to school anymore. that absolutely broke me honestly. i hate that a mental illness is constantly brought up to me and held over my head for anything. my mom will be like ""if you dont eat ... you cant go ..."" like okay? i dont understand how this is trying to make me better. recovery is hard as it is and theyre honestly not making anything better at all. obviously im going to keep trying at recovery but its so hard",BobJ48,"Wed,10/20/2021-4:37pm",Bullying,"Yeah, the idea that people can be shamed or bullied or punished into getting better….you gotta wonder what school of psychology that comes from.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gracey_,10-11-21,Hi,I've been hiding food from my parents and sister's after someone passed away and I feel like something is wrong with me.,Magpie0209,"Tue,10/12/2021-9:30pm",Nothing is wrong with you!,We all find different ways to cope with grief.  Try to be compassionate with yourself! Hopefully there is someone you can reach out to for support.,Gracey_,"Tue,10/19/2021-9:49am",Hi,Thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spreview,10/14/2021,New here how do I search the forum?,"I just joined the forum and am exploring it, but I do not see a search feature to be able to see if topics have been discussed before. Am I just overlooking it somewhere?",Spreview,"Fri,10/15/2021-3:16pm",Thank you.,Thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
