,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,01/30/2020,Concernedaboutafriend,treefrog2020,"My very close friend has been struggling with a few things in her life and has gone through a lot more than a 19 year old girl should ever have to go through. This year she took a second gap year before going to university, planned to travel yet seems to have let all those travel dreams fade and has no interest in it any more. She is not happy with her job and isolates herself. I try and make plans with her and she will either say that she will do x with me such as go for drinks, go for a walk, just chill and hangout but then she will cancel last minute or she will not respond to me until it is too late to do anything. Other times she wont answer me, and she never seems to reach out to me anymore to make plans. It worries me because she is isolating herself completely from friends, she did tell me she was taking time but I don't think that it is healthy to isolate yourslef for months. I understand she wants time for herself and I am not mad that she won't spend time with me, I am just concerned. She works out a lot too, and besides going to the gym and work she doesnt leave her house really unless she is running errands. Her younger sister reached out to me on because she is worried for her sister/my friend as she has notices she is very mad all the time, asks her/her dad for money weekly (avg $50), she hides out in her room in the basement, and jsut doesnt seem herself. And then the sister sent me a video of all the garbage from foods which she has hid in her cold cellar downstairs. Her sister says she sneaks the food in through the side door, and has heard her throwing up a few times, but she is also not home all the time because she is in school and at extra curriculars. Her sister says she will eat a bunch of these foods and then hide it in bags and throw it up. She has been vegan for quite some time, partialy for dietary purposes, so a lot of the food she has hidden is not vegan. She also doesnt eat when at work, which is from 9-5 (I worked with her this summer so I just noticed it). I saw her today as I ran into her at the grocery store and in her basket (I didnt observe too much because i didnt want to make her feel any more uncomfortable) but she had ice cream cones and chip bags, and more under that I didnt get a look at. I could tell she felt super uncomfortable and she hid the basket, so i kept it short and left. I just dont know what to do because I dont know for sure that she has an eating disorder, but i am really concerned as she is not acting like herslef and is shutting people out. When I saw her I noticed she has broken out in acne on her face and her face is quite puffy. I want to support her so badly because we are so close and I also miss spending time with her. I just don't know how to go about any of this in a way that won't upset her, or she lose trust in me.",BobJ48,"Fri,02/14/2020-4:33pm","I'm so sorry to hear about your friend !   But really, if you are on sites for people with eating disorders, you'll often hear them complain about everything that you've mentioned.  How they've lost all their friends, how they isolate themselves and never get out of the house, and how they've lost interest in all of the things that once interested them in the past.So I can tell you with some assurance that it's quite likely that your friend isn't any happier about this than you are.  And that she's probably not oblivious to the effects that it's having on her either.So really, it's like they have fallen under the power of an evil spell.  One that tells them that if only they can exert enough self-control, and lose those next few pounds, then somehow things will be wonderful for them…at some undisclosed time in the future.   Which…they can sort of believe in the beginning, but I suspect that your friend is past that stage now.  Which is what usually happens sooner or later.  Rather than it being an exercise in self-control that they can gladly congratulate themselves for, it turns into an inescapable nightmare instead.  Depression and despair can then start setting in, and as you've seen, an urge to isolate themselves too.To be honest, your efforts to help her re-engage with the world, and in normal daily activities are good ones I think.   Go for a walk, go to a play, go out and do anything really.   As you've seen, she's likely to make excuses, but I think it's OK to tell her that you won't take no for an answer.  You may want to let her know that you won't push the eating thing as a part of the activity, but you could go and drink coffee or something, and she'd probably be OK with that.Of course we aren't doctors or therapists, but we are qualified to be friends I think, and getting her out and doing the sorts of things that friends do together is a useful and proper role I believe.She'll have to be OK with allowing these things to happen of course, but you never know : If she does get out with you, you may find her thanking you and admitting that she had a good time.",Connec,"Sat,02/22/2020-8:28am","My friend who is in her 60’s has been restricting eating for years. I met her in a yoga class about eight years ago and did not observe/connect until spring 2019 when I learned she was in hospital. (when I became her health care proxy). Divorced and long-estranged from only family, a brother who lives thousands of miles away, has been isolating for years (apart from this particular yoga class which no longer exists). She does not admit to an eating disorder while in last 6 months her weight has dropped significantly. Won’t consent to in-patient (or out-patient) program. What is available in this upstate NY area is not great anyway.  She has some cognitive issues and may be slipping towards dementia.
Her primary doctor of many years and the eating disorders physician at local hospital don’t seem to have a plan, but just encourage her to gain weight. (I know because my friend no longer drives and I bring her to doctor visits). I contacted a psychotherapist who said therapy would not work with her brain so malnourished.  Looking for suggestions. Thanks.",BobJ48,"Tue,02/25/2020-2:44pm","This sounds like a difficult matter alright.  While you friend clearly has an issue, if she refuses to see it as a problem, I don't think there is much that anyone can do to make her gain weight voluntarily.  If she had some sort of clear medical issue that was weight related which threatened her life, perhaps she could be hospitalized for that.  But that she is simply thin apparently by choice, and getting thinner;  I'm not sure that the medical community would hospitalize someone against their will for a matter like that. However, you did mention that she was isolating herself, and if you are friends enough with her to actually want to spend time with her, you could play a positive role as far as helping her stay connected to the outside world is concerned.  Just by spending time with her, and perhaps the two of you doing some activities that keep her engaged in some of the more stimulating aspects of normal life.Eating disorders among older individuals is more common that most people realize, so what you are seeing in her is probably less out of the ordinary than it may seem.",,,,,,,,,,,,
1,02/22/2020,Olderadultanorexiarelapse,Connec,"My friend who is in her 60’s has been restricting eating for years. I met her in a yoga class about eight years ago and did not observe/connect until spring 2019 when I learned she was in hospital. (when I became her health care proxy). Divorced and long-estranged from only family, a brother who lives thousands of miles away, has been isolating for years (apart from this particular yoga class which no longer exists). She does not admit to an eating disorder while in last 6 months her weight has dropped significantly. Won’t consent to in-patient (or out-patient) program. What is available in this upstate NY area is not great anyway. She has some cognitive issues and may be slipping towards dementia.
Her primary doctor of many years and the eating disorders physician at local hospital don’t seem to have a plan, but just encourage her to gain weight. (I know because my friend no longer drives and I bring her to doctor visits). I contacted a psychotherapist who said therapy would not work with her brain so malnourished. Looking for suggestions. Are there any resources about how an untrained person might try some of the counseling styles (CBT, DBT, etc) that are often mentioned in treating eating disorders? Thanks",,,,,,,,,,,,,,,,,,,,,
2,02/15/2020,advice,starlover_13,"Hi,My best friend recently got diagnosed with anorexia nervosa around a month ago. Even though I had seen some of her restricting behaviors towards food, I felt guilty as her best friend for not noticing sooner. I struggle with another form of mental illness and some disordered eating, so, I feel ignorant for not always checking in when it came to food or realizing that she wasn't doing okay in any aspect of her life.",BobJ48,"Tue,02/18/2020-12:21am","Yeah, we can feel bad that somehow we didn't notice.  Particularly when it's a friend.   But EDs can be pretty secretive things, and sometimes even the person who has them is not willing to admit to themselves that they have a problem. But I'm not sure that checking her food intake would have helped much to be honest. I mean maybe she would have told you that she was restricting, or maybe she would have said there's no problem.  Often people don't want us to worry, you know ?But you are right ; perhaps there was something going on in her life that brought this on in the first place.  And who knows, perhaps there's something that's still going on.  Some kind of stressful situation that causes her to not feel in control of her life ?  Worries about control can often bring things like this on, but such concerns can sometimes be private too. Are you guys able to talk about any of this ?  Does it seem like she is interested in recovering ?The main thing will be to stay friends I think. Even if that means that you don't talk a lot about this.   Just being able to help keep your friend engaged in normal sorts of daily things, you know ?   So you can help her not to start withdrawing from the world, which is something that can happen in situations like this.   And that's not a good development for them.Whatever the case, your friend if fortunate to have a caring friend like yourself.  Things like that can really matter.  xx",,,,,,,,,,,,,,,,,,
3,12/22/2019,Encouragingfriendtogethelp,Kat.y,"I’m the only one who knows my friend is having issues with an eating disorder (restricting herself to extremely limited calories and purging).  I am trying to get her to go see a professional, but she is understandably scared to take the first step and won’t move forward. She says that she feels like it’s getting worse and I’m just worried that she is going to get to an unhealthy weight and begin getting bad side effects. Again, I’m the only one who knows about her struggles and she doesn’t feel like she can talk to anyone else about them. I know this isn’t about me, but I’m freaking out. It’s the number one thing on my mind everyday, and I just don’t know what to do. If anyone has any advice of how I can support her, I would be so grateful. I know I can’t fix her but I want to make sure I’m doing the most I can.  I’m really worried about her health and I just don’t know what else to do.  Thank you so much.",iwanttolive,"Wed,12/25/2019-12:27am","Hi.  I am sorry to hear about your friend, but am thankful for your concern.  I would first of all suggest that you contact NEDA and ask them for help and support.  They would be able to help you figure out what to do to help your friend.  I know when I was in school, my friend told my therapist about something life threatening that I did.  I was not angry with her and when she told me she told my therapist we both went together to talk with her and I did wind up going to a hospital.If you are this concerned about your friend, is it possible to tell her how concerned you are? Do you know her parents?  Are they involved in her life?  Being that I don't know you and we are really not allowed to offer advice, but share experiences and offer support, I will do that.  I also want to make sure you are okay and that you don't feel responsible for your friends choices.  It is difficult I know, but she needs professional help.  Maybe the two of you can contact NEDA together and get help and or referrals for a therapist for your friend.  That way you aren't going behind her back and at the same time can get help for yourself.  On the web site for NEDA there are tool kits for family and friends to help you know what to do and or say.  That might be helpful for you.  It is a difficult place to be when you care about someone a lot as you do, but to not get in over your head.  You can not stop your friend from using any type of behavior but you can be there to support her.  Again, I am concerned for you as she is responsible for herself and you are responsible for you.  That may seem harsh but if you take on her responsibility you are going to not be able to help your friend.  It is similar to when someone is drowning.  The friend wants to help the person drowning, so they go out to rescue the person who is drowning, but what happens is the person drowning brings down the rescuer and both wind up drowning.  If the other person is equipped and knows how to save someone, then a rescue can take place.
This may sound terrible, but it is true.  In order to help your friend, you need to be in a place where you are equipped.  Calling NEDA may help you with that and they can further assist you in what to do next.
I am sorry I was unable to offer anything better than this.  Eating disorders are life threatening and serious.  If your friend is as bad off as you are saying, please let someone know who can help her get help.  Thank you for caring about your friend.  I do not say all of this to discourage you but to say that while it is good that you are supporting your friend, she may need more than what you can give her.
Please, let us know how the both of you are doing.  You are both important.  I say all I did with care and concern, not to frighten you away.  iwanttolive",Kat.y,"Thu,12/26/2019-6:42pm","thank you SO MUCH for your incredibly thoughtful response. this is way more than i ever expected!
First of all, I really really appreciate that you're looking out for me. Everything you said makes total sense. I am working on trying to take better care of myself through all of this. I am planning on talking to my own therapist next week.
As for my friend, she keeps emphasizing that she is very scared to tell someone, because she's worried about what people will think, but also is nervous to give all of this up.  Her relationship with her parents is not in a place where she feels like she can talk to them about it. I feel like my biggest role is to help her get help and just be there, I just want to make sure I'm doing the most I can.
I wish I could give more specifics, but the last thing I want to do is have my friend's identity be traceable in anyway. But if it helps, we are both in college.
Again, I am SO grateful that you took time out of your day to respond. You are a saint. I hope you had a wonderful holiday season, and I hope for an amazing 2020 for you, you deserve it!",iwanttolive,"Fri,12/27/2019-10:11pm","Hi! I am glad you found my post helpful and I enjoy being able to help others navigate this illness as best I can.  You said you are both in college.  Most college campuses have counseling departments and many have therapists who understand eating disorders.  Some may even have a support group available free of charge.   Maybe if you haven't you can look into this.I am glad to hear you are looking out for yourself.  As far as your friend not wanting to worry or bother or being worried about what other people may think, if she is using behaviors others may know even if they aren't saying anything.  They may not.  I don't know.  Disclosure is always a very personal and difficult decision and one of the things NEDA is trying to do is help remove the stigma that comes with having an eating disorder and others in the mental health field are working on destigmatizing any and all forms of mental illness.  It is a big job and a lot of work still needs to be done in this area.  Many people do not understand eating disorders or depression and the others, and say, just eat, or just stop after on slice, or snap out of it....and ignorance is not bliss to those affected by it and the family members that don't understand and blame the sufferer.  So it is so difficult.I am very glad your friend has you to support her.  I hope the holidays weren't to difficult as they tend to be for many with mental health issues.  I hope you were okay as well. Please feel free to post anytime even to say how you are coping and dealing with helping your friend.
Take care.iwanttolive",Kat.y,"Fri,01/31/2020-5:23pm","Hello again!
I just wanted to update/maybe get some more advice if possible. My friend is still suffering a lot and doesn’t want to go to counseling because her family doesn’t believe in it. I totally get that, but I really think she needs professional help so I’m really not sure what to do. What is the best way of approaching this?
On the other hand, I’m still the only one who knows and I’m really really struggling in carrying all of this all by myself. I want to be there for my friend and the last thing I want is for her to feel like I can’t be there for her. (I haven’t expressed to her how hard it is for me) It’s just been a lot for me to carry on my own and I don’t really know what to do about that. Does anyone have any suggestions on how to handle all of this?? My friend’s well being is my top priority, because I know that she I suffering a lot more than I am, but I’m just struggling a lot.
Thank you so much!!",iwanttolive,"Fri,01/31/2020-10:32pm","Hi Kat.y.   I am sorry to hear that your friend is still not doing well. I haven't been posting but check in to see how people are doing, but I feel it is important that I respond to your post. Something you said concerns me, "" my highest priority is my friends well being as she is suffering a lot more than me"" or close to that. I understand your heart. But you can not save your friend. Take the drowning swimmer analogy.  You need to be strong and the other person has to have gotten to the point where they are no longer fighting and resisting help or both of you will drown. It is the same situation here. You ARE AS IMPORTANT as your friend. YOU MATTER as much as your friend and it isn't helpful to quantify the degree of suffering. Each person's pain is real and equally important and deserving of being helped. You can not save your friend. She needs professional help.  Loving someone sometimes means being willing to risk losing their friendship by getting them help. It sounds to me like you are in over your head and you need help as well. Please call NEDA as they can help direct you and help advise you how to best help your friend and take care of yourself. I am dealing with a very sick sister and it is so difficult.  I want her to do things that I think would be good for her but I have learned I can not make her or anyone for that matter do anything.   I on a good day am doing what is best for me. This is not saying not to help others or to be self absorbed but to learn how to be healthy when someone we love is sick. I know I just said lot. I encourage you to go with your heart regarding your friend. I don't want you to live with regret if someone happens to her. You love her. I know. I hope you are able to let someone know she needs help.  Again,  the NEDA helpline can help you further. Take care of yourself. iwanttolive",Kat.y,"Fri,01/31/2020-11:08pm","Iwanttolive-
Again thank you SO MUCH for your thoughtful response. I promise I’m working on taking caring of myself as well, I think I’m just overwhelmed. Your post definitely is helping me understand that I really need to take care of myself if I want to take care of my friend. Thank you for your care for others- it does not go unnoticed or unappreciated. I hope the best for you and your loved ones. I appreciate you so much!",,,
4,01/11/2020,Roomie/BFFwithBingeEatingDisorder,Itseemmmmaa,"Hello! My name is Emma & I am in college. My best friend, who is also my roomie has been struggling with binge eating disorder for a very long time. For the time I’ve known her she has gone through up and down cycles. Sometimes she will go without binging for some time, but just when I think she is starting to recover and make progress she binges. Her binges have been getting consistently worse everytime recently to the point where she will eat until she passes out and it last for days. I have tried to help in many ways. I have been supportive, understanding and patient. I am getting frustrating though because she has stolen food from me multiple times. We have set boundaries, but she has broken them. I am torn apart and am not sure what to do because she is my best friend. I want to be supportive and understanding still but I am getting to a breaking point. Please help me, I have no idea what to do.",_admin_moderator,"Mon,01/13/2020-2:25am","Hi Itseemmmmaa - you mentioned some concerning symptoms in your post, and we wanted to affirm that this is a sign for which your friend may need to seek medical attention. The following are just some of the signs of a serious problem that demands immediate medical attention:
If shee experiences anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if you:
 Please do not hesitate to call the NEDA helpline at 1-800-931-2237 (Monday-Thursday 9:00am-9:00pm, Friday 9:00am-5:00pm EST) if you need help finding resources to help support your friend. Please take care.",iwanttolive,"Mon,01/13/2020-8:38pm","Hi.   I am sorry for your situation and for your friends struggle.  Is it possible to get help through the counselling services at your college?  Many campuses have counselling centers.  You may want to go for yourself first and then let your friend know about them.   Also, NEDA has a lot of information on their web site on how to help someone you love, be it a friend or family member.  You can also call them or chat with them online.  If your friend is indeed passed out, it may be very important to call 911 or the nurse on campus.  I wouldn't worry so much about if she will be mad at you if you are saving her life.  It appears that she needs help but is not aware of it or is afraid of it or doesn't want to get help.  But it isn't your job to jeep your friend from hurting herself in this way.  As difficult as this sounds, it is her responsibility, but you can get her help if she is in danger.  If her life is in danger.  If she is passed out.  Eating disorders are life threatening.  They are very serious and without help usually get worse.  Please take care of yourself and know you can not control what your friend does or doesn't do.  I know it is scary.  I can see you love your friend.  Please let us know how you are and how your friend is doing.iwanttoliveI am sorry this sounds a bit negative, but I want to let you know that you are doing the best you can do and it sounds like it is time you got yourself support.  Please know that it is okay to feel the way you are feeling.",,,,,,,,,,,,,,,
5,12/27/2019,Notsurewhattodoatthispoint,koifish22,"My friend has anorexia, and has been struggling for awhile. I recommended her to NEDA. She didn't even try. I asked her to look into a support group's website. She didn't visit it. She claims she's getting better, but I hear her every time she says ""I'm so fat.."" and I see her every time she refuses lunch. She won't go to a therapist. And..she seems to think I don't care because I don't talk to her about it. But in actuality, I care so deeply about her health (hence why I'm on this platform) and didn't want to do or say anything that could have the wrong effect. I'm sort of a perfectionist and don't wanna screw this up. I feel so helpless.
       Sincerely, Me
Any advice or suggestions are welcome",iwanttolive,"Fri,12/27/2019-10:27pm","Hi.  I am sorry for your friend's inability to get, receive or see that she needs help, or just is not able to cope with it.  There is a parent's tool kit that helps friends and family or parent's know how and or what to say to help a loved one dealing with an eating disorder.  And on Monday you can call or chat with a trained volunteer about your situation.  For now, sometimes saying anything can be taken the wrong way with someone who is struggling with an eating disorder.  So I think you are on the right track when you don't ""feed"" into your friends obsession.   You might want to say that you are concerned for her and will listen if you are able to at this point, but you won't comment on her weight or appearance as it won't help her.  It sounds as though you figured this out.   It is important that you take care of yourself and if you are feeling in over your head you may want to consider getting some help for yourself in dealing with this.  It is very difficult and scary and you shouldn't be the only one involved in helping your friend.  It is too much in my opinion for one person to shoulder the responsibility.  It is really your friends decision if she gets help or doesn't.  Sometimes people are too sick to realize they need help and that is when others need to get involved even when the other person doesn't want that.  Eating disorders are dangerous and life threatening so if you feel your friend is at that point, you may want to let someone know of your concerns.  Unfortunately if she is over eighteen, no one can force her against her will to get help.  That is the tragic thing.  Fear plays a big role in why people don't get help.  It is scary.  There is so much wrapped up in change.
As for you, please take care of yourself and if you need help, don't be afraid to ask for it.Post anytime you need to.
iwanttolive",,,,,,,,,,,,,,,,,,
6,12/21/2019,BDivine,Savedbygrace ,How is your friend doing?,,,,,,,,,,,,,,,,,,,,,
7,12/03/2019,Support,BDivine,"Hey everyone! I am new on here and would love to create a conversation on how to support a friend who is struggling with an eating disorders, but may be hesitant to share.
I would love to know what advice would be helpful for this situation. Thank you, kindly.",iwanttolive,"Tue,12/03/2019-5:19pm","Hello.  I think it is great your want to help your friend.  I am wondering if they know that you know that they have an eating disorder?  That would be helpful when trying to talk with them about it.  If so, maybe you can just share that you are concerned for them and want them to know that they can talk with you anytime if they want to.  It is important to not focus on food or behaviors so much but to offer a listening ear.
If they don't know that you know about the eating disorder, that may be a little more challenging.  Does your friend talk about feelings openly or are they secretive.  People who have an eating disorder may try to protect it as it acts as a safety net and makes talking about it difficult because that is a way of coping for them.  If you just let your friend know that you are concerned about them and if they want to talk you are there for them.  Mentioning specifics about potential eating disorders may put them on the defensive.  So, it is a little tricky to answer as I do not know much about the situation.  Either way, I would just let your friend know that you are available for them if they want to talk about anything.   Also NEDA has resources and may be able to help you better.  They are available until 9pm EST at 800 931 2237  or you can chat with someone online.I hope this was helpful and please let us know how things go.  Again, thank you for your concern for your friend and wanting to help.  That is a good friend.iwanttolive",,,,,,,,,,,,,,,,,,
8,11/17/2019,"Collegeroommatemaybestruggling,shouldInotifyparents?",c0nc3rn3d,"I've been rooming with my best friend this first semester of college and I've noticed some behaviors that may be indicative of an eating disorder. I'm worried I may have provoked it. I'm also wondering if I should talk to her parents. I'll start with a back story.We've been close friends since seventh grade and while she never overindulged, she seemed to eat an adequate amount of calories while she was under her parents roof.  You can probably tell by this description that she's a picky eater, and that hasn't changed... now it just seems that she eats much less. I've heard a lot of ""I'm just not hungry""s and ""I'm tired of the food on campus."" But we have some of the highest ranking on campus dining in America. Even I, as a vegan, haven't gotten sick of the food because we have SO MANY OPTIONS. Which brings me to my next point...Even though I eat in abundance, my diet is restrictive by definition, and I'm hoping my choice to follow this lifestyle isn't causing her to change the way she eats. While I would love to see people stop eating animals, they need to replace it with healthy whole foods, not nothing. Could this be because when people ask me why I'm vegan, one of my answers is that the agricultural industry is bad for the environment? I want to give people an honest answer, and I think they deserve to know the truth, but if this could be causing her to struggle with what she eats I don't want that.We also have a suite mate who has struggled with eating disorders, and still lives with one. Even though she now eats a very balanced diet and gets a proper amount of calories everyday, she still talks a lot about the amount of calories in everything she eats, and occasionally over-exercises, which could be triggering to my roommate. I'm not sure. Either way, even she has expressed concerns to me about my roommate potentially having an ED.I make many efforts to encourage her to eat such as being intentional about going to meals with her (while this usually works, I like to do spiritual fasts and I also just have my own schedule sometimes, during these times that I don't ask her to get food with me she usually just won't get it at all). I don't want to completely jump to conclusions. She doesn't show many of the typical signs of an ED such as counting calories, excessive exercise, eating healthy, low cal foods, or body checking. The only thing I have noticed is that she simply doesn't eat enough food. She is a picky eater. She really could be telling the truth when she says she's sick of the food here. Which leads me to my final question...Should I bring up my concerns to her parents? We'll be going home for thanksgiving break this weekend and I'm wondering if I should let them know to be on the lookout for any changes in the way she eats compared to the way she ate before coming off to college. Will she continue her patterns of eating inadequately or eat enough now that she has a variety of comforting food at her exposure?I don't want to ruin our friendship over my possible overreacting, so I want to be very careful about who I tell and the way I tell it. While we're best friends, it can be hard for her to be vulnerable with me and I don't want to ruin the little bit of vulnerability and lose her trust in me because I told her parents or accused her of something that isn't as big of a deal as I built it up to be.Thank you in advance :)",_admin_moderator,"Mon,11/18/2019-10:15am","Dear c0nc3rn3d, we would like to inform you that we edited your post to remove mentions of specific food items, which could be tiggering to others and therefore are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",BobJ48,"Tue,11/19/2019-11:55am","Hey there.Yes, it's possible that your friend has issues. When people have issues, they can go a long time without anyone else ever noticing or getting suspicious.  So yes, the fact that you do find yourself noticing says something right there. Could your food habits be triggering your friend ?  It's possible.  Then again, pretty much anything involving food, eating, or other people's appearance can be triggering to them, so changing your own habits is not likely to make a difference. I can hear your concern about wanting to preserve the trust that the two of you share, and it's not a foolish thing to worry about.  At the same time, if there is a problem, it would be good if her parents knew.  If they would be open to knowing that is.  Which to be honest, some parents aren't.  So you may have to play it by ear ?Because as you said, EDs can be a sensitive matter, and working with friends who we worry about can be a sensitive matter as well. Even so, I think it's fair to trust in the good-will that you have towards your friend, and the friendship you've shared for all these years. Things like that can make a difference I think, even in difficult matters like these.",,,,,,,,,,,,,,,
9,11/17/2019,Anyoneelsebeenfooledforalongtimebysomeonewithaeatingdisorder,Jenny8675,"My friend has a eating disorder. She lives in another province so I don’t seen her often but I can now tell that She’s been suffering for years and I didn’t even notice. She’s always gone threw great lengths to hid it... and hid it well. I feel like a terrible person for not noticing, like maybe I was to self envolved to see what was right in from of me. She’s been suffering seizures for years that she said Dr. Didn’t know what was causing it and I believed her. Everytime I would see or talk to her in seemed that the doctors had a differently theory., and again, I believe her everytime But recently I’ve realized that she’s been having seizures because she’s so emaciated. And I feel stupid, has something like this happened to anyone else? When I look back (I’ve knows her since childhood) I feel like I should of known from this start as she’s showed signs of a eating disorder since childhood. I’ve tried to talk to her about this and she’s completely shut me out. There have been time when she’s been close to death in the hospital and none of her extended family or friends know (her and her parents are extremely secretive about her mysteries health oroblems) which of course is her eating Disorder. I still can’t belive if took me this long to figure it out. Has this happened to anyone else. I just wish I had noticed sooner and tried to help her.",BobJ48,"Tue,11/19/2019-11:35am","Hey Jennie,Yes, people with eating disorders often want to hide their situation.  Not necessarily because of shame, but more that they don't want to be a burden on their friends.  They also understand that as soon as others find out, there will inevitably be pressure on them to recover. And frequently, even though they are having lots of medical and emotional issues, a big part of themselves really doesn't want to recover.And if they do want to recover, there's still no universally acknowledged cure for EDs, so it's not like they can just snap their fingers and start getting better, even if they or their friends might want them too. So there's the general intractability of the condition to consider as well. So yes, from their standpoint, often it's just a lot less complicated overall for them to hide their situation from people, even if it involves lying sometimes.  One often wonders how they can get away with it, but as far as their parents and friends are concerned, it's just human nature for people to ""not want there to be problems"", so quite often it never occurs to folks that there could actually be one.  Doctors frequently have not received training about EDs, so they often don't see an issue either.  You would think that people's blood tests and such would look terrible, and that this would alert doctors to an issue.  But sometimes people's blood work looks perfectly fine, even when they are deep into their ED. Plus you really can't expect the public to be on the alert for EDs.  Sure they know they exist, but it's all kind of abstract to them, and not something they actually expect to run into. Besides, we tend to admire people who are slender, and golly, fitness really is the thing these days, and don't you wish you had the motivation to spend all that time at the gym like your friend does ?  So it can be easy for folks to hide their situation. And avoid all of the various types of complications that might arise for them, if others really knew what their story was. So really, I hope you won't get too down on yourself for not figuring this out earlier. I'm pretty sure that it's because your friend didn't want you to worry for her, so she just hid what the heart of the matter was.",,,,,,,,,,,,,,,,,,
