,0,1,2,3,4,5,6,7,8,9,10,11
0,Miggi,02/12/2020,Vitamins and Threats,"So today I went to the doctor for a check up. My brother and grandpa accompanied me. It hadn't come up in a while, but I knew it would. My grandpa mentioned my weight, and the doctor whipped out the BMI chart. It was a bit confusing but he basically said, ""You can eat more."" And I was like, Okey. And he suggested multivitamins. But my family is in debate whether he said ""Multivitamins with Iron."" Or ""Something with Iron."" Basically I need Iron. And we went to the store to try to find some, but I got upset because I couldn't find any without gelatin. (I am vegetarian and gelatin is made from animal fat/bones.)
And we found something with ONLY iron, but no other vitamins. My family was like, ""Its just gelatin, and if you can't handle just a little animal if it helps your help we will make you stop being a vegetarian!""
It made me upset that they tried to control what I eat, and the mention of my weight came up again. Its just a little frustrating when your weight/diet is always under a microscope.",_admin_moderator,"Mon,07/12/2021-12:19am",Edited comment,"Hi leonardfluddatw72, we edited your comment slightly to remove an outside link, which is not allowed on the forums – you can review our community guidelines here. Thank you for understanding and please continue to post!",_admin_moderator,"Mon,09/06/2021-8:20pm",Natacameron,"Hi Natacameron - your post had to be edited to comply with our Community Guidelines. Please take a moment to review our guidelines, and please continue to post!"
1,meerkat123,12/04/2019,Hair regrowth curly,"I was wondering if anyone else has experienced this.
I have recently gone to treatment, and have been weight restored for around 5 months. Before treatment, my hair was falling out. I probably lost about 1/3 of my hair. But now, since I have been eating properly, my hair is growing back. The weird thing is, it is growing back curly. My hair has been straight my entire life. But since I lost a bunch, it is coming in curly. The hair that did not fall out is still stick straight, its just the regrowth that is curly. At first I thought it was just because it was short. But it is now about 2.5ish inches long and is still quite curly. I am not upset by this, just quite amused. I have no idea why it is doing this, or if it will even stay like this. I was just wondering if anyone has experienced something similar.
Thanks.",_admin_moderator,"Thu,07/15/2021-10:22am","Dear breeszewcgnb54, we would","Dear breeszewcgnb54, we would like to inform you that we edited your post to remove the link you have posted. As per our community guidelines, outside links are not allowed on the forums. Thanks for your understanding!  ",,,,
2,Savedbygrace ,11/13/2019,Dentist ,"So my appointment was horrible.  There was a femme in the room with me at the appointment,  but I still had major flashbacks of not only what my dad did, but what every other person who attacked me has done...over 3 decades of various assaults.
  Last night I had major nightmares of the things that have been done to me.   My recovery has been suffering as a result.",_admin_moderator,"Mon,08/16/2021-12:21am","Hi lindsywes, we edited your","Hi lindsywes, we edited your comment to remove an external link, which are not allowed on the forums. Thank you for your understanding!",,,,
3,Blue44,07/29/2019,Depression after weight restoration ,I was in a treatment center for 1 year for anorexia. After being weight restored I have been very depressed. Is this normal in recovery?  I spend a lot of my day sleeping or just wanting to sleep. Sometimes I don’t want to wake up.,_admin_moderator,"Mon,07/29/2019-8:44pm",Welcome!,"Hi, Blue44! Thank you for posting. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. Since you mentioned some concerning feelings we just want to provide you with some resources to reach out to:
Please take care and we hope that you get the support you deserve here on the forums. Please continue posting. ",_admin_moderator,"Thu,07/08/2021-2:18pm",Hi Mellisa_whw,"Hi Mellisa_whw, It's great that you are posting and offering support for others!  We did have to slightly edit your post to remove links, which violates our community guidelines. You can view them here, , https://www.nationaleatingdisorders.org/forums/community-guidelines. Keep posting!  "
4,tryingtobebrave,07/13/2019,Travel stress ,So my grandpa is getting released from the hospital this evening. And my mom told me we’re going out of town tomorrow and coming back Tuesday. I’m overwhelmed and stressed because this was so sudden and have strong urges to exercise again. I’m gonna watch tv to distract myself instead. I just struggle with traveling in general and traveling with my parents during a stressful time is overwhelming. Then my grandpa has to go back to the burn center Friday for more procedures because his burns were so deep on his face. I’m afraid to see him like that. I know it’s a selfish and horrible thing to think. I don’t want to watch him suffer. But I will do anything for him and if it makes him happy to see me I will do it with a smile on my face. I’m trying to think of things to pack to help me stay grounded and distracted / cope but I’m blanking. Any ideas?,_admin_moderator,"Thu,07/08/2021-2:08pm",Hi Aldrich,"Hi Aldrich, it's great that you are posting and helping others! We did have to slightly edit your post to remove links, which violates our community guidelines. You can view them here, , https://www.nationaleatingdisorders.org/forums/community-guidelines. Keep posting! ",,,,
5,nyatama,06/19/2019,Will I ever go back to my pre-ED weight?,"Hi all; I'll try to keep this concise.I used to weigh a pretty normal weight, 18 years old, but i was a little flabby, so I wanted to lose weight.Last January, about 1 1/2 years ago, I developed an eating disorder. Lost my period really damn quickly. I restricted to no more than a low amount of calories a day, and that went on for about five months; I got to my lowest weight this way. After that I was sick of eating so little, so I reverse-dieted to eating around my maintenance calories a day. However, I still gained weight (some of it muscle, but definitely a lot of fat too) and from both higher calories and weeky/monthly binges, I found my way back to my original weight without really even recovering.I'm restored to my original weight, but I still have no period, and I was restricting, exercising, but gaining weight on low calories. Thats called Quasi-recovery, I guess.Anyways, three days ago I finally decided to put my foot down and recover for REAL this time. I've been eating what I want when I want, and I think I've been eating around X calories per day, by my estimation (I stopped counting).However, my question is this: since I started to really recover when I was ALREADY at my original weight, will I ever get back to my pre-ED weight? Or after I have fully recovered, will I always be at my new higher weight? I've never been above my original weight in my life, but now I will be. I've heard about set-point theory and a lot of internet sources say that recovered anorexics ""will eventually go back to their pre-ED weight,"" but I don't know if that applies to me, since I've gained all the weight back but still need to actually recover. I've only read about recovery for people starting real recovery when underweight.If anyone has a story like mine, or knows how my particular case might play out, I'd love to hear. Please.(I want to disclaim that regardless of how much I will weigh at the end of my recovery, I'm going to accept it.  I don't ever want to try weight loss again.  I'm just curious to know if I will stay at my higher weight.)",_admin_moderator,"Thu,06/20/2019-11:28am","Dear nyatama,We would like to","Dear nyatama, we would like to let you know that we edited your post to remove mentions of number of calories, which is not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue posting!",,,,
6,alwaysthinking,12/19/2019,_admin_moderator,Hi moderators. I just wanted to thank you for doing the very best that you do in keeping our forums as safe as possible. I know it cannot be easy keeping up with everybody's posts and editing where necessary. I think it is amazing that you do all the work that you do and I wanted to give you the credit that you so rightfully deserve. Kudos!,_admin_moderator,"Fri,12/20/2019-12:51pm",Thank you all for these,Thank you all for these comments! We are committed to providing a safe space for anyone who is affected by eating disorders. Best wishes to everyone! ,,,,
7,alwaysthinkinggg,02/27/2020,I just want to relapse ,I’m so so stressed and all I can think about is how much I ate. I just want to get rid of it but I can’t because I’ve told people I won’t. They say it’s very bad for me to do and I guess deep down I kind of know that’s true. But I can’t just let go of something I’ve been doing for years. I want to either purge or self harm. I don’t know how to get rid of the urge. Does anyone know a good way to distract myself?,_admin_moderator,"Fri,02/28/2020-8:39am","Dear alwaysthinkinggg, we are","Dear alwaysthinkinggg, we are concerned about your saferty since you mentioned self-harm. If you are in crisis, please text ""NEDA"" to 741-741 or call 1-800-273-8255. Please stay safe!  ",,,,
8,MuzikMuse500,02/19/2020,Losing,"I'm losing this fight right now. I've lost a lot of weight. And I just want to go further. I feel tired and sick but the voice in my head says im not sick enough cuz I only have ""atypical"" anorexia right now which my eating disorder tells me isn't the ""real thing"" and I can't get help until its real.
Also things are stressful, my marriage isn't doing well and we're moving to a new apartment and I think I might be pregnant. Seriously, this is all just way too much.",_admin_moderator,"Mon,02/24/2020-12:13am",MuzikMuse500,"Hi MuzikMuse500. We wanted to make sure to post the NEDA Helpline information if you need help finding support. The helpline phone line can be reached at 1-800-931-2237 (Monday-Thursday 11:00am-9:00pm, Friday 11:00am-5:00pm EST) if you need help finding resources. Helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. Please take care, and know you are not alone!",,,,
9,Sunnyella,02/08/2020,I need support,"This is my first time writing something like this, so please excuse me if i make any mistake (side not; english is not my native language). Everything started when my classmates (2nd grade, high school) praised me about how skinny i am and how good it is. So i naturally started to think my qualify is being skinny and nothing else. I was around X weight these times and my height was X. I never dieted in my life before until the summer after 2nd grade. I thought i should look skinnier because i will gain weight once school starts again. And my weight dropped. After school started, everything was fine until winter arrived. I saw 46 kg on the scale and couldnt believe my eyes. So i started dieting again and at the same time i was trying to exercise at home. (I couldnt exercise in the gym because my family would never allow me to do, saying you are already skinny enough.) I fasted for a month in summer and i was back to X weight again. But there was a problem. My university exam year was coming and i had to focus my lessons only. I tried to not think about what i eat or how much i eat. (my goal was medical university -thankfully i am in medical university rn- so i had to study so much, and since brain needs glucose to work i had to eat normally) I weighed X on 4th grade. But i was telling myself, once this year is over you will be X weight again. But i could only reach X kg that summer. I went to another city for university. I am staying at the dorm, we dont have a scale here (tbh i wouldnt scale myself even if there was a scale cause im too scared). I came to my hometown for winter break. Scaled myself with lots of anxiety and fear. I weighed X kg which is totally shocking. Because i thought i would gain weight there. I thought i ate more food compared to summer. And now im leaving my hometown again because my break is over. My weight is X kg. I never weighed that much in my life before. I feel bloated. It feels like im carrying fat barrels on my thighs. My thigh gap looks smaller when i look in the mirror. This situation is freaking me out because i didnt even eat too much food. I even lost my period, i have anemia, im freezing all the time so i dont wanna go any further. But at the same time i wanna restrict. Because it looks like the only way for me to loose weight. I hate throwing up and i never throw up i have strong stomach. Im thinking about binging and purging. Im also scared of doctors, dietitians... But you know why? Im hella anxious about showing my body to someone else. I was having such a bad moment atm and burst in tears when i looked in the mirror. But writing these sentences relieved me a little bit. I know this is too long and i feel like people are gonna judge me saying ""you dont even have an eating disorder you are just craving for attention"" but i swear to god this is not the case. I have an unhealthy relationship with food and i wanna fix that so bad. (I tried to talk about my disorder with my family or friends but they are only forcing me to eat more food. I dont think they take eating disorders serious.)",_admin_moderator,"Mon,02/10/2020-10:44am",Sunnyella,"Hi Sunnyella - welcome to the forums. You mentioned some medical symptoms in your post, and we wanted to make sure to post information about signs for which you should seek medical advice. The following are just some of the signs of a serious problem that demands immediate medical attention:
If you experience anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if you:
Also, please do not hesitate to call the NEDA helpline at 1-800-931-2237 (Monday-Thursday 11:00am-9:00pm, Friday 11:00am-5:00pm EST) if you need help finding resources. Online helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. You are not alone - please take care.",,,,
