,0,1,2,3,4,5,6,7,8,9,10,11
0,constantvigilance,07/10/2018,Binge Eating Recovery,"Sup, everyone. This'll be my first post.So I've been struggling with binge eating since 2012 now, and decided to do something about it in 2017. It's never shown physically because I like to keep fit.I went and got therapy and have been actioning the steps. They've worked for the most part, but it's so hard. Sometimes I won't even use them because the urge is so hard to get rid of. It's overwhelming. I have goals in life and fitness but in that moment, then and there, nothing else matters. I just want to be filled with food. In the following days, my productivity is at an all time low.I'm trying so hard with the dealing with the urges, but they accumulate (e.g. I'll deal with them one day, then they'll come back stronger the next). I want to get out of this. I'm scared to let people outside my family/past therapists know, and I don't go out drinking with my friends because I'm terrified of gaining weight through excess calories. I've no idea what to do anymore. I just want to stop doing it. Bit deep, but that's the truth, lol.",_admin_moderator,"Fri,07/31/2020-2:32pm",Dear Harold4327,"If you have medical questions regarding eating disorders please reach out to our NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET or chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Our volunteers can help you source information, resources, and professionals in your area. Additionally, you can visit our resource page here: https://www.nationaleatingdisorders.org/learn",,,,
1,todded,07/11/2019,Treatment Options for Long-Term ED?,"Hello all, This is my first post in this (or any) eating disorders-related forum or group. I'm a 29-year-old male (former competitive distance runner) who has struggled with a variety of eating disorders for close to the last decade. For me, disordered eating started with extreme caloric restriction for the first few years, followed by years of back and forth between binge eating and periods of restriction. At the present time, I'm dealing with what I know is a very unhealthy behavior pattern. As you might expect, those patters involve semi-frequent overexertion and injury. I've also developed an all-or-nothing mindset where I either am able to track everything I eat and hit my nutrition goals perfectly OR have very large binges. More often than not, I find myself ""staying on track"" during the workweek, then bingeing during the evenings of each weekend, often surpassing X calories on days of binges. Intellectually, I know I'm doing short and long term damage to my mind and body (which, at moments, is utterly terrifying), but I find myself cycling through periods of motivation and utter hopelessness and am at the point where I know I need outside help (in some way) to begin on the pathway toward some kind of recovery. Does anyone have thoughts or recommendations about where and how to start? My spouse has some idea of my challenges with food, but I've largely played down the fact that this is still a prominent issue in my life. Additionally, I'm not sure if I should consider some kind of out- or in-patient treatment, possible medications, or therapy. Any feedback would be greatly appreciated.Thanks!todded",_admin_moderator,"Thu,07/11/2019-2:18pm",Hello! Welcome to the NEDA,"Hello! Welcome to the NEDA forums! We would like to let you know that we edited your post to remove detailed descriptions of disordered eating behaviors, as well as calorie numbers, which are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue posting! ",,,,
2,stanleyfromtheoffice,02/20/2020,Dysphagia,"So last summer I went through a period where I suffered a lot of trauma and an inordinent amount of stress and anxiety which has caused me to have chronic tension headaches, acid reflux, and feeling of tightness in my throat. The feeling of tightness has gotten so bad to the point where it is very uncomfortable to eat anything solid. I have not eaten anything solid since last month. My last full meal was Halloween 2019. I have lost a lot of weight since August 2019 to now. Doctors have done a CT Scan, bloodwork, an upper endoscopy, and a Barrium Swallow Test and found nothing. Still do not know what is the matter, but we think it might be my body stuck in tense mode after being stressed out everyday for months. I have been drinking high protein to keep some nutrients in my body but I wonder if there are nutrition plans online that can educate me on how the body changes after long periods of starvation and what steps I can take to reaccustom my body gradually to solid food without making myself sick.",_admin_moderator,"Thu,02/20/2020-8:56am","Dear stanleyfromtheoffice, we","Dear stanleyfromtheoffice, we would like to inform you that we edited your post to remove specific mentions of food, which could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,
3,JakeGross ,02/05/2019,"Body dysmorphia = constant anxiety & Low self-esteem, who's been here?","Hi guys. 25yrld hetero male. Part-time musician, full time ball of self-doubt.I was overweight as a child and compensated for that by being the class-clown amongst other forms of coping, i.e fashion in attempts to make me feel more confident -( which probably led to my love for the Arts).In high school I restricted heavily. I called this portion control.In highscool I achieved significant weightloss.
I gained confidence: Lead in musicals, marching band, choir, class president, homecoming King.
I also started a punk rock band.Since graduating HS I've decided to pursue music as opposed to going to college, this, against the will/approval of my parents, teachers, and some peers.Anxiety and depression hit hard.
A lot of parties.
A lot of jobs in customer service
Prescribed medication for anxiety
Multiple antidepressants off and on
Abused other medications to help me escape my anxiety and feel ok with my reality, it gave me confidence, diminished my self doubt.     This was my drug.In and out of rehab for 4 yrs.
I don't take well to advice.
I had to do it myself.
Practically locked myself in a room.
I've been away from, ""clean"", off opiates ( the drug I can't control) for around 3 years now.Gained a lot of weight back after sobriety.
This scared me sh**less
Confidence now completely gone
Anxiety in full gearSometimes I'd manically 'exercise' (walk miles until my feet hurt). I didn't see results.
I started a new diet.
Eventually this diet mixed with poverty has lead me to a new weight. I'm fine with this number.
But not with the mirror.I obsess over my hair, have since puberty
I think my legs are fat, unproportional
Stomach rounded and pronounced
I sometimes I think im generally unattractive, the lines under my eyes, the way my mouth slopes downwards.
Times when I've changed my outfit 6 or 7 times before performing a show (still a musican, folk music now)
Times I've changed my outfit 6 or 7 times before going to the grocery store, to work, to the bar, to my parents house, to the park.I feel I'm never satisfied with the way that I look and this huge lack of confidence has and is TAKING A TOLL on my everyday life. It's hard for me to express this to anybody because they don't believe me unless they know me well. I fear people will think that I'm just bullsh**ing for attention or something. I'm told I'm attractive, I've been with beautiful women, I'm popular in this small town, I'm a performer, I get on stage in front of people, sometimes a crowd, often times strangers. Why would they believe me?  Thank you for reading my story.It would be great to talk to anyone else who has gone or is going through anything somewhat similarAdvice would be wonderfulFeeling less alone would be wonderful(And I'm not talking about AA or NA meetings or else I'd be on a different website or the basement of some church, I'm talking about men that struggle with thier self image)Thank you-jake",_admin_moderator,"Tue,02/05/2019-9:24pm","Hi JakeGross, Welcome to the","Hi JakeGross, Welcome to the forums, thanks for posting. A portion of your post was edited and deleted due to the mention of numbers and specific behaviors that may be triggering to other members of the forum. Our community guidelines are always available to review here: http://www.nationaleatingdisorders.org/community-guidelinesIn the event you need further assistance, please do not hesitate to call the NEDA helpline at 1-800-931-2237 (Monday-Thursday 9:00am-9:00pm, Friday 9:00am-5:00pm EST). Thanks!",,,,
4,Pineapple-Boy,10/16/2019,How do you cope?,I've been struggling with my relationship with food for a long time. I knew my eating habits weren't normal for a while and have caused me significantly more distress as time goes on. I switch between restricting and over exercising to bingeing. Food is on my mind 24/7. I've been like this for years. I didn't think I had a serious problem until the past week or so. I was watching a show and one of the characters ate/didn't eat like I would. The reaction from a character that saw this gave me a wake up call. I want to get better. I told a friend a little about it but they don't understand and change the subject quickly. My family wouldn't believe me or take me seriously. I don't have access to therapy or support groups right now. Is anyone in a similar situation? How do you cope?,_admin_moderator,"Thu,10/17/2019-6:22pm",Pineapple-Boy,"We noticed you are having a hard time finding resources in your area. Here at NEDA, we try to provide resources that specialize in eating disorders to help those looking for help. Please remember that you are welcomed to call the NEDA Helpline to talk to someone when you're feeling down. The NEDA Helpline's number is (800)941-2237 and is available Monday-Thursday from 9AM to 9PM ET and Friday from 9AM to 5PM ET.
We hope you're able to find some support through this time and please keep posting!",,,,
5,mfwarlock,08/23/2019,I need advice I’ve come to realisation I have an ED this past week ,"I’ve had a eating disorder for over a year and it started after doing a type of diet and losing a lot of weight, It gave me so much confidence and joy I just wanted to maintain my new body. I was careful of what I ate but slowly I would started developing bulimia it wasn’t excessive I would occasionally do it when I overate. I went through periods where I did it a lot then stopping.7 weeks ago I decided I needed to lose weight after noticing I had gained X pounds after not monitoring or calorie counting. I was so upset I wanted to give up my unhealthy purging habit but felt so inadequate and punished by own body, when I realised I gained that much weight in such a short time. It basically justified my reasons to purge.6 days ago I noticed I lost weight in 7 weeks, I went into panic mode and decided to start eating again. Since then I’ve gained  X kg  I’m close to the weight I want to be At I want stay at a certain weight. I’m just having anxiety with such rapid weight gain in such a short space of time. I know I sound pretentious and shallow but I don’t want to go past a certain level of weight, i feel confident and happy when I see myself in the mirror plus it’s a healthy BMI range. I never intended to be skinny I just wanted to maintain the weight I got down to after my weight loss journey. I want to stay at X pounds.I’m currently eating X calories a day for a week and I’m happy to regain as I know it’s good for my body and it’s rebuilding. But with just rapid weight gain am coming close to my goal weight. I want to give up my eating disorder and I will but I’m worried once I reach this how do I maintain and look ahead to the future. I read online about metabolic disorders and it freaks me out hope someone reading this can give me advice.",_admin_moderator,"Mon,08/26/2019-5:06pm","Dear mfwarlock, we would like","Dear mfwarlock, we would like to inform you that we edited your post to remove weight and calorie numbers, as well as mentions of specific diet regimens, which are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",_admin_moderator,"Fri,08/30/2019-9:27am","Dear mfwarlock, we would like","Dear mfwarlock, we would like to inform you that we edited your post to remove calorie numbers, as well as specific disordered eating behaviors, which are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding!"
6,imgoingtorecover,08/07/2019,Recovering,"I was just wondering if anyone is recovering on their own. For me i find that when i allow myself to take as much time as i need to do certain things my stomach is more receptive to food. The only problem is that this proccess is both healing but also agonizing. It would take me forever to get up in the morning, for example. I guess the best way to explain it is like a walking meditation, or eating meditation and kind of feels more like a relaxed lethargy. This is where it would take a long time to do a certain task. It's very affective and healing because i become very conscious of my body, but i end up falling back because it can be so daunting and i just quit and stop eating all together. I haven't fully completed like a week or couple days of it even though i know this is the best way for me to recover. I've been dealing with my ED (alone) for so many years. I've tried many different ways to recover and i would just love for it to be over. I am not that good at explaining it but I was just wondering if anyone was going though the same proccess. Also, this place has been so helpful. They really get it. I called for the first time yesterday and i appreciated it so much. It inspired me to write this which I've never thought id do. Thank you everyone and have a happy recovery.",_admin_moderator,"Wed,08/07/2019-5:52pm",Welcome! ,"Hi, thank you for posting. Please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. As an organization, we believe that recovery is possible and we recommend seeking help from a professional (eating disorders specialist) as going through this alone is quite difficult and isnt' something that we would recommend. You mentioned some concerning symptoms so we are just posting this list. The following are just some of the signs of a serious problem that demands immediate medical attention:• accidentally or deliberately caused themselves a physical injury• become suicidal• confused thinking and is not making any sense• delusions (false beliefs) or hallucinations (experiencing things that aren’t there)• disoriented; doesn’t know what day it is, where they are or who they are• vomiting several times a day or has uncontrollable vomiting or diarrhea• experiencing dizziness or fainting spells• too weak to walk or collapses• painful muscle spasms• complaining of chest pain or having trouble breathing• blood in their bowel movements, urine or vomit• a body mass index (BMI) of less than 16• an irregular heartbeat, and fast heartbeat, or very low heart beat (less than 50 beats per minute)• cold or clammy skin indicating a low body temperature or has a body temperature of less than 35 degrees Celsius/95 degrees FahrenheitOr any other serious medical concernsIf you experience anything on here, we highly recommend seeking medical attention as soon as possible. Another option is 911. Seek medical help soon on an outpatient basis if you:• have significant heartburn and/or a burning sensation after eating• have other gastrointestinal concerns• have high blood pressure• struggle with significant joint or muscle pain• have difficulty sleeping (falling and/or remaining asleep)• struggle with fatigue, sudden weight gain, and/or hair loss• have frequent urination or unquenchable thirst• have gained and lost significant weight repeatedly• have gained significant weight in a short period of time• struggle with chronic diarrhea or constipationIf you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner!  Please continue posting!  ",,,,
7,JMC41996,07/18/2019,Options in PA for BDD and ED,"My earliest accounts of suffering are at the age of 14. I am now 23. When I was 19 I received a diagnosis of body dysmorphic disorder. Just a few months ago I was diagnosed with an eating disorder. It is hard for me to write here because my perception of myself has made certain aspects of my life much more difficult. The best way to explain my situation now, is to touch base on the past few years. I became extremely self conscious at 14 after I developed cystic acne. I mean, it was just unusual. It led me to skip school, not look people in the eye, and just socially withdraw from almost everyone except my family and girlfriend who acted as both a lover and best friend. The times I was in school, my ""friends"" would say out of shock ""OMG did you get into a fight""... or times at fast food restaurants there was a sudden conversation about how greasy foods affect your skin; probably started by looking at me then ended with suggestions on what I could do to improve my skin. Well, thankfully my mom took me to a dermatologist. From that first appointment until now the remedy has been the perscriptions they provided me. Its important to note that since I was 17 my acne has been under control, which I am beyond thankful for. My self consciousness was not just limited to my skin. I also despised my nose. I mean despised. I remember getting into countless fights with my parents and girlfriend over financing for it. Told my therapist how uncomfortable it made me and swore that I would eventually have plastic surgery to fix it. Well, that still hasn't happened. My senior year (aged 17-18) I ended the relationship with my girlfriend after 3.5 years together. I cared about her deeply but felt that I was indeed attracted to the opposite sex. So, I came out. It was relieving and I could not have asked for a more supportive network. However, upon coming out... it left a lot of questions for me to answer from others. ""Are you the 'woman' or 'man'"", ""You do not LOOK gay"", ""You are a failure at being gay"". These questions in association with ""suggestions"" on how to improve on being ""gay"" just really hurt me. I know that being gay, liking the same sex, has absolutely nothing to do with the way you look or behave but there is infact this stereotype I struggled to deal with. I had a lot of remarks about my hair. I was shaving it but after suggestions on to grow it out, I tried. I mean tried. After a lot of research I ended up going back to my dermo. with the complaint and she gave me some perscriptions. I truly want to say, it has in fact done WONDERS.i While yes, my hair condition was being handled. I still was receiving this ongoing feedback regularly on how to improve my appearance (even writing this I just cannot understand why their was so much emphasis on my physical appearance in relation to my sexuality but their in fact was). I remember hearing from multiple people that I was a ""failure at being gay"" because I did not look a certain way, like certain things, etc.. Underlying all of this was this ongoing preoccupation with my appearance apparently people did not perceive I was concerned about; when I actually was. In January 2017 I started to go to the gym. Where I currently am, I work at a gym. My peak was Sept-December 2018. I had lost over X pounds however gained a lot of lean muscle. Truth was I was exercising all the time plus restricting my calorie intake. At my lowest I was Xlbs 5'4"". Around November 2018 I knew the holidays were here and I wanted to eat. I honestly forget where I saw it but that was when I started taking laxatives. It's so embarrassing. After overeating, I fast. This is still going on and I do it out of pain. I feel like I am just so ashamed of my physical appearance. I am always hungry. Probably because of how much a train + the emotional turmoil of it all. I went to my doctor a few months ago, told her my concerns. She knows I have been struggling (in 2016 I was diagnosed with BDD after an involuntary hospitalization). She diagnosed me with an eating disorder and referred me to a nutritionist. They both felt like I need impatient but it was in the middle of my semester. I still struggle everyday with food, binge eating, fasting or using laxatives. All for a compliment... I need help but I am so concerned with this derailing my graduation in May. I also cannot afford to take off work. Please, what resources are available for me?",_admin_moderator,"Fri,07/19/2019-1:54pm",Welcome! ,"Hi, JMC41996. Thank you for posting. We're sorry to hear about what's been going on with your body image and eating concerns. We hope that you get the support you deserve here on the forum. We just wanted to let you know that we edited out portions of your post as numbers and certain language might be triggering for other members of the forum. We also took out names of certain medications. Please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. If you're interested in resources, you can reach out to the Helpline at (800) 931-2237. The Helpline is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can also chat during these hours by clicking on the chat now button at the top right hand corner. Please take care! ",,,,
8,mcrome,04/19/2019,I feel invalid,"I keep fluctuating in terms of how much I want to recover and how much I want to restrict; it makes me invalid because I keep saying to myself, ""If you REALLY had an eating disorder, you would want to restrict all of the time!"" I also try to convince myself that I ""can't be anorexic"" because I'm not currently underweight, even though I've lost significant amounts of weight by restricting. Has anyone else had similar experiences?",_admin_moderator,"Thu,04/25/2019-10:02am","Dear whatsthepointin...,We","Dear whatsthepointin...,We are concered about your safety and would like to pass some numbers to contact. This number is really important to have: (800)273-TALK(8255).  If you don't feel comfortable talking, please text ""NEDA"" to 741741 or visit one of these websites:http://www.suicidepreventionlifeline.org/ - or click to chat http://www.dialhelp.org/?page_id=7759 or text 906-356-3337http://www.suicidepreventionlifeline.org/ or text 741-741https://www.imalive.org/ or call 800-784-2433 Please be safe!",,,,
9,Oliver278,09/08/2018,Desire to Relapse,"I have been living essentially ED-free for years. I considered it a somewhat embarrassing, but otherwise inconsequential part of my past. I'm 23 now, and I was 16-18 back then; I felt like I'd learned and grown and anyway, I didn't *really* have anorexia because I didn't lose enough weight, so it really didn't matter. Then, my doctor told me I'm slightly pre-diabetic, and that I need to lose some weight. I'm aware that I'm overweight these days. Maybe as a result of being on so many SSRI meds, maybe as a result of a somewhat sedentary lifestyle, maybe as a result of not really paying attention to what I eat. Who knows. So I changed my meds with my psychiatrist, downloaded My Fitness Pal, and decided I would eat a certain number of calories a day. Only, I started noticing some troubling things. I would feel pride and happiness when I ate less than I allotted myself. I would feel intense guilt about eating ""bad"" foods, even if my calorie count was fine. And perhaps the most troubling thing, I didn't care at all if I'd skipped a meal or two for whatever reason, and ate less than I should have. I talked with my therapist, and she told me to delete the app and stop counting calories. I talked with my girlfriend, and now she praises me for ""letting myself"" have unhealthy, which annoys me to no end. I just want to be skinny again. And I want the good feelings that come with restriction. It's driving me crazy..TLDR: My Dr says I need to lose weight for my health. Trying to live healthy has caused my anorexia brain to come on full force. I want to relapse like I want oxygen in my lungs.",_admin_moderator,"Wed,09/12/2018-12:27pm",Hello Oliver 278! . A portion,"Hello Oliver 278! . A portion of your comment was edited due to specific numbers and behaviors. For further reading, the community guidelines can be found here: https://www.nationaleatingdisorders.org/forums/community-guidelines Thank you and please continue posting.",,,,
