,0,1,2,3,4,5,6,7,8,9,10,11
0,BobJ48,10/13/2018,vlostwalt.,"Hey buddy,You wrote :"" She's not talking (well giving me one-word answers) and is even blaming the climate in our home on our little dog, she want's to control everything, and when she's alone with the dog and it wants to play for a bit, and she doesn't well... again it's a control issue.""I'm sorry that she's being so non-responsive, and seems to be deflecting her anger off in all sorts of random directions.  My sense is that she knows that much of this stuff has to do with issues regarding her eating disorder, and is beginning to feel a bit backed into a corner with it all.As you said, it may revolve around control as well.   Not so much that she is in control, but the fact that she realizes that she's not really in control of it now.   Which is frequently the sort of realization that brings about reactions like this.   The person has worked so darn hard at restricting, and exerting the terrific discipline that's involved in starving themselves like that, that it can come as a real shock to them when they realize that now they can't stop restricting. even if they wanted to.Which means that rather than being in control, things have moved beyond their control instead. And now their loved ones are expecting them to do something about it, when in the back of their minds they know they can't. People can really find themselves on edge when they find themselves in that position, and that sounds like where she's finding herself now. How she's going to come to terms with this helplessness will be the thing I think.  Finally admitting that there's this huge thing that they are NOT in control of pretty much goes against every single thing they've been working towards.So yeah, the ""coming to terms"" thing.  That sounds like the next step in all of this, and it's really not an easy step to take. Bob J.",_admin_moderator,"Thu,11/01/2018-5:11pm",Post Edited,"Hi vlostwalt,We are glad that you are finding support here on the NEDA forums. A portion of your post was edited due to the mention of specific numbers and specific foods that may be triggering to other forum members. Our community guidelines are always available to review here:https://www.nationaleatingdisorders.org/forums/community-guidelines. In the event you need further assistance please call the NEDA helpline at 1-800-931-2237 (Monday-Thursday 9:00AM-9:00PM Friday 9:00AM-5:00PM EST). Again, thank you for posting, and we hope you will continue to do so!",_admin_moderator,"Thu,08/22/2019-4:29pm",Medical Signs and Symptoms ,"Hello. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. You mentioned that she is experiencing quite a few concerning symptoms. We are going to post this list. The following are just some of the signs of a serious problem that demands immediate medical attention:• accidentally or deliberately caused themselves a physical injury• become suicidal• confused thinking and is not making any sense• delusions (false beliefs) or hallucinations (experiencing things that aren’t there)• disoriented; doesn’t know what day it is, where they are or who they are• vomiting several times a day or has uncontrollable vomiting or diarrhea• experiencing dizziness or fainting spells• too weak to walk or collapses• painful muscle spasms• complaining of chest pain or having trouble breathing• blood in their bowel movements, urine or vomit• a body mass index (BMI) of less than 16• an irregular heartbeat, and fast heartbeat, or very low heart beat (less than 50 beats per minute)• cold or clammy skin indicating a low body temperature or has a body temperature of less than 35 degrees Celsius/95 degrees FahrenheitOr any other serious medical concernsIf she experiences any of the above, we highly recommend that she seek medical attention as soon as possible. Another option is 911. Seek medical help soon on an outpatient basis if she:• has significant heartburn and/or a burning sensation after eating• has other gastrointestinal concerns• hashigh blood pressure• struggles with significant joint or muscle pain• has difficulty sleeping (falling and/or remaining asleep)• struggles with fatigue, sudden weight gain, and/or hair loss• has frequent urination or unquenchable thirst• has gained and lost significant weight repeatedly• has gained significant weight in a short period of time • struggles with chronic diarrhea or constipationPlease take care. "
1,ArtL7,01/11/2020,"My mate is in a low-quality facility in Massachusetts, needs better care.Seeking outside case manager","My deeply depressed mate in her late 50s with a long history of bipolar disorder and  anorexia is in a poor quality locked-down inpatient facility in Massachusetts in or near the Boston area that I decline to name at this point. She is there voluntarily but wants a  better quality place to go. We don't live together, we are in a long-distance relationship and I don't live in Massachusetts. She's getting horrifically poor care with no individual or group therapy, but she is quite limited in her inpatient treatment options [e.g., as a Medicaid-Medicare patient, the Commonwealth Care Alliance behavioral health care doesn't cover the far better McLean facility affiliated with Harvard.] She needs supportive inpatient care for both the depression and eating disorder at least on the short term somewhere else in Massachusetts, and while I'm researching this on my own, I'm trying to find some organization or non-profit that offers case manager assistance in Massachusetts or near Boston.Also, how do I let her know about specific  facebook groups or  peers with advice about Massachusetts-specific facilities or organizations with case managers who can help her navigate the system and find better care. She doesn't have coverage in any other state , for now.Your suggestions welcome.
Thanks, Art",_admin_moderator,"Mon,01/13/2020-2:13am",ArtL7,"Hi ArtL7, the NEDA Helpline is an option to talk about finding resources. It can be reached at 800.931.2237 or chat with them online (http://www.nationaleatingdisorders.org/helplinechat) M-TH 9-9 EST and F 9-5 EST. Please don’t hesitate to reach out, and take care.",,,,
2,nedahelpa,08/08/2019,Naked vs Dressed,"Hello to all.My wife, 52 years young, started on a diet about a year ago, besides that, daily yoga or running or calisthenics, she lost weight and started to look VERY good. However, it got to a point where that was most of what she talked about to anyone who was willing to listen. Daily she was reading more articles on the internet about healthy living, diets, preservatives, tea, etc.She had gone to a nutritionist a year ago and was aiming to improve those numbers. It got to a point where a routine blood test showed Bilirubin in her blood so I
thought she was overdoing it; she decided to go back to the nutritionist and when she came back she waved the results in my face, like a flag of accomplishment. This emboldened her so she continued the Dr. mentioned that a second test showed no bilirubin.HERE IS MY PROBLEM:
  Neither the nutritionist nor her friends that say she looks great have seen her naked. From being slightly overweight..passing through VERY SEXY...now what I see worries me.Sorry for being so blunt!
This change happened in 3 months.We are having problems because I can no longer see her body because it constantly reminds me of that image.
Sex is gone and she noticed it, she is demanding I continue as if nothing changed, she says it's still her. Any ideas on how to deal with this would be appreciated.
Thanks.",_admin_moderator,"Thu,08/08/2019-2:19pm","Dear nedahelpa, we would like","Dear nedahelpa, we would like to inform you that your post has been edited to remove language that could be triggering to the community. You can review our community guidelines here. Thanks for your understanding and please continue posting!  ",,,,
3,vauban01,11/03/2019,Wife controls anorexia nervosa with having sex with sb else,"So this might be a bit more complex. Bear with me please, as I'm not a native English speaker.
WARNING: this is only partly about eating disorderMy wife and I have been married for 3 years, but have been together for the five years before in a long-distance-relationship (both from two European countries). She was 19, I was 23 when it started. She's petite and has always been rather slim.
Overall, we both feel very close to each other and have had uncountable great experiences together. Since last fall, we're a family of three and we've also now settled down in my home country. She does speak the language fairly well, but has struggled over the past three years with periods of homesickness and with finding a job. She now has one that makes her quite happy. Our income situation is good, our child is lovely and all the other ""external"" things are improving step by step (house, friendship groups, hobbies, ...).
My wife has been away from home since the age of 13, to a performing arts boarding school. She quit the idea of becoming a performer in some way (or a coach) soon after she'd met me and she's since successfully been to university and now has a degree and said new academic job. Boarding school must have been tough and on several occasions she's shared with me the body and eating struggles she had back then.
During her last year at university (including a job training program), the extreme stress combined with the fear to have to leave her home country in order to finally build a future with me had an impact on her physical and psychological health. She didn't share all of it back then, but she lost weight and struggled. It got better when she came to my country. After our marriage 8 months into her being here, it got worse again.
That's when, as I now know, she met a guy. They met at this language group for immigrants, he's from another European country and has had the same struggles with integrating and adapting to a somewhat ""foreign"" culture. She'd be bubbly and open about whenever they met.
At the time, I was highly stressed in my job. I noticed she'd sometimes struggle getting out of bed and starting her day, she wasn't very successful with finding a job and she also didn't eat a lot, but it wasn't too extreme.
The situation affected me, I connected it to the meetings with this guy and I became suspicious. I finally decided to read her texts and found some suggestive bits that read like a jokey (?) way of flirting. I confronted her. Needless to say she was upset about my spying, but could understand my motives and assured me that nothing had happened. We communicated well and I put my faith in her being honest in the future. As I now know, from this moment on, partly because of this, but also because the other external things didn't get better, she actually started having sex with him. That went on (they only saw each other 4-5 times) for half a year until she decided to stop.
Right after it, we decided to start a family and it immediately worked. During pregnancy, she felt much better, ate plenty and also started a job that made her reasonably content and gave her some structure.
She was worried of postpartum depression, but we worked together to try to avoid it. 1,5 years after she'd stopped having sex with him and when our child was 8 months old (this summer), she ""relapsed"". She knew that breastfeeding would soon be over (and thus a reason to eat regularly), she had a few other challenges coming up and she'd applied to a proper part-time job, which excited her, but also stressed her out (non-native work environment, ...).
After she'd had sex with him again this one more time in June (more details below), she told me the reason our sex life hadn't been what it was in the early years was, in her view, partly due to the fact that she didn't feel a sexual attraction to me anymore. It wasn't accusing, but a very honest and caring confession from her. I am tall and rather slender, but had gained some weight over the last years that showed in some places. It was a massive shock to me, but I decided to do sth against it and have since gone to the gym more often.Now I know that this ""relapse"" triggered what she described as the worst anorexic episode.The summer was difficult. We'd just bought a house, moved in, started renovating, and this ofc added an enormous amount of stress.
She wanted to start treatment. It took some time for the referral, but over the last couple months, she's had her first sessions, which have been productive. Two weeks ago, she told me that her therapist had extended the diagnosis to anorexia nervosa in combination with an addiction and also signs of depression.Also, she hadn't heard from this guy since June and texted him. He gave her some reasons, told her that he'd begun a relationship with a controlling girl (he has his own mental struggles), then told her he wanted to end their friendship/relationship. She told me everything (except the sex), was very distressed about the possible loss of a friend, but also upset about the fact that he didn't really seem to care about her and her current struggles. She'd also just lost her grandfather. She decided to have a final ""goodbye"" meeting because she wanted to completely end this friendship with him. She told me all of this.Now comes the crucial bit:The reasons why I decided to check her texts again was mainly because I felt completely helpless about what to do to help her with her struggles. I did it for myself, but also for the relationship. That is what I told myself.That's how I found out about the 6 months sex relationship with him back in 2017 and the ""relapse"" this June. It seemed to have been more than sex, but in her last texts she talked about how she felt it was a damaging and toxic sort of ""love"" and that she connected it to her eating disorder and her addiction for ""control"" over an aspect of her life: her sex life. When they had sex, it was extremely painful because she closed up, but she didn't tell him. She was shocked that her body showed these signs, because for her, the sex was supposed to be her in control of something. She felt like her body had betrayed her. We talked. It was brutal, but respectful. I was and still am in a dark place. One day later, she told me that because things spiralled down after the last sex/meeting with this guy in June, about four weeks ago, she started having sex with another guy who chatted her up at a cafe. She told me that it was purely sexual and that she did it as a way of remaining in control and to not feel caged with all the struggles that she has atm. She also told me that she and her therapist had discussed all of this just a week ago and that they are currently evaluating whether she doesn't fit into the ""monogamy"" category. Needless to say, I was already damaged enough, so this was just another brutal confession, but what choice did I have?We didn't cancel last weekend's trip, our anniversary weekend trip, but instead tried to use it to talk and start rebuilding.Because I am so worried about her mental health and because I feel like due to therapy, her job and other things currently slowly improving / stabilising, I have to grant her to continue seeing this guy once a week or so. She admits she doesn't know whether it's purely her need of control of dealing with her eating disorder, or also a way of dealing with her only recently discovered non-monogamic desires.It's a complete dilemma for me. The broken trust about what happened in the past is one thing, but I feel like this will eventually be forgivable and something we can leave behind. The combination of me now having to work on myself (body, ...?) in order to appeal attractive to her again combined with having to tolerate her sex meetings because she seems to be in a (temporarily?!) psycho-somatic need of it is just really, really hard. She said that for her sexual intimacy and romantic/relationship intimacy are two not completely, but fairly different things, meaning that she fully and unconditionally loves me and that she doesn't question our relationship one single bit. She was utterly shaken when I honestly told her that since being loyal is such a big thing for me (at least unless both partners are on eye-level and agree on giving each other a bit of ""freedom"" for a while), I was struggling to keep the option of separating out of my head. Over the last few days, we have supported each other whenever the other one had a breakdown: me because of what happened and because of my constant thoughts about what we have now agreed on (and the subsequent feelings of weakness and inferiority that gives me), her because she is so ashamed and guilty of what she's done and how it has affected me. I've always been the calm rock in our relationship, and she's never seen me like this. One more thing: we've both told a good friend, who is impressed at how ""gracefully"" I am handling the situation.We have decided to go to couple's therapy. She ofc is continuing her psychological treatment. She wants to stay above a certain weight because she's still in probation for her new job and because she couldn't endure being stationary and away from her child and me. She wants to consider going stationary when things have settled down a bit, though. I am working on my body and body image, but try to do it in a way where I can say I do it for myself.
She knows she is hurting me a lot with this. I know that if I fully believe her that all of this is true and that it's a life-line for her at the moment, I can't possibly reject her that need without either jeopardizing her health, or our relationship as a whole. It's a dilemma, and we both want to work on it.The extreme amount of love that we show towards each other is making me feel optimistic. The worry about how long this arrangement/situation is going to stay the way it is is making me feel sick. I have asked myself seriously and I could possibly imagine tolerating her having the occasional sex outside of our relationship if OUR sex life, and therefore, to me, our relationship as a whole, is okay again. It DOES have to do with my insecurities, yes, so I feel like that needs to be taken care of before I could possibly give the idea of a partly-open (sex) relationship a thought. I have a strong urge not to tell her this contemplation of mine because I'm still afraid that she might take this as a sign that things aren't as serious as they are. I'm sincerely sorry for going in-depth and into detail. The reason is that I feel that ALL of this matters. It isn't ""just"" an eating disorder. It isn't ""just"" a current lack of physical attraction. It isn't ""just"" her having sex with other men. It's a complex and tangled combination of all of these.I am aware that this board is about eating disorders and not about such a complex multi-facaded issue, but if anything, this text of mine might make some people realise the complexity of eating-disorder-related issues in a marriage. If anyone has any input at all, please do so. As I said, we are going go to to couple's therapy and I might also seek for professional help on my own. I am aware that no community board can replace that. Thank you so much for your patience, if you made it until here!!! :)",_admin_moderator,"Tue,11/05/2019-12:34pm",Dear vauban01 we would like,"Dear vauban01 we would like to inform you that we edited your post to remote the BMI number, which is not allowed on the forums. You can review our community guidelines here. Thanks for your understanding!",,,,
4,BlueJasmine,10/18/2019,Feeling Helpless & Guilty,"Hello, I am writing as I am confused and I am also needing to organize my thoughts, but also would like some input from fellow people more familiar with this that I am. I met this woman last July and things were electric/karmic I would say. There was an instant attraction and warmth to one another. There was certainly a bond in some same pattern of the past for sure. About 4 weeks into our relationship we were at a restaurant and she had eaten what I seemed to be a bit much, and I could tell her body was not responding well to the situation. She removed herself from the table and went to the bathroom for about 15 minutes. She came back and her body language was completely different and a sense of relief seemed to have come over her, like she was almost high in some way. My instincts kicked in and I was very aware something had shifted in her energy. I thought I wonder if there is something going on her I am not being told about. Sure enough I did some deep research while she was asleep and put all the dots together and thought I think this could be it. Later that night she woke up and we actually broached the subject and she admitted that she has anorexia and bulimia and has been dealing with it since age of 14. She is now 40, almost 41. We continued to date and proceed and I told her I was not sure how to handle all of this or if I could, but I was certainly interested in researching, exploring and assisting if needed and could be done. A few more random dates, a few more trips to the bathroom, one day she did not eat for over 48 hours except some type of food. I started seeing the red flag conductor come out and warn me this is serious and I am not equipped to handle the severity of this. But, I stayed as there is a very serious attraction to her personality and smile etc. There was some more exposure over the next couple of months, but as if about Mid September she just froze up and pulled away. She was back on Match, we got into some difficult communication and bumps in the road and she basically shut this relationship down and was seeking another within 48 hours of a fight. I wrote her a letter suggesting she get help and gave her a resource, found some therapist and have been doing extensive research. However, I feel that I am simply doing the surface work for her and she is not about facing the seriousness of what is going on. I then found out about the end of September that she has been taking medication everyday since she was 15 along side of all of this. It seems she has been prescribed for Narcolepsy. I cannot discount the need for that, but it sure seems a coincidence that it works so well for her eating disorder and that no attempt is being made at alternative choices for a chronic medical condition such as narcolepsy. I am clearly not a Dr, but it seems to fit together to well in her narrative. I am terribly concerned for her. She is very underweight, her body has suffered extreme malnutrition, she has that fine downy hair on her arms and legs, headaches, dizzy, nausea all the time, migraines, and a host of other symptoms that lead to extreme signs of malnutrition. Our relationship has ended, but I ruminate and completely bounce back and forth to letting it go, to extreme guilt. She was lying to me in the relationship about her situation, about other men, and about many things. I can't help but feel guilty, lost and confused as to why she would just up and leave and say no more. When out of her very own lips were the words, I love you, never met anyone like you, want to do this with you, and so much sign of affection while at the same time completely being deceitful, dishonest and hurtful. We don't communicate anymore, and I worry she may simply stay in her realm for the rest of her life and there is nothing I can do. She did say one last thing that she was going to get help but on her terms! That felt to me like an addict saying I can control this and will work it out. One thing I do know is when it comes to mental health is you cannot do your own open heart surgery of if you do it requires some serious tenacity and effort.. Should I just let this go? Is she really in trouble and I just cannot see it? Is she capable of being in a relationship and truly loving someone? I am so confused.. thanks",_admin_moderator,"Fri,10/18/2019-2:20pm",Welcome! ,"Hi! We hope that you’re able to get the support you deserve here on the forums! When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. Although you're not communicating with her you did mention that she was experiencing some concerning symptoms and we want to post some signs and symptoms of a medical emergency: The following are just some of the signs of a serious problem that demands immediate medical attention:
If anyone experiences anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if you:
If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner!  Please continue posting! ",,,,
5,dittoditto,10/27/2019,Not sure what to do,"My husband has had memory issues since before his ED.  At one point he was gorging until he became obese. Then suddenly he switched to restricting.  We've been complaining to his doctors about his memory issues for 9 years and they are finally listening to us and are sending him to a neurologist and neuropsychologist tomorrow.I suspect that there is an underlying cause for dementia. His father had it and his sister has Alzheimer's.  But I also suspect that malnutrition is also part of the equation.  My husband will not admit to restricting and denies that he is doing anything unhealthy.  It causes a fight if I bring it up, and I have taken the attitude that it is his body and his right to mistreat it, and it is he who will suffer the consequences and I have to give him the dignity to deal with all this himself.  I have my own issues to deal with.So, having said all of this, I was instructed to attend this medical meeting/testing tomorrow.  I know that my husband will not bring up his ED and will deny it if it is brought up.  I have typed up a note outlining the restrictive eating, which I can try to find a way to get to his doctor to read.  What should I do?  Should I let the doctor just focus finding the cause for the dementia?  It is in his family, so this isn't a result of ED.  Or, should I pass the note to someone to get to the doctor which mentions the restrictive eating?  I don't want to bring it up in front of my husband because I don't want to deal with his nastiness any more.  Frankly, even if I bring it up to a doctor, I doubt my husband will do anything about his ED until he is good and ready... if that time should ever come.  So, it would probably be all in vain anyway.What are your thoughts?",_admin_moderator,"Mon,10/28/2019-9:50pm",Edited Your Post,"Hi Ditto - your post had to be edited because you included a diet specific, which is not allowed as per our Community Guidelines: https://www.nationaleatingdisorders.org/forums/community-guidelines. Take care, and we hope your husband gets the care he needs. Please continue posting!",,,,
6,Tmfb980517,10/18/2019,Not on the same page,"My husband doesn’t offer my daughter breakfast because it will be a fight and he doesn’t want her to go to school mad. I don’t know how to feel about this. I don’t want that either but I typically have snacks for her to eat in the car or at home if she has time. He’s been doing morning routine because he’s off this week. We are parenting differently across the board. He hasn’t reached out to talk to anyone about her eating disorder, I’ve asked him to. It’s all me. Finding counsel, I’ve looked for a support group for us....I’m feeling very alone in it. I have had multiple conversations about things counselors tell me, etc. he nods. This is already a problem in our marriage so I guess I expect it. We’re not separated at this point but will be. Im concerned with the mixed parenting, non-communication on his part. I only know absolutely anything when I ask. Also, am I supposed to be offering her a snack in the morning? I am not in a good spot in many places but right now I’m focusing on my daughter & getting her the help she needs for anorexia, depression, etc. and for myself as well.",_admin_moderator,"Fri,10/18/2019-2:21pm",Welcome! ,"Hi. Thank you for posting. We’re sorry to hear about what’s going on with your daughter! We hope that you’re able to get the support you deserve here on the forums! When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner! Please continue posting! ",,,,
7,NCH125,10/18/2019,Fiancee wont admit,"Hey all, first time posting here! Unfortunately I feel like I'm running out of options, time and sanity with this problem. My fiancee won't admit to her ED. I love her to bits, she is my world. We've been together for 3 years and recently got engaged and when things are good, it's the best feeling in the world being with her. But I also know shes bulimic. The signs are all there, she's unnaturally skinny, she snacks a lot and likes to have big portions at meal times, and then always goes to the bathroom after every meal/snack. I have known for a while. I first found out not long into our relationship when we were living in my parents house, where they found a lot of discarded food packages in the bin and when questioned, she admitted it was from her. She then told me in private how she used to be bulimic before she met me but since got over it. She just relapsed this particular day but she insisted she was over it. At the time I was ignorant on the subject so have researched it a lot since. Like I say the signs have all been there but at first I went about it the wrong way, confronting her, following her to the bathroom, we had some huge fights over it. Since then the more I researched, the more I realised this was not the way to help, it's more up to her to face up to it and the day she does, I'll be here to support. But like I say we're now 3 years in and it's the same routine everyday. She eats and snacks, goes to the bathroom to purge, she comes out and I ask if everything is okay, she says yes and then we leave it there. But the problem is it festers inside of me, sometimes I can just leave it because she needs to confront it herself, sometimes I can't help but start asking questions until we end up in a huge fight. The past few weeks it's been okay, up till today when she's gone to work and left her phone at home. I've gone on it to check her emails, simply because there was an online order we needed to sort, but I've gone to her deleted items and found several takeaway receipts on days when I've been at work and shes been at home, and shes told me nothing about these. In fact when I ask what she had for lunch, not in any suspicious way it's just something we do as a couple, she'll tell one thing, but now I'm seeing it's something else. It's by discovering this today that has led me to posting on here now. I don't know how much longer I can cope with this. I suffer from trust issues, I've had terrible relationships in the past. My fiancee knows this, in fact before we started dating she was incredibly helping and understanding when I was having problems with an ex, so she knows all that about me. By knowing she's hiding all this from me is really triggering me. I know I shouldn't take it so personally and the main thing is I just want to help her, I'm absolutely terrified of her doing serious damage to herself. We've planned out whole lives together, talked about having kids in the not so distant future, and I really want to have this life with her. But at the same time I'm struggling with how she's hiding her ED and keep having terrible thoughts of her killing herself from the bulimia. But like I say she won't admit to it so I feel helpless in what to do. I have only come up with two ideas, one being posting on here. Two is speaking to her mother. My fiancee how told me how her mother also used to be bulimic right up until she become pregnant with her, and the doctor told her she needs to stop the bulimia or she'll do serious damage to her baby. So I thought if I confessed to her mother that I worry shes being bulimic maybe she could help, but also worry my fiancee will be mad that I've dragged her mother into something she says is not existent. Please help guys I dont know what to do.",_admin_moderator,"Fri,10/18/2019-2:16pm",Welcome! ,"Hi! Thank you for posting. We’re sorry to hear about what’s going on with your fiancee! We hope that you’re able to get the support you deserve here on the forums! We edited part of your post that mentioned specific foods that might be triggering for other members of the forum. Here are our community guidelines: https://www.nationaleatingdisorders.org/forums/community-guidelines.  If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. The Helpline is open Mondays-Thursdays 9AM-9PM EST and Fridays 9AM-5PM EST. During these hours you can chat with us also by clicking the chat now option at the top right hand corner!  Please continue posting! ",,,,
8,momliz,10/06/2019,Multiple Family Members with Eating Disorders,"I have been married for 20 years and my husband has always been an exercise enthusiast.  His mother is also, and 10 years ago she admitted to me that she had exercise bulimia. She cited to me several examples of disordered behavior.  When she told me this story she said she is much better now and not to worry that she is healed.  My husband idolizes his mother and credits her for his love of exercise and fitness. When she visits our house, she often times brings her own food, brings a dish to share (that is so gross she is the only one to eat it)or she says she's already eaten and not to worry about her.  When she visits, she, my husband and sometimes his cousin talk about foot constantly. She tells my husband how great he looks and that she's so glad he's eating healthy. They talk about all the different diets to the point where my sister-in-law and I just leave the room.  Family gatherings have become difficult because of everyone's eating preferences and schedules.  About 3 years ago, I brought up my concern with my husband , his mother and my father-in-law because of the impression it was making on our teenage children.  I was berrated for not understanding that they were just trying to be ""healthy"" and that I should just let everyone eat what they want to eat without interfering.  Fast forward to the present, along with my husbands day job, he is also a fitness instructor.  He has lost some noticeable weight.  I voiced my concern to him as gently as I could, but he said he is ""healthy"" and feels great.  I am concerned for him, and now I am concerned for my teenage daughter who has been suffering from panic attacks recently and I see her starting to take on some of the food eating habits exhibited by my husband and his mother and cousin.  I am in the process of finding her a therapist and I don't know what to do about my husband who thinks he is a great example and flaunts his eating and exercise to the kids.  Is he being healthy and I don't see it?  Or does he have a problem?  When he says he's being healthy, I don't know how to counter that.  Any advice would be greatly appreciated.",_admin_moderator,"Sun,10/06/2019-11:38pm",momliz,"Hi momliz, your post has been edited to comply with NEDA’s community guidelines https://www.nationaleatingdisorders.org/forums/community-guidelines. Specific details about food and weight may be triggering for others and are not allowed on the forums. The NEDA Helpline may be able to help out with finding a professional to guide you with helping your husband. The Helpline can be reached at 800.931.2237 M-TH 9-9 EST and F 9-5 EST. We hope it can be of help to you!",,,,
9,JohnnyBravo,10/10/2019,"Girlfriend with anorexia nervosa, trying to be as supportive as I possibly can..","So my girlfriend who is the love of my life was diagnosed some time ago with anorexia nervosa. Lately she's been trying to find help and reaching out to counselors and therapists. It seems that she can be very selective who she wants to have as an counselor or therapist and I can understand that. But as much as I try to be there for her, I'm not sure if she's getting the help to appease myself and her family or if it's actually for her. She keeps calorie counts which is common with this disease and she doesn't like to eat that much in one day otherwise she will feel guilty. And even though she may not eat much she doesn't also have severe constipation and she doesn't like to oftenly listen to a doctor's advice on what and how stuff should be treated. This girls the Love of my Life and it hurts me everyday to watch her obsess with her size and guilt tripping herself when she feels she had ate to much. I cook almost everything she eats and count the calories in what I make her, I don't want to feel like I'm enabling her though and I don't know if I am. Some days she eats such a low intake that I become very worrisome. When I ask her why she continues she tells me that she wants to be her best self and look beautiful for me, but I know its a cover or diversion from her real answer because I've told her a couple hundreds of times I don't care about her weight I care about her health. I just hope I can find some advice on this situation currently, sorry to bother anybody but I'm worried she may get worse before she gets better and I need to see her get better before the serious health complications begin.
Thank You,
Johnny",_admin_moderator,"Fri,10/11/2019-12:34pm",Medical Signs and Symptoms ,"Hello. You mentioned being worried about your girlfriend's health so we are posting up these signs and symptoms to look out for. The following are just some of the signs of a serious problem that demands immediate medical attention:
If she experiences anything above, we highly recommend seeking help from a medical professional as soon as possible. Seek medical help soon on an outpatient basis if you:
  ",,,,
