,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,AAAlice01 ,09/14/2018,Worries / constant burping,This is my first time writing on here and I just wanted to know if anyone is having a similar problem to me.... This might sounds stupid but I burp ALOT and I never used to being my ED. It varies from good to bad throughout the day. It can sometimes happen in the mornings before I’ve eaten or drank anything and will always happen after a meal. I’ve started having a gaviscon tablet a few hours after my lunch but this only helps for 30-60mins. I don’t know if I’ve damaged my insides from purging for the last two years and my body just tries to bring up whatever’s in my body. I’ve raised it with both my gp and therapist but it didn’t seem to concern them. It is very frustrating and makes me not want to bother eating anything at all because it gets worse after meals. This is when I feel to restrict my diet by just consuming liquids which then leads to a binge and follows with purge. I feel like this is a never ending cycle and after reading some post on here it seems the ED never fully goes away which scares me so much!!! I just want to be able to socialise with my friends and family without having any worries :(,_admin_moderator,"Sun,01/19/2020-4:47pm",Edited your comment,"Dear antreaz, we would like to inform you that we edited portions of your comment to remove BMI numbers that could be triggering to other users and specific medical information. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,,,,,,,,,,,,,
1,kaneishappy,06/30/2019,coping with anorexia/ bulimia & pill cross addiction ,"Hello all,This is my first time writing in the forum. My name is Kane and i’m a 21 year old college student. I’m taking a year off from school right now to live with family and try to deal with my eating disorders that have manifested in combination with addiction to a medication. Both behaviors feed off of each other and led me down a very narrow path where I felt as though I had to maintain those behaviors to feel comfortable and happy. 6 months ago I attempted suicide because I had gone off the deep end a bit from the combination of malnutrition and pill use. Today, I am healthier and have been clean from the medication but face daily battles where I hate my body and wish to return to anorexic behavior and pill use. Any words to help me stay on the positive path?love,
kane",_admin_moderator,"Mon,07/01/2019-12:27pm","Dear kaneishappy, welcome to","Dear kaneishappy, welcome to the forums! We would like to let you know that we edited your post to remove mentions of a medication name, which is not allowed on the forums. You can review our community guidelines here. We also would like to pass on some numbers. This number is really important to have: (800)273-TALK(8255).  If you don't feel comfortable talking, please text ""NEDA"" to 741741 or visit one of these websites:
Please stay safe!  ",_admin_moderator,"Thu,07/08/2021-2:21pm",Hi SueWallace,"Hi SueWallace! It's great that you are posting and offering support for others!  We did have to slightly edit your post to remove links, which violates our community guidelines. You can view them here, , https://www.nationaleatingdisorders.org/forums/community-guidelines. Keep posting!   ",_admin_moderator,"Wed,08/04/2021-1:41pm","Dear berlybuck, we would like","Dear berlybuck, we would like to inform you that we edited your post to remove the outside link as well as mention of the type of drink, which are not allowed on the forums. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,,,,,
2,hyacynthe,07-07-18,I'm 39 and Trying to Recover from Bulimia after 20 Years,"I am a 39 year old woman.....bulimic since age 18. I am a mom, a wife, with a great job, but I secretly suffer with this as well as Bipolar II Disorder. I was in denial about the severity of my Bulimia (purging frequently) until I sought out treatment last September. Since then I’ve been seeing an amazing therapist. The first time I saw my therapist he told me that my bulimia was so severe I had one chance to reduce my behaviors or be hospitalized. And that scared me so badly and finally hit home for me that I did start to recover. I  also have started seeing a nutritionist since December. I see both therapist and nutritionist  weekly or 3 times a month. (It’s a lot out of pocket). I have gained weight and my body image has gone into the gutter. I was not underweight to begin with but my body (as I’ve learned) was not where it was supposed to be according to my nutritionist. Besides gaining weight I’m also dealing with almost turning 40 and aging and  detesting how I look and feel. I had to essentially get rid of all my clothing, all my “youth”. Nothing fits and I feel like everything looks horrible on me. All day in my head is a running dialogue about how disgusting I look and feel. I am not recovered yet by any means but I am better. I eat meals now and don’t purge all of them. I went from purging very frequently to less frequently. I have good days and stick to eating meals on a pretty intuitive basis but then other days I can’t fight my triggers.  And I am feeling so guilty and like I will never be fully recovered. I am trying, I really am....but for me bulimia is such an addiction that I’ve had half my life. And if I’m honest my ED began way before 18 probably more like 11 with restricting and diet pills in high school. It’s days like today when I feel despair and question why I am paying so much money for treatment if I’m not going to do the work. I know I’m not going to recover overnight. I just need hope that I will fully recover. I am motivated and I am also doing this so that my kids will never have to know I have an ED and deal with that. Just feeling down and ashamed and guilty.",_admin_moderator,"Sat,07/07/2018-6:02pm",Welcome,Hi hyacynthe and welcome to the NEDA forums! We wanted to let you know we edited your post to remove numbers and eating disorder behaviors that could be triggering to our other forum-goers. Please review our Community Guidelines to ensure we can continue to keep this forum a safe space for all of our users: https://www.nationaleatingdisorders.org/forums/community-guidelinesThank you and please keep posting!  ,_admin_moderator,"Wed,07/10/2019-6:41pm",Medical Signs and Symptoms And Resources ,"Hi, Teohcc. We're sorry to hear about what's been going on. You mentioned some concerning symptoms so we wanted to provide you with this list. The following are just some of the signs of a serious problem that demands immediate medical attention:• accidentally or deliberately caused themselves a physical injury• become suicidal• confused thinking and is not making any sense• delusions (false beliefs) or hallucinations (experiencing things that aren’t there)• disoriented; doesn’t know what day it is, where they are or who they are• vomiting several times a day or has uncontrollable vomiting or diarrhea• experiencing dizziness or fainting spells• too weak to walk or collapses• painful muscle spasms• complaining of chest pain or having trouble breathing• blood in their bowel movements, urine or vomit• a body mass index (BMI) of less than 16• an irregular heartbeat, and fast heartbeat, or very low heart beat (less than 50 beats per minute)• cold or clammy skin indicating a low body temperature or has a body temperature of less than 35 degrees Celsius/95 degrees FahrenheitOr any other serious medical concernsIf you experience any of the above, we highly recommend that you seek medical attention as soon as possible. Another option is 911.You also mentioned some concerning feeling so we are providing you with some resources. Crisis Textline: Text ""NEDA"" to 741-741 or www.crisistextline.org National Suicide Prevention Lifeline: Call (800) 273-8255 or www.suicidepreventionlifeline.org Please take care! ",_admin_moderator,"Wed,05/22/2019-9:50am","Dear Teohcc, we would like to","Dear Teohcc, we would like to let you know that we edited your post to remove specific descriptions of disordered eating behaviors, which are not allowed on the forums. You can review our community guidelines here. Thank you for your understanding and please continue posting!",_admin_moderator,"Wed,07/10/2019-6:38pm",Medical Signs and Symptoms ,"Hi, alison77. We're sorry to hear about what you've been experienicng. We edited parts of your post as specific numbers could be triggering for other members. Please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines. You had mentioned some concerning symptoms so we are providing you with this list. The following are just some of the signs of a serious problem that demands immediate medical attention:• accidentally or deliberately caused themselves a physical injury• become suicidal• confused thinking and is not making any sense• delusions (false beliefs) or hallucinations (experiencing things that aren’t there)• disoriented; doesn’t know what day it is, where they are or who they are• vomiting several times a day or has uncontrollable vomiting or diarrhea• experiencing dizziness or fainting spells• too weak to walk or collapses• painful muscle spasms• complaining of chest pain or having trouble breathing• blood in their bowel movements, urine or vomit• a body mass index (BMI) of less than 16• an irregular heartbeat, and fast heartbeat, or very low heart beat (less than 50 beats per minute)• cold or clammy skin indicating a low body temperature or has a body temperature of less than 35 degrees Celsius/95 degrees FahrenheitOr any other serious medical concerns If you experience any of the above, we highly recommend that you seek medical attention as soon as possible. Another option is 911.",_admin_moderator,"Mon,09/30/2019-10:02am","Dear victimofdietculture, we","Dear victimofdietculture, we would like to inform you that we edited your post to remove specific disordered eating behaviors, which could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post! "
3,camelia1118,02/24/2020,please read my story and give me advice :(,"hi everyone,im new to this forum and needed a place to talk. ive struggled with my weight for a few years now, i've never been overweight i just dont like the way i look. my weight was slightly heavier but it was because i always had a lot of muscle---regardless in jan 2020, for new years, i decided it was time to make a change. i wanted to be strong, muscular, sexy, and comfortable in my own body and once i was strong and muscular, i could eat the foods i want because my metabolism would be high so simply resting would burn more calories than before. so i literally cold turkeyed and cut out a certain group of food. it started off really good. i worked out hard in the morning and then went to swim practice. i saw results immediately and was super pleased. by the end of the month i had lost a good number of weight and didnt want to stop. my mom who is a doctor, ALWAYS got involved though, but i have to say that it was partly my fault because i always talked about it. she knew full well what i was doing---i didnt even bother hiding it. she nagged me all the time but i put up with it. i also exaggerated with the amount of food i was eating so she'd lay off of me. one month into my diet, my mom took me to my pediatrician. i hadnt lost a dangerous amount of weight, and i was still pleased with myself and wanted to keep going. my pediatrician wasnt that worried. she wanted me to see a sports nutritionist though to help me through things. anyways, february hit hard. i got increasingly worried about what i was eating once i got a calorie counting app where i could log every food i ate and every calorie i burned. i was obsessed. i made my goal a low number of calories to eat and made sure i made it every single day. if i went over, i'd work out super hard to burn the extra calories. that's when things spiraled out of control. i began eating a really really low number of calories and i was also getting super skinny. i knew things were bad, and what was worse was that i also burned my muscle and i knew my metabolism was severely slowed down, which was not what i wanted at ALL. i was terrified. i called my mom in a panic telling her i was scared i was going to spike back up to a high weight because my metabolism was slow so even if i ate slightly more, it'd gain way easier. so as a result, i decreased my calories even more. i was so tired. i slept through school, and swim practice was the hardest thing ever. my coach yelled at me asking me why i was so slow. i told her i was sick. i was so tired. the thing was, my weight was never UNHEALTHY. like many people I know are that weight. but it was the manner in which i lost the weight which was unhealthy. i lost so much so fast, and i was so tired and had no energy and my stomach had shrunk severely. my mom, who's a doctor, took me to the ER before it was too late. i was so angry at her,because my weight wasn't terrible...it could have passed off as normal even. but the doctors told me my heart rate was really abnormally slow and that my calorie deficit was causing problems with my organs. they were going to admit me for 5 days but they made a deal with me making me promise that i'd eat X number (a lot of calories compared to what i used to eat) of calories. i thought i'd get away with only eating portions of my food and hiding what i wasnt eating. but my  parents were like the FBI and literally watche me eat every bite. i was terrified. i was so angry and upset. i admitted to them that i knew what i did was unheatlhy. but, i told them that i wanted to be muscular and be able to eat what i want (once im muscular) without worrying about being overweight, and that i couldnt go back to eating my unhealthy ways (too many carbs or too little carbs) and that i want to go forward. my parents promised me that they would help me get to exactly where i wanted, and i just needed to eat more and calories to ""get out of the hole"" i dug myself in. i was willing, and actually excited. the first day was really hard, because my stomach was so small i could barely eat anything. but by the second day, i had like a lot for breakfast and a huge lunch as well as a huge-dinner (which i gorged on, which made me feel horrible about myself). my mom was really proud but i felt horrible. today for breafast i ate more and i really enjoyed it but i feel guilty. i think im taking advantage of my recovery period and that im going to gain it all back super fast, but instead im going to be overweight and no muscle unlike before (where i was part muscle part fat). my mom told me i wasnt allowed to work out and that's even scarier, because im just eating and not getting any muscle. she promised me she'd help me get where i want, and i really want to trust her but i dont know if ican. im so scared. i just need advice. i understand i need like a week of eating a lot to heal my organs but i already look a lot fatter before and i dont think my mom really cares about what i want in my ideal body image she just wants me to be ""fat, happy me"". im so scared. please please please help :(((",_admin_moderator,"Tue,02/25/2020-10:42am","Dear camelia1118, welcome to","Dear camelia1118, welcome to the forums! We would like to inform you that we edited your post to remove details about food, which could be triggering to other users. You can review our community guidelines here. Thanks for your understanding and please continue to post! ",,,,,,,,,,,,,,,,
4,MuzikMuse500,02/29/2020,No way out,Just had a two hour long conversation with my husband and his friend who tried to do an intervention or something. They both think I should just start eating now and don't think I should go to treatment. The friend says the doc just wants my money. My husband told me that my eating disorder is hurting him. They both said that they feel like I just need to force myself to eat and then the problem will be solved. I feel like a terrible person...my self/harm and suicidal thoughts are worsening. How can they not see how much this sucks???? I feel like there is no way out.,_admin_moderator,"Mon,03/02/2020-1:31am",MuzikMuse500,"Hi MuzikMuse500 - we’re so sorry to hear you’ve been feeling like this. You mentioned some concerning feelings, and we wanted to make sure to post information about resources if you need support:You are not alone. Stay strong and please take care.",,,,,,,,,,,,,,,,
5,Tigger2406,02/26/2020,Not Coping,"I just started taking anti depressants. I dont know if they are the cause of my current state but i just feel utterly trapped. I have been diagnosed with Generalised Anxiety Disorder and the ED specialist i see seems to think i have disordered eating due to that but I feel differently - I never had the symptoms I have now of GAD before last year. I cant escape my anxiety without my bulimia go to - and with it i hit  depression of guilt and shame, because i cant bring myself to commit to DBT fully. I've only taken anti's since Saturday, since a different dr diagnosed me with depression. I'm tired of the cycle im in, so i'm trying just to ride the storm to give it a chance to work but im petrified all the time and it seems i have no-one who can help. I want to be better and i just dont seem able to break down the wall. feeling desolate, desperate and just want to find a glimmer of hope in the darkness i currently have myself in. I dont know what to do.",_admin_moderator,"Mon,03/02/2020-1:29am",Tigger2406,"Hi Tigger2406 - we’re so sorry to hear you’ve been feeling like this. You mentioned some worrying feelings, so we wanted to make sure to post information about resources if you need support:You are not alone. Stay strong and please take care.",,,,,,,,,,,,,,,,
6,MuzikMuse500,02/25/2020,Scary doctor visit,"I had a two hour doctor visit...my doctor pleaded with me to enter treatment but I don't feel sick enough for that. I'm not underweight...but I've lost so much in such a short amount of time that she said she wanted me to go to inpatient treatment. She even said that she wanted me to go to the hospital today. But I declined after she did an EKG and it was normal...so now I'm home and things feel normal. But they don't. I'm going to need help at some point. I just can't go to treatment right now. I just...can't.
But I don't know how to go on. I'm having a lot of thoughts about hurting myself or being better off dead. Im not planning to act on these thoughts...but this sucks, I hate this stupid eating disorder, and I just don't know what to do.",_admin_moderator,"Tue,02/25/2020-12:26pm","Dear MuzikMuse500, we are","Dear MuzikMuse500, we are concerned about your safety. Please call 1-800-273-8255 or text ""NEDA"" to 741-741 if you are in crisis. Please stay safe!  ",,,,,,,,,,,,,,,,
7,alwaysthinking,02/17/2020,Sick of everything,"I'm so tired and frustrated with everything and so many people, and I really see no point of ever eating again.  Why bother?  It's not like anyone cares or ever wants to help me with my recovery, so why try anymore?  There's no point.  I'm done.",_admin_moderator,"Sun,02/23/2020-11:46pm",alwaysthinking,"Hi alwaysthinking- we’re so sorry to hear you’ve been feeling like this. You mentioned some worrying feelings, so we wanted to make sure to post information about resources if you need support:You are not alone. Stay strong and please take care.",,,,,,,,,,,,,,,,
8,laevender,02/21/2020,No motivation to recover...,"I realize my bulimia is ruining my life... I wake up every day and can only focus on food; I think my issue is that I love food too much. I use it as an activity that brings me joy and I find that it is the most important thing to me. I don't know if I can live without over indulgence. Purging is a habit now more than anything. My bulimia was about weight loss in the beginning but is now only about consuming anything I want in unlimited quantities. I don't want to be limited so I am struggling with wanting to recover. Another thing is that I never feel full if I eat what I think would be okay to keep down. This makes it impossible to ever recover. I feel so hopeless, and like this might be what ends my life eventually. I absolutely hate loving food and I don't know what to do. It's all in my head right? Only I can fix this but it truly feels out of my control.",_admin_moderator,"Sun,02/23/2020-11:44pm",laevender,"Hi laevender - we’re so sorry to hear you’ve been feeling like this. You mentioned feeling hopeless, so we wanted to make sure to post information about resources if you need support:Please do not hesitate to call the NEDA helpline at 1-800-931-2237 (Monday-Thursday 11:00am-9:00pm, Friday 11:00am-5:00pm EST) if you need help finding resources. Please take care, and know you are not alone!",,,,,,,,,,,,,,,,
9,Abbie_g,02/22/2020,Where do I start,"**background** I have struggled the last four years heavily with recovery from what I am considering an ED. I have celiacs disease and before diagnosis I was eating once a day, sometimes less, because of pain and nausea. I lost a significant amount of weight since then and since that diagnosis I have gained it all back (which is a good thing for my body). But, the last year more than ever I’ve had daily struggles with making sure I am eating meals, not snacks, and I have almost lost the mental strength to keep up with this. I have never seen a professional because I have always felt ashamed for being this way. I am hoping that being here is one step in the right direction before I really relapse. Any suggestions on if I should seek professional help/what kind of professional to seek/any just tips on maintaining the will to keep at it is greatly appreciated. I know it’s getting considerably worse because I really sat for a long time today just beside myself over my weight, even though I have lost weight the last couple months.",_admin_moderator,"Sun,02/23/2020-11:36pm",Edited your post,"Hi Abbie_g - welcome to the forums. We’re glad you’re here. Your post had to be edited slightly because it contained numbers, which are not allowed on the forums. Please take a moment to review our community guidelines here. Take care and please continue to post!",,,,,,,,,,,,,,,,
