,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,constantvigilance,07/10/2018,Binge Eating Recovery,"Sup, everyone. This'll be my first post.So I've been struggling with binge eating since 2012 now, and decided to do something about it in 2017. It's never shown physically because I like to keep fit.I went and got therapy and have been actioning the steps. They've worked for the most part, but it's so hard. Sometimes I won't even use them because the urge is so hard to get rid of. It's overwhelming. I have goals in life and fitness but in that moment, then and there, nothing else matters. I just want to be filled with food. In the following days, my productivity is at an all time low.I'm trying so hard with the dealing with the urges, but they accumulate (e.g. I'll deal with them one day, then they'll come back stronger the next). I want to get out of this. I'm scared to let people outside my family/past therapists know, and I don't go out drinking with my friends because I'm terrified of gaining weight through excess calories. I've no idea what to do anymore. I just want to stop doing it. Bit deep, but that's the truth, lol.",Vinnymac69,"Tue,12/25/2018-11:24pm",I can totallly relate,"I’m a very fit and strong guy and I eat fairly healthy, but when it comes time to eat with my family I splurge. In my case, I found it easier to not overeat by drinks tons of water. I’m still sturggling with binge eating so I can’t give you a good solution lmao. I hope you the best.",Homersapien,"Sun,01/20/2019-11:01am",I would never recommend this,"I would never recommend this for most people, but yes - drinking does help. It's a 'better than' sort of scenario in my case - better to drink plenty of tea than to lose control over my diabetes by binging.First, though, you have to make the steps. Even baby steps help. The longer you go without binging, the less likely it is that you'll continue. Have you got any areas you'd like to work on?",adagio,"Thu,04/04/2019-2:41pm",Encouragement + Some Tricks,"Hey Constantvigilance. Firstly––I love your username. It's a good way to describe the mindset one must have when overcoming these sorts of challenges.  I am also a pretty active guy who enjoys the competition fo sport, and too, someone who caves now and then and binges. I don't like when these episodes happen because they mess with my energy and concentration levels. I totally get the feeling of ""want to just be filled with food"". In my experience, when I start to have these thoughts I ask myself, ""am I overdoing it on the fitness? Am I fueling my body enough to keep up with my active life? Am I setting aside time to let me body and mind rest?"" I'm still learning to accept this funny fact that the body and the mind are wound up in a crazy web of connection, and that they communicate with each other. As an athlete, I was taught by a few of my coaches to ignore the symptoms of the body, that, ""if you're sore/tired/exhausted-beyond-belief you're doing it 'right"" and that ""the point of sport is to master your mind and learn to control your thoughts.""  What ended up happening to me is that I would ignore my boy's symptoms (soreness, fatigue, sickenss) and keep pushing forward because that's what I believed to be 'right' way to manage training. But my mind caught up eventually, and I began to overeat. I would get so frustrated with myself because I thought it was my ""weak"" mind that was giving up. So I up'd the intensity and continued on with training. But again, I would binge, and I would pity my lack of discipline. What I was missing was the unavoidable fact that I wasn't listening to my body's needs, which is still something that I struggle with to this day. I'd look at my other teammates and see them train just as hard as me, and not experience any struggles with binging (as far as I knew) and I would think low of myself. But instead what I should have done was just accepted the fact that my body has different needs than my teammates and that I need to respect them. I don't 'have' and body, I 'am' a body––which means I have to think of my self (mind, ego) and my body as one unit that is connected (like I said earlier). Now,
when it comes to escaping the black hole of a binge episode, there are tricks that have worked for me in the past in certain moments but have also failed me in others which is why I recommend you make a list of multiple things that help ease your mind and your body!
On the top of my list is talking. I'll pick up the phone and call a friend. Being social helps me reduce my anxiety. I don't normally tell my friend the battle that I'm fighting on my end because I'd rather talk about something else to get my mind off the matter. I try and call my funniest friend because laughing is the best medicine.  If no one is free to chat, I love to write. It helps me to remove myself from my apartment if an urge is particularly bad, so I'll literally grab my notebook and pen and sit in the main lobby of my apartment building and write. Going for a walk is another one that I like, but I tend to do it less frequently. Lastly, plugging in my headphones and lying down with my favorite songs/playlists is so strangely calming. I've even made a playlist that helps me fight the urges to run to the cabinets. I pick songs that remind me of my friends and family. I pick songs with lyrics that remind me of why being my best and healthiest self matters and that we are never alone in this struggle. These are a few things that have worked for me, but I recommend you come up with your own list! It isn't a perfect list, because sometimes the urge just gets so insane and I succumb. Its embarrassing sure, but I'm reminded of my humanity, and I try my best to wake up the next morning with the intention of just being better than yesterday (which sounds cheesy, but once you think about it, it makes so much sense). I hope these words help man!Adagio",Harold4327,"Thu,07/30/2020-2:58am",Effects on your fitness,"Hi. I am just confused about the binge eating effect on your life. I've seen many people discussing about binge eating. But is that related to obesity, or psychological disorders ?",,,,
1,todded,07/11/2019,Treatment Options for Long-Term ED?,"Hello all, This is my first post in this (or any) eating disorders-related forum or group. I'm a 29-year-old male (former competitive distance runner) who has struggled with a variety of eating disorders for close to the last decade. For me, disordered eating started with extreme caloric restriction for the first few years, followed by years of back and forth between binge eating and periods of restriction. At the present time, I'm dealing with what I know is a very unhealthy behavior pattern. As you might expect, those patters involve semi-frequent overexertion and injury. I've also developed an all-or-nothing mindset where I either am able to track everything I eat and hit my nutrition goals perfectly OR have very large binges. More often than not, I find myself ""staying on track"" during the workweek, then bingeing during the evenings of each weekend, often surpassing X calories on days of binges. Intellectually, I know I'm doing short and long term damage to my mind and body (which, at moments, is utterly terrifying), but I find myself cycling through periods of motivation and utter hopelessness and am at the point where I know I need outside help (in some way) to begin on the pathway toward some kind of recovery. Does anyone have thoughts or recommendations about where and how to start? My spouse has some idea of my challenges with food, but I've largely played down the fact that this is still a prominent issue in my life. Additionally, I'm not sure if I should consider some kind of out- or in-patient treatment, possible medications, or therapy. Any feedback would be greatly appreciated.Thanks!todded",Periodicmemes,"Fri,07/12/2019-8:05pm","Im sorry you feel this way, I","Im sorry you feel this way, I feel similarly- even the restrict/binge... I just kept saying to my different providers there might be an issue and now I'm starting treatment. I know i have more than other people may but if you don't go to any therapy maybe consider starting SOMETHING at least to talk to SOMEONE about this even if you can't find an ED place at first. I couldn't starting, the closest IOP is 1.5 hrs away but if you're ready enough you'll be able to get somewhere i hope",JohnDogan,"Fri,01/10/2020-6:16pm",Eating disorders are mainly,Nevermind,Whitematt881 ,"Wed,01/15/2020-9:34pm",No Neda representation ,"Let me start by saying that I am kind of angry. With regard to Men with eating disorders, NEDA states all the obvious observations that I've seen stated for the last 12+ years. I.e... men with Ed's are ""under-represented"". Blah, blah... ""stigmas"". So why are we still at a stand-still on the topic. If anyone really cared about men with eating disorders, I would have expected to see advancements on the narrative by now. Instead, just more of the same repeated statements like the ones on this sight.
Add to that, at first glance (after an hour spent on the site) I do not see any information  or insights on the topic of eating disorders in the senior community. Sure there are upfront  statement about how Ed's cross socio-economic lines; gender lines; ethnicity  lines, but no mention of age lines. This exclusion of an affected demographic makes me so sad and disheartened.
I am a 57 year old male who has struggled with Anorexia for the past 14 years.
In terms of NEDA, I don't  even exist.",JFliving,"Wed,05/13/2020-1:48pm","I have to say, this is so","I have to say, this is so remarkably similar to what I have experienced myself, including the downplaying to my girlfriend. I truly do believe the first step is telling them, and seeking professional help. Getting said professional help allows you to identify the patterns which are harmful and need to be stopped, while having loved ones be aware of your struggles can help you kick those habits/behaviours. I have only been recovering for a few months really, but those are what I found were key. I wish nothing but the best for you.",,,,
2,stanleyfromtheoffice,02/20/2020,Dysphagia,"So last summer I went through a period where I suffered a lot of trauma and an inordinent amount of stress and anxiety which has caused me to have chronic tension headaches, acid reflux, and feeling of tightness in my throat. The feeling of tightness has gotten so bad to the point where it is very uncomfortable to eat anything solid. I have not eaten anything solid since last month. My last full meal was Halloween 2019. I have lost a lot of weight since August 2019 to now. Doctors have done a CT Scan, bloodwork, an upper endoscopy, and a Barrium Swallow Test and found nothing. Still do not know what is the matter, but we think it might be my body stuck in tense mode after being stressed out everyday for months. I have been drinking high protein to keep some nutrients in my body but I wonder if there are nutrition plans online that can educate me on how the body changes after long periods of starvation and what steps I can take to reaccustom my body gradually to solid food without making myself sick.",BobJ48,"Fri,02/21/2020-2:16pm",Stanley ,"Oh brother, I can only imagine how difficult this must be, and the state of mind it must put you in too !   Because yeah, it does sound like stress to me, and while I'm not you, it sounds like you are probably still stressed out now ?   Would you say ?I suspect that there are diets that help people gain weight back in ways which are not dangerous to them.  Because yeah; sometimes a person can get into medical trouble if somehow they just start chowing down after they've been starving themselves. ""Re-feeding syndrome"" that's called.But it sounds like you'll need to reach a point where you actually can eat solid food to begin with ?   Which could be difficult if your throat is still constricted ?Medical doctors tend to look at things from a medical standpoint, but if they are saying it's not medical, and you mentioned that trauma and anxiety seem to be what brought it on in the first place….are they talking to you about psychological stuff , and how that may be a player in this ?OK, I know this may sound like the good old ""It's all Psychological"" thing, but really, there's a chance that it might be.  ""Golly, you just need to  loosen up"".   That may sound like a big cliche too.Even so, these might be the next areas that are worth looking into ?Sorry if this reply doesn't help any more than the non-answer from the NEDA person did, and perhaps you've already given though to these things.  But if things were indeed traumatic, that sort of stuff, and the effects of it, don't always just go away by themselves, so talking to a professional who's versed in trauma might be the best next step to take ?",,,,,,,,,,,,,,,,
3,JakeGross ,02/05/2019,"Body dysmorphia = constant anxiety & Low self-esteem, who's been here?","Hi guys. 25yrld hetero male. Part-time musician, full time ball of self-doubt.I was overweight as a child and compensated for that by being the class-clown amongst other forms of coping, i.e fashion in attempts to make me feel more confident -( which probably led to my love for the Arts).In high school I restricted heavily. I called this portion control.In highscool I achieved significant weightloss.
I gained confidence: Lead in musicals, marching band, choir, class president, homecoming King.
I also started a punk rock band.Since graduating HS I've decided to pursue music as opposed to going to college, this, against the will/approval of my parents, teachers, and some peers.Anxiety and depression hit hard.
A lot of parties.
A lot of jobs in customer service
Prescribed medication for anxiety
Multiple antidepressants off and on
Abused other medications to help me escape my anxiety and feel ok with my reality, it gave me confidence, diminished my self doubt.     This was my drug.In and out of rehab for 4 yrs.
I don't take well to advice.
I had to do it myself.
Practically locked myself in a room.
I've been away from, ""clean"", off opiates ( the drug I can't control) for around 3 years now.Gained a lot of weight back after sobriety.
This scared me sh**less
Confidence now completely gone
Anxiety in full gearSometimes I'd manically 'exercise' (walk miles until my feet hurt). I didn't see results.
I started a new diet.
Eventually this diet mixed with poverty has lead me to a new weight. I'm fine with this number.
But not with the mirror.I obsess over my hair, have since puberty
I think my legs are fat, unproportional
Stomach rounded and pronounced
I sometimes I think im generally unattractive, the lines under my eyes, the way my mouth slopes downwards.
Times when I've changed my outfit 6 or 7 times before performing a show (still a musican, folk music now)
Times I've changed my outfit 6 or 7 times before going to the grocery store, to work, to the bar, to my parents house, to the park.I feel I'm never satisfied with the way that I look and this huge lack of confidence has and is TAKING A TOLL on my everyday life. It's hard for me to express this to anybody because they don't believe me unless they know me well. I fear people will think that I'm just bullsh**ing for attention or something. I'm told I'm attractive, I've been with beautiful women, I'm popular in this small town, I'm a performer, I get on stage in front of people, sometimes a crowd, often times strangers. Why would they believe me?  Thank you for reading my story.It would be great to talk to anyone else who has gone or is going through anything somewhat similarAdvice would be wonderfulFeeling less alone would be wonderful(And I'm not talking about AA or NA meetings or else I'd be on a different website or the basement of some church, I'm talking about men that struggle with thier self image)Thank you-jake",BobJ48,"Fri,02/08/2019-9:18pm",Jake.,"Hey Jake.Wow, all of those accomplishments in High School !  Not too many people can claim those sorts of things for themselves. But yeah, maybe you set an awfully high bar for yourself ?  One that was a little easier to pull of in the confines of school and with your peers, but a little harder to uphold, out in the real world ?OK, OK, I know that all sounds like a big psychological cliche, but even so, we can get to where we demand a lot from ourselves.  That place in our mind where all those demands get played out - Things can get pretty crazy in there sometimes.And of course the part about ""being perfect"".   A person's gotta hate that part for sure.Keep writing ?",JakeGross ,"Fri,02/08/2019-2:50pm","Well said, I appreciate your","Well said, I appreciate your input Bobj48!",adagio,"Thu,04/04/2019-3:33pm",Checking in! ,"JakeGross, I feel like you and I have a lot in common. Both pretty young, male, achieving personal successes, and letting crap thoughts about our body take up more real estate in our minds than necessary. Honestly, I don't have a cure-all solution for any of this, but I know what helps me when I'm feeling particularly down about myself is reminding myself that I am so much more than just my body. I am a unique body, with a unique skill set, that in0turn helps make other people feel good which ultimately is what makes me feel amazing. I am a photographer, writer, and graphic designer, and what I've been focusing on in the past few years is learning to let my art and my craft fulfill me more than a sideways long glance into a mirror would. You have a creative gift man––one that many would be jealous of. You get to perform live. You know how hard that sh*t is for some people? Your friends and fans surely aren't buying tickets to watch a body step out on stage and listen it hold a pitch. They want YOU, the soulful and creative YOU that lives inside your body that tiptoes out during each performance and touches the heart of everyone in the audience in a different way. You are the deliverer of so much inner peace to so many people and you shouldn't be left out from that!
There isn't a single solution to overcoming the low self-esteem you've been feeling recently, in my opinion. Good Self esteem that takes practice, time, and a drop-dead honest group of friends. (Im not a doctor, just to be clear, and the advice that I'm about to offer is what has helped me in the past and present and might not work with you!) What helps me is creating small habits that help me feel my best. I try and exercise most days of the week, not with the intention of altering my body, but to feel the good rush of endorphins that comes along with it. I too feel that I have bigger than average legs, and this might have been because I rowed in college, but I don't let that thought discourage me from taking care of my health. I also really enjoy making random gifts for people, which helps me flash some of my creativity (self esteem +) and helps someone else feel thought-of and loved in return.
I turn back to this question when I hear the internal chatter get pretty dark: What would my response be to a close friend if they expressed such thoughts about their body/themselves out loud to me? I have been trying to treat myself as someone that I've loved, to grant myself grace for any supposed shortcomings that I have (or that I have believed to have been said about me at a point in time) and to uphold all the beautiful things I've created and to continue pushing forward towards the things yet to come with gratitude and a healthy dose of pride. You are brave for stepping in front of the audience, don't forget it!",holdingon3,"Tue,02/18/2020-4:06am","Hi Jake,","Hi Jake,
I really feel for you.  My son is now 15 and is an amazingly passionate, perfectionist who has always thought his torso was too fat and has struggled with this. He now has orthorexi and exercises for specific body image and is focused so much on this.  Of course everyone comments on how great he looks but inside he is miserable.  His whole life revolves around this.  People don't think he has a problem because he gets straight As and is the most fit guy in his class.  He is empathetic and sensitive but feels alone and anxious and no one would guess.  He changes his clothes constantly, and now that he is thin and muscular (but way way too thin) he still will only wear certain clothes, including coats, so I know what you are talking about.He is extremely attractive, but doesn't even see this.  Actually he doesn't even care as much about others comments, only how he looks in the mirror.  I hope you have someone who is helping you.holdingon3",,,,
4,eternal88,12/08/2019,Let the healing begin,"Good day and Blessings to all. I have been dealing with emotional bingeing and purging. I used to beat myself up mentally with shame and regret. Now I am educating myself on the seriousness of this unhealthy coping cycle. I ceased my bingeing and purging episodes for a year or so until recently. As my grandmothers dementia worsen, family cohesion crashing, anxiety increases, and for some reason I have the worst negative thinking that does not seem to come from my heart but it's very judgemental. I start to feel drained mentally and even physically at times. B/P does not make it better as a way of coping. It will only deteriorate the mind body and soul. I understand that i have to fix the root of this cycle to heal completely. Pain is okay. Suppression is not. Understand that there are deeper consequences than emotional regret. The physical damage can be life threatening. My body needs me to get a grip and extract this demon. My mind needs me to free it from chains of regret. My soul needs me to nourish it with peace. I need me to Love My Existence more. We all do. Now let your healing begin",iwanttolive,"Wed,01/15/2020-10:48pm",eternal88,"Hi.  I am sorry to hear of your grandmother's dementia.  It is very difficult to watch someone we love suffer.  You have a lot of good insight.  Are you getting help with in dealing with your grandmother and how it is triggering the eating disorder?  I hope you decide to get help because as you said, eating disorders are life threatening and you need to take care of yourself at the same time your grandmother is going through her health issues.   I really hope you get support and help and do what you need to do to stop the as you said, the suppression, through old coping ways that are very harmful.  Please take care.iwanttolive",,,,,,,,,,,,,,,,
5,Yeahokay,05/22/2019,Low libido,"After I started my recovery I thought that the sex drive/libido/drive to do any even non sex related remained at zero even though I'm almost 9 months into recovery so I decided to go to a doctor(endocrinologist) to get some blood work done t-levels thyroid ext and all tests came back fine Wich makes sense because I live a pretty healthy lifestyle now (eat healthy, get exercise, ext) but I was confused why I still have this issue of low libido so I tried changing around my diet (trying to get all the vitamins and minerals I need and getting enough calories) but nothing seemed to work so I don't know Wich direction to go now to get help for this issue",BobJ48,"Thu,05/23/2019-4:23pm",Low,"Boy, I don't know, but I'm glad you got tested at least.What do you think - might it be psychological issue ?Sexual matters often involve a lot of psychological things.",JohnDogan,"Fri,01/10/2020-8:07pm",nevermind,Nevermind,,,,,,,,,,,,
6,okayokay,11/11/2019,?,"I want to be skinny and light and empty, but I want to grow taller and be able to focus and be normal. I am lost",a.thompson120,"Fri,11/15/2019-10:46pm",okayokay,"Hey,I like your username. It's okay to be lost. It's okay to know exactly what you want, but want two contradicting things. It's okay to not know what you're doing, or why.Do you really want to be skinny and light and empty, or is that your ED talking? What do you want to be like in your future? How would being skinny and empty fit in that future? Ask yourself questions, really ask. Let your most hopeful self respond, or even your future self. It sounds flaky and pointless, but it may help you find what you really want.Best of luck, I believe in you.",,,,,,,,,,,,,,,,
7,Westy96,11/03/2019,How do I cope?,"So I'm a 23 year old male coming to terms with the fact I've had an eating disorder for several years now. I basically have an addiction to sweet things and crave them. These cravings have nothing to do with hunger. I really struggle to acknowledge it as a problem, so I ultimately fail to actually put anything in place to address my issues. This is my main issue. It doesn't help either that I can't really achieve a proper balance. I'm a very 'all or nothing' person in general. I've tried keeping a food diary in the past, but never really took it seriously. I also often forgot to include everything I had eaten. Instead of writing in it as soon as I had eaten, I would fill it in during the evening, but some days I forgot to even fill it in at all. When I did my food diary, seeing it all written down did help to hit home just how quickly a little here and there mounts up.I sometimes feel as if I am having a good day and can afford to be less careful, but I struggle to acknowledge when I have a bad day, or admit it to others. It negatively impacts those around me and comes across as if I do not care, or that I am selfish and arrogant. That is not my intent at all, but I can offer no explanation why I do it, nor can I justify it. I know it's wrong, but I can't help myself. My current action plan is to seek the advice of like minded individuals and hopefully offer my own when I find myself in a better place. This is why I've now signed up to this site. I am also starting a new food diary. I intend to fill it in when I eat, or to make a note on my phone if I am unable to do so. I also plan to fill it in honestly and in detail. Hopefully, this will help break me out of the mindset of being less careful than I need to. Lastly, I hope that if I do have a bad day, I will be able to talk to those I live with about it. To just acknowledge it before I have eaten most of the sweet things in the house. I know I need to change my mindset and the first step is to acknowledge this IS a major issue. And the way I am, I will likely need to keep a food diary for the foreseeable future to help keep on the right track. I'm also hoping that reading through other's posts and responses will help me to improve my own issues and get me to a place where I can also maybe help others.",a.thompson120,"Fri,11/15/2019-10:37pm","Hi Westy96,","Hi Westy96,I'm glad you awknowlegded your problem, found this forum, and decided to do a few things to help it.
I would highly suggest therapy, online or in person. Eating disorders are not something you deserve to deal with alone. The people you live with, your friends, and family can only help to the best of their knowledge but you might want to consider letting many of them know.
It sounds like the you and the people you live with share food, so it may be beneficial for you to ask them to grocery shop for you. That way, you won't buy sugary food on impulse and there may be less sugar in your house.
Speaking of less sugar, cooking is a good habit because it's healthy, and (from my experience) you feel proud of what you made and tend to eat more reasonably.I hope your food diary is going well and that your mindset is getting better. However, remember recovery has many relapses, and does not follow a straight line of improvement. I believe in you!",,,,,,,,,,,,,,,,
8,Pineapple-Boy,10/16/2019,How do you cope?,I've been struggling with my relationship with food for a long time. I knew my eating habits weren't normal for a while and have caused me significantly more distress as time goes on. I switch between restricting and over exercising to bingeing. Food is on my mind 24/7. I've been like this for years. I didn't think I had a serious problem until the past week or so. I was watching a show and one of the characters ate/didn't eat like I would. The reaction from a character that saw this gave me a wake up call. I want to get better. I told a friend a little about it but they don't understand and change the subject quickly. My family wouldn't believe me or take me seriously. I don't have access to therapy or support groups right now. Is anyone in a similar situation? How do you cope?,Pineapple-Boy,"Fri,10/18/2019-8:24pm",I already talked with the,I already talked with the hotline. There wasn't much they could do.,Savedbygrace ,"Sat,10/19/2019-1:10pm",I've found ,The only thing they're willing to do is help you find resources.,Pineapple-Boy,"Wed,10/23/2019-3:45am",I know. I don't have access,I know. I don't have access to any,a.thompson120,"Fri,11/15/2019-10:21pm",Pineapple Boy,"Hi,It sounds like you are in a hard situation. From what I know, I can give you a couple tips.-Find an online support group that meets fairly often and connect with people through that. -There are some apps and websites that allow you to talk to therapists online.
-Writing or typing what you eat each day is a good way to assess yourself and keep you motivated to get better.
-If possible, identify what triggers your habits.Remember you don't have to get through this alone. Know that your illness is making your choices and habits with food, not you. Your worth doesn't depend on your illness. I wish you the best.",a.thompson120,"Fri,11/15/2019-10:22pm",Pineapple Boy,"Hi,It sounds like you are in a hard situation. From what I know, I can give you a couple tips.-Find an online support group that meets fairly often and connect with people through that. -There are some apps and websites that allow you to talk to therapists online.
-Writing or typing what you eat each day is a good way to assess yourself and keep you motivated to get better.
-If possible, identify what triggers your habits.Remember you don't have to get through this alone. Know that your illness is making your choices and habits with food, not you. Your worth doesn't depend on your illness. I wish you the best."
9,a.thompson120,10/12/2019,Support groups?,"I am writing on behalf of my boyfriend, a male teen who has had Anorexia for several years.He is doing well on recovering physically, and has been sticking to three meals a day for a year now. However, he is still battling his mind. For that reason, he is considering going to a support group. Do support groups help? Are they usually female-dominated? Have any of you had success with a male only support group? Or any online support groups?We are doing reseach on nearby groups but would love to hear some advice/answers of our questions. Thanks!",koifish22,"Tue,10/15/2019-7:54pm",Yes!,"Support groups have been researched and they do help, even if the members don't realize it at first. It would probably be more helpful if you found a male based support group, and there are even some online support groups (18Percent) that could be of use. Keep your options open though, because not every support group may be right for your boyfriend. It's great that he has a partner that cares so much!
Good luck!",a.thompson120,"Wed,10/16/2019-2:55pm",Thank you for your response!,Thank you for your response!,,,,,,,,,,,,
