,Forum Name,Forum Link,Forum Topic Number,Forum Post Numer
0,COVID-19,/forums/covid-19,58,250
1,Maintaining Recovery,/forums/maintaining-recovery,3386,15874
2,Working Toward Recovery,/forums/working-toward-recovery,5307,23746
3,Siblings of Sufferers,/forums/siblings-sufferers,65,286
4,Partners/Spouses of Sufferers,/forums/partnersspouses-sufferers,348,1789
5,Parents of Sufferers,/forums/parents-sufferers,312,1529
6,Children of Sufferers,/forums/children-sufferers,3,11
7,Males & Eating Disorders,/forums/males-eating-disorders,93,397
8,Friends in Support Roles,/forums/friends-support-roles,105,361
9,Media Watchdog,/forums/media-watchdog,23,84
