,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,05/25/2021,reactionarybingeeating,"Hi everyone,
I think my sister has a binge eating disorder but any time I try to bring up getting help to her, it always results in more binge eating. I don't know how to talk to her about getting help because I'm always scared it's going to result in a binge. Does anyone have any experience with this and how did you successfully stop this cycle? Also, I've read in guides that when you talk to them about getting help you should try to limit mention of food or their eating habits, but I'm not sure how to site my concerns about her binges otherwise. Does anyone have any advice? Could you give me examples?Thank you!",,,,,,,,,,,,,
1,08/05/2020,Respondingtoweightcomments,"My younger sister has begun treatment for ED which is great, but I'm struggling as a sister to help her when people comment on her drastic weight loss. She has admitted that there is a part of her that wants to hear these comments to reassure her weigh loss, but the other part of her is torn apart. Unfortunately we live in a world where people feel it's acceptable to make these comments, and as an older sister I have jumped to her defense in simply saying that the person making the comment ""Doesn't need to mention it."", but I don't know if this is the best way of handling it. Should I give her the opportunity to respond? Is there a better response without divulginf her ED? Any advice is appreciated!!","Hey there.I wasn't quite sure what you meant here.  Were you wanting to know what to say to the people who make those kinds of comments to your sister ?  If so, I'm not sure what to tell you.  Here in the US it's rude to say those sorts of things, but I know that in other cultures it seems to be common, and a normal thing for people to make comments like that.  I suppose you could tell people to mind their own business, but I'm not sure that that would do much to help relive the tension of the situation. And as you said, it's probably not your place to bring up your sister's ED.  So it's a difficult matter for sure.How to help your sister to deal with these kinds of comments is another thing.  As you said, on the one hand her ED may be reassured by such comments, but if she is also trying to recover, they aren't helpful.  One thing that's true is that people who make these kinds of comments are rude and ignorant, but the fact that the two of you both understand that…It's good that you do, but I'm not sure how much comfort your sister is going to feel, knowing that there are rude people in this world. So it's a tough situation for sure.  Being able to say ""I know it must be confusing to hear people make those kinds of comments""…sometimes I think that would be the most comforting thing for her to hear from you ?Like that someone else understands, you know ?Anyhow, just some thoughts.","Way to go being your sister’s ally, for one. So many people with EDs struggle to find support within their family, so... I think you’re really awesome no matter what. This is a tough situation because the people saying these things to your sister might be well meaning though let’s be real, their comments are rude. Unfortunately, commentary on weight has been in our culture’s crosshairs for a long time. If she isn’t getting a message about weight personally from someone, it will come through media and other sources. So... it’s impossible to protect her from it. She may need to be the one to shut down the comments with you at her side. That puts the power in her camp, but you can still support her as she navigates dealing with this part of our culture (which we can only hope continues to change for the better). Thanks for being an ally, you are making the world better for your sister and so many others out there!",,,,,,,,,,,
2,04/23/2020,Momdoesn'tbelieve/careenough?,"My sister has struggled with an eating disorder for about 5 years. Our family is awful at communication, so we've never actually talked about it but we all know. I could tell from the very beginning and would often get angry with my mom for not making my sister eat or allowing her to skip meals and over exercise. My mom never saw anything wrong in this, even as my sister lost an incredible amount of weight and became a skeleton. I finally convinced her to get my sister some help so she took her to a nutritionist and our GP, but never a mental health professional. She's gained a little weight, enough to satisfy my mom, but she still looks very unhealthy and scary to me. My sister recently mentioned that she missed her period and my mom completely brushed it off and just said ""it happens."" With my sister going to college in a few months, I'm absolutely terrified that she'll get even worse. Please help me! I need advice for how to talk to my mom and make her take this seriously! Thank you so much","Hi.  I want to welcome you to the forum.  I am sorry you have been going through so much with your sisters illness. I understand the whole ""sweeping things under the rug"".  It is frustrating and can cause anger as have been experiencing.  It can be very scary watching someone so close to you suffering and not being given the help that your sister needs.  I am that sister.  I was very ill for most of my life and it was very scary for my younger sister watch and she had lived in fear that I woud die.  My other sisters just got angry with me and never tried to understand so I applaud you for wanting to get your sister help   So you and your sister talk about this at all?  Is she able to confide in you or anyone?  Your mothers lack of action may be out of fear or just not understanding how dangerous eating disorders can be.  On NEDA's web site, there is what is called the Parent Tool Kit. In that there are suggestions on how to help with a child that has an eating disorder.  It may be helpful for you as well.  You are correct in saying that it seems important to get her help now, before she goes off to college.  Do you know why your mother doesn't want her to get psychological counselling?  I know this is scary and I am glad you reached out.  Please continue to as much as you need.  And check out the resources NEDA puts out, you may even want to chat with someone from the organization.  Take care of yourself too while you are dealing with all of the fear and family dynamics that are challenging.  Please post again.iwanttolive","Hey Cactusmoon.  I'm sorry to hear that you're going through this as a family. When I was going through my eating disorder as a teen, my family had a similar dynamic in terms of brushing it under the rug, which ultimately made things worse of course.  I think appealing to her mom could be a good approach, and perhaps appealing in the most non-accusatory way that you can while trying to inspire action?  The turning point for me getting treatment was actually a neighbor who approached my parents and voiced her concerns and went to them with more of a ""I know this is scary, and this isn't your fault, but we have to do something or your daughter is going to die.""  Every family is different, and every situation is different.  I'm sharing what triggered action in my situation in the hopes that it might be a viable avenue for you.  Good luck, and great job seeking support!",,,,,,,,,,,
3,08/30/2020,Whattodo?,I didn’t see a forum for family members that weren’t siblings so I apologize but this is my cousin. She has been doing this for years while she was a minor and now that she just turned 18. Her mother refuses to admit that she has anorexia even though doctors and psychologists diagnosed her. Her father is too weak to stand up to his wife. Her mother got her out of the hospital twice within days because she refused to say her daughter has a problem. My cousin is no longer going to doctors appointments now that she is an adult. What can I do? She has never looked thinner. Her heart rate is in the low 30s. She is dying and I don’t know what I can do me and her brother have tried to talk to her and she completely shuts us out. Any help works I just need to do something.,"Hi monkcarter, thank you for posting. We’re sorry to hear about this difficult situation. You mentioned some medical symptoms your family member has experienced. The following are just some of the signs of a serious problem that demands immediate medical attention:
Seek medical help soon on an outpatient basis if she experiences the following:
 We recommend that she receive medical attention as soon as possible. The NEDA Helpline phone line can be reached for help finding resources at 1-800-931-2237 (Monday-Thursday 11:00am-9:00pm, Friday 11:00am-5:00pm EST). Helpline chat hours are Monday-Thursday from 9AM to 9PM ET and Friday 9AM to 5PM ET. Please take care, and we wish you the best.","Yep, it's good to see a list of what the person *should* do, and what sort of things *should* alarm them, but when the whole set-up seems to be based on denial, as you said, it's hard to know how we can help. So I guess I would ask how totally she has shut you out.  Do you think she reads any of the things that you send her ?  If she does, then there may be some ways to help, although they may not always serve to convince her to do the things that you wish she would do.What I mean is….it's unlikely that she doesn't know she's in trouble. Not too many people in her position honestly believe that everything's fine.  This doesn't mean they are anxious to quit though. Often they want to keep losing instead. So perhaps you can imagine the sort of dilemma it puts them in.  And then she has to deal with her parents, who sound like they have some issues of their own. So rather than pointing out the ways in which she's endangering herself (which she may already be aware of) instead you might want to say something like  ""I imagine it might be difficult to be dealing with how things are going on the home front.""Her response to which might be ""Thank God  someone finally gets it about that.""Is this sort of approach going to help her quit having an ED ?  Probably not.  But it can help her feel less emotionally alone with her situation.  And that is something that  can make a difference.",,,,,,,,,,,
4,08/20/2020,SiblingAdvice,"I have an eating disorder and I'm scared that my behaviors are rubbing off on my younger brother. Also everytime he does an eating disorder related action, it triggers me and holds me back from recovery.","Yeah, it's easy for people to be triggered alright.  Try and keep your perspective, is what I would say.  You may not always be able too avid being triggered, but at least you'll know where it's coming from.  xx","Hi, I’m sorry about your ED and situation with your brother, it sounds like it must be painful to see him picking up on your behaviors like that. I’m not sure what kind of support you already have, but if you don’t already, I’d really recommend seeking professional support, for you and your brother if possible. The NEDA Helpline may be able to help if you’re having trouble, I hope you can find the support you deserve. Wishing you the best","Hi BuNnY1216 - The NEDA Helpline is available for help finding support and resources at 800-931-2237, or there is a chat function on this website to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We wish you the best – you are not alone. Please continue to reach out to the forums, and we hope they are a supportive space for you.",,,,,,,,,,
5,08/04/2020,Howcanihelpmylittlesister,"My little sister is 15 and in this past year has developed anorexia. She lost a lot of weight and is now really underweight and had to get bloodwork done at the hospital. They discovered physical symptoms during that doctor visit I never even knew of, she had kept secret. I realized that even I had not realized how serious her ED had become. My mom is now searching for a therapist, although the only open appointments were a month away. She’s still looking for more immediate help for my sister but i fear that because she isn’t in an inpatient nor outpatient program she isn’t getting the help she needs so desperately. I cry everyday because i hate myself for not speaking up when i initially noticed her exercising daily and eating less. She is now severely underweight, and she constantly is frowning even while my family is laughing with eachother and i look over and i notice it. It makes me sad that she is so unhappy all the time, i know the ED is taking its toll on her mental health. She also stays home a lot, she’s the only one in my family who doesn’t work, so it’s difficult to cheer her up unless my mom is home to take her out- even then she seems down and has a temper. I want to know anything i can do to help. We had a really heartfelt conversation the day she went to the doctor, and i continue to make lunches for her and dinners that she will eat. Yet she isn’t eating much more than before, still small portions- even if now she’s eating 2 meals rather than 1 barely eaten meal a day. Im just worried we aren’t getting her help quickly enough. I’m constantly stressing that i’m not helping enough because i don’t know how to approach the topic. I ask if she is okay, if she is hungry, i hangout with her and watch tv with her when im home.. I just fear that she is so depressed and crippled by this. She tells my mom she struggles so much with eating & does not wanna gain weight. Since she kept it a secret so long i think its so much more comfortable for her to just keep her thoughts to her self, she tells my mom the most out of any of us but. I wanna be there for her too as best i can. Are we doing anything that is hurting her? Is there anything I should take into account? I would so much appreciate the advice of someone who has recovered from such a brutal disorder.. How can i show my sister recovery is worth it?","Hey there.Not recovered myself, and never had an ED, but I talk online with a lot of people who do, and yeah…How able are loved ones to help with situations like this ?But first, try not to blame yourself, OK ?  EDs tend to sneak up on people, and while we can look back and think about all of the things that we wished we had done, and berate ourselves for not being aware of things which seem obvious now, the fact is that most people aren't very familiar with EDs, and it's kind of the normal thing for it to take a while for them to figure things out. Plus it's clear that you care, or else you would never have posted here in the first place.  So I hope you can set you mind to rest about those things.   Or just a little I mean.And yeah, your sister sounds like she's in the thick of it alright. Being cranky and irritable all the time is a pretty common symptom when people suspect that others are ""against them"" and are going to be wanting them to give up their ED.  I mean don't people understand all of the effort and extreme self-discipline it's taken them to get to this point ?  And they expect her to welcome the idea of throwing that all away, and  just ""getting fat"" again ?   You can understand why she might be feeling pissy.  Other people just don't get it, you know ?So yeah, what can you do ?  Not as much as you might want to, because so much of what happens is going to be up to her.  So you'll need to get used to that part.  Which can be really hard to get used to. You mentioned how much she stays in, and that may be a place where you can help.  It's like people with EDs can start losing touch with the world, as their own world begins to narrow in around them, so anything you can do to try and keep her in touch with the wider world, I do think that's a role we can play.    Go on a hike, go to the museum (if you can)- anything to keep her in touch with the world. That may not seem like much, but sometimes things like that can give the person a break from the never-ending ED chatter that's going on in their heads.Plus people with EDs are often frustrated.  They just aren't losing weight fast enough, people are always bugging them about their habits, God knows what's going to happen when they make her see this therapist person - They have a lot of things to feel frustrated about. So that is something you could say to her.  ""It must be frustrating to have to deal with all this.""  So there you go ; you guys would have something you could agree on, and she'd be able to think that at least you get it about that part.  Which is good, you know ?Anyhow, just some thoughts.  My sense is that there are going to be a bunch of more ""stages"" to go through in all this, so keep writing if it seems to help.B.J.",,,,,,,,,,,,
6,06/25/2020,Adviceonaddressingadultsister'sdenial?,"Hi everyone. I only made an account because my sister has refused therapy and continues to deny having an issue. Our mother and I both confronted her about it (she tried to turn me against our mother in an argument about whether she is anorexic or not), but she isn't buying it. I'm well aware that denial and an unwillingness to go through treatment is a big part of eating disorders, so I'm not surprised. I just don't know what to do about it.She can't really be forced to go to therapy because 1) it would be cruel of our mother to do the whole ""become independent or cooperate with therapy"" trick during the pandemic, and 2) she is 18 years old. My sister lives with our mother and has never had a job before if that communicates her lack of independence enough. She was diagnosed with autism when she was little, so the idea of using ultimatums like the one I mentioned above is even more difficult than it normally would be.I'm 22 and live on my own (with my fiancé). I actually live on the other side of the U.S., away from the rest of my family (I'm not close with my mother at all, long story). This means I don't have a lot of opportunities to confront my sister about it in person. I haven't tried anything after the first conversation because I have low tolerance for stuff like this, and I don't have the energy to field someone else's serious mental health issues when I am dealing with my own; I have severe OCD and a specific phobia that I am undergoing Exposure Response Prevention therapy for.I know I am improving, and I know that anyone is capable of doing the same if they bother to try. Problem is, she won't. She won't even imagine a world in which she is wrong or in denial. She thinks she's healthy when she is wire-thin and hardly eats. She obsessively reports her unimpressive snacks or small meals to me when she has them to ""prove"" that I'm wrong about her anorexia, or at least that's what it seems like she's doing since she never did this before I talked to her about it.What course of conversation or way of communicating is helpful when trying to get through that denial? I wonder if she finally sees the light, maybe she will do something about it.","It's true, people with EDs can worry about family members becoming aware that they have an eating disorder. And it often turns into the situation you've described.  Denial, and anger towards those who are trying to call them on it. At the same time, she knows that the cat's out of the bag now.  And that you guys do know what the story is.  So as much as she may try and prove that ""everything's fine"", she's aware that you already know that it's not. Alternately, I suppose it's just possible that she believes that she's on a regular diet. But I kind of doubt it.  And like you said, sending you pictures of her meals, that's a little obsessive, you know ?  As an aside, people with EDs often do this - take pictures of their meals I mean. So it was interesting to hear you mention her doing that.  In any case, I hope you guys don't end up stalled in the ""everything's fine"" stage of things for too long.  It's a big waste of time and energy, when you could be talking about more productive things instead. Which is something you may want to try with her.  How's she doing with getting out of the house, for example ?  Or pursuing that sorts of hobbies which may have once interested her ?  Or keeping in touch with her friends ?  People with EDs often find that the breath of their lives is becoming narrower and narrower, and that is something which can become a concern for them. So maybe she'd be more willing to talk about the non-food angles of her life with you ?  Because those sorts of things can effect people's eating disorders as well.Also, might the be things going on to cause her to feel like she's not in control of her life ?  Feelings of not-being-in-control cam lead to eating disorders as well, so that's something you might want to enquire about, if she'd be willing to talk about such things.This all may seem like you are coming at the issue indirectly, but such things may play into this in important ways, and if she can talk with you about those things, it may end up providing the both of you with the sorts of openings-of-communication that you're after. Keep in touch ?","Obviously denial is major in this illness, but for me the scary realization was the undeniable medical evidence that I was quite literally killing my own body by starving it. If I were you, I  would ask her to get a wellness check up, ""just to be safe"", but you would want to make sure that she is honest with the doctor about her limited food intake, even if she thinks ""it's fine/no big deal"". This is because, even if as of right now, her blood work or other lab results are not critical, the doctor will still express concern and be able to warn her about the dangers she is bringing upon herself, and recommend a safer level of food intake. Would there be anyone who could attend this appointment with her, to make sure she does mention the disordered eating to the physician? Perhaps your mother or another sibling if you have one.",,,,,,,,,,,
7,06/16/2020,18yearoldsisterpotentiallyhasbulimiaandidkwhattodo,"Context: I haven’t seen my sister in a year due to her moving to Florida to be with her biological father (who hasn’t been in her life for at least 16 years but that’s another story) and she has been living with my mom in California, and they have always had a tumultuous relationship. Neither one has been great to the other, my mom has talked about my sisters weight a lot, especially when she was going through puberty, and my sister has always tried to disobey my moms rules. My sister has also been manipulative with money and has just been mean to everyone, including myself, leaving to be with her friends only 2 hours after I’ve landed, despite listening to her over the phone as well as help her financially despite not having a job myself.At dinner tonight, my sister had a pretty small amount of curry and 15-20 minutes later, went to the bathroom saying her stomach hurt. My mom and I then both heard her turn the sink on and my mom knew right away what she was doing, and yelled at my sister to unlock the door, and when she did I saw the sink was in fact on and we both saw her trying to make herself sick.My mom has essentially given up on my sister, saying that the stress is not worth it for her health (she struggles with ovarian cysts from time to time and they get worse when she’s stressed) and she has encouraged me to do the same, but as the oldest sister at 22, and my sister being 18, don’t want to and I don’t want to be responsible for her death if there’s something I can do.I don’t even know if there IS anything I can do, she pushes everyone away willing to help her (including myself) and I even recommended her a therapist that would take her insurance, but she hasn’t seemed to reach out to her.","I'm sorry this is happening, it's a very tense situation, and it will be tough to figure out what to do. Maybe sit her down and tell her how much you love her and why what she is doing is not necessary. I think it's important that your family stays united, and does not get frustrated or angry with her.","You wrote :"" I even recommended her a therapist that would take her insurance, but she hasn’t seemed to reach out to her."" The thing is, people with bulimia often don't want to be helped.  They want to continue doing what they are doing instead. When you
recommended that she see a therapist, she probably understood  you to mean that you wanted her to get therapy to get rid of her eating disorder. Which is something she probably does not want to get rid of.  So no wonder she didn't follow up.However…it sounds like she has plenty of other things she could talk to a therapist about. How she doesn't get along with your mom, and how everyone tries to control her, and other things of that nature.Which are legitimate things to be concerned about, and which may also have some tie-ins with her eating disorder.So yeah, it's not like she has to necessarily get help for her ED, she could get help for other things too.  Which is an idea which might sound more appealing to her ?Anyhow, just some thoughts.  Things like this are difficult, and sometimes you gotta come at them from the side to begin with, rather than starting by confronting them head on.",,,,,,,,,,,
8,04/29/2020,HowcanIbesthelpher,"Hi - I am new the forum and I am very thankful for it! Recently, I have been home living with my sister because of all the recent quarantine orders. I have been very aware of my sisters ED. She Is diagnosed with disordered eating and does not yet fit the criteria for a specific ED. Living with her and seeing her habits form / fluctuate have been so hard for me. I just keep watching her control so much of her food and go so many days eating so little. My fear, of course, is the disease growing and becoming more and more severe. My sister is aware of her struggles and actually acknowledges how difficult it’s been for her.
I guess I am struggling with how to live with her that is supportive but also learning to cope there is not much I can do... she is older, 20, and typically at school living away from home. I also am typically not home with her but given the circumstances. I also am a fixer and it is such my instinct to be proactive and try and assist and fix the problem which we all know doesn’t work unless the person wants to get better. Any advice on how to process, and mostly learn how to not worry so much about our siblings. Also maybe just more information on what’s appropriate to support them but not push them or become fixated on things.  Thank you in advanced. I know there is so much more to this story that is too much to share.  i appreciate everyone here.",We understand your concern and want you to know that we have some resources to assist you. You can always call our NEDA Helpline at 800.931.2237 M-TH 11am-9pm ET and F 11am-5pm ET. You can also visit our page geared toward helping you help a loved one https://www.nationaleatingdisorders.org/learn/help/caregivers which has tips on how to talk to your sister and encourage her to seek professional help.,"hey,
We're in pretty much the same boat. My sister is also 20, and we don't usually live together but quarantine has brought us both back from college to our parents house. I don't know if my parents are really aware that she struggles with this; she's had mental health issues in the past but she's never seen someone for eating disorder related things specifically as far as I know. I think I might only know about it because I pay attention (and sometimes she hints at it on social media). But the last couple weeks I've noticed it's getting worse. She doesn't eat all day until a she eats a smallish dinner (we eat dinner as a family, and I think she's trying to keep us from noticing). She also has taken up running, which scares me cause I know she's exercising on an empty stomach and that can be dangerous.
I don't know what to do! I'm kind of afraid to bring it up with her, I don't really know why. Maybe I'm afraid that she'll just hide from me more and will stop trusting me. I also don't want to tell my parents because I don't think they will deal with it well. I feel so stuck and scared and helpless. I'm also the kind of person who needs to fix things, and she's my younger sister so I will always feel very protective of her. I guess my first step is probably to talk to her about it but I'm afraid and overwhelmed. Ugh","hi guys. i am in the same boat as your sisters-- home from school with eating disorder struggles while trying to make sure no one notices or gets too concerned. i grew up watching my sister suffer from life threatening depression, and there is no worse feeling of hopelessness as you watch someone's mental health crumble. as far as EDs go, the best thing that you can do is just check in. not ""i noticed you aren't eating"" or ""please eat"" or anything drastic, just ask if something is up and if there is anything you can do. this is hard to hear but there is probably nothing you can say to get rid of disordered thoughts and behaviors, but encouraging to get help and even offer to keep the conversation confidential from parents. I am so nervous about concerning my parents, and if they aren't jumping at the idea to talk to a therapist the last thing you should do is bring parents into the conversation right at the jump. encourage professional help, ask what you can do, find out what is helpful by asking and know that you cannot fix them, but you can help them find a way to seek recovery :)","also-- expressing concern is nice but one of the worst ED thoughts i experience is wanting to keep things from everyone because you don't want to make the whole family's life worse with an ED. if my sister came to me and said ""i am worried about you and i am scared"" i would feel terrible for my actions affecting her emotions. definitely doesn't apply to everyone but just something to consider",,,,,,,,,
9,04/16/2020,Canpeopletrulyunderstand?,"I feel I've reached a breaking point in talking to friends about my sister's ED. But I also feel torn about my frustration with this - is it really fair to blame them for not understanding what I'm going through? Does anyone else feel this frustration?My sister is on her 5th hospital admission now and has been struggling for the last 10 years with this illness. Early on I was met with all of the classic unhelpful remarks, which I would try to take lightly. But I feel like those around me are now just tired of this situation and don't want to talk to me about it anymore. I'm constantly met with ""she's back in hospital again?"" and ""Is this still going on?"" (sadly those quotes are not exaggerations). It's not only just a lack of understanding of the illness but I think people find it hard, in general, to talk about illnesses that seemingly have no end or cure in sight. There is no silver lining they can try and comfort you with so instead they'd rather not talk about it at all. But I've got to the point where this frustration is causing me to end relationships and friendships as I find it so difficult to be around people that make these comments and have these misunderstandings. I know I should try and be more forgiving to them but in all honestly, I've run out of energy to do that. Part of me just thinks I should stop talking about this with friends all together and I am really lucky to have a great family support system who are so helpful. But not talking about it at all with people I am close to just seems impossible. This is part of my life, a very big part of my life and I just don't think I can just pretend it's not there and everything is fine. How can I move forwards with this?","It's hard when friends let you down. I came to a situation in which my friends let me down some time ago & decided to write them a letter, telling them the problems & that I was struggling to continue the friendship. If your friends' disinterest continues, maybe they aren't the best friends for you & it might be best to move on. It's a sad reality to face but there are plenty of people who are willing to listen to your problems regarding your sister & sympathise with them. Those people would be great friends for you. This forum is proof that there are caring people in the world. I wish you & your family well & hope you find some new good friends soon!","Thank you so much for your comment. It sounds strange, but in a way, it's comforting to know that others have had the same problems with their friends too. Having said that, I'm really sorry about your friends and I hope the letter helped the situation with them. I think it could be a good thing to try as I find talking to people quite intimidating sometimes. Thank you again for your kind and supportive words.","Ugh, it sucks to be alone with situations like this, but at the same time, if other people have not been through things like this themselves, it's a lot to expect them to understand it.Of course they want to ""say something"" but as you've seen, coming up with words that are helpful or understanding can be difficult for a lot of  people. My recommendation would be to not expect too much from your friends.  It's reasonable to want to talk about it with them, and hope that they'll be supportive, but on this particular topic, you've probably seen the extent to which  they want to engage (not much) so letting that be OK is probably going to be your best bet.If somehow they should find themselves involved in something like this in the future, you may see their tune change pretty quickly I think. , But yeah, I don't think you can expect much from people who don't really understand, which is a bummer, but probably just how things go, particularly if the folks you know aren't of the curious sort, or aren't naturally empathetic by nature. Good that you stopped in here though.  And I hope that you will in the future. And bummer that your sis is back in the hospital again.  It's good that she's safe of course, but it's gotta be wearing on her, as well as on the family I know.","Thank so much for your response and  I think you are very right! It is a lot to expect of people to understand such a complex disorder - but also to understand the complex ways families and friends of people with ED suffer too... I do feel my own mood and thoughts about it all change a lot too, sometimes I'm really angry, other times I feel very low and other times I can't really express how I feel. I can see that that can be a lot for someone with no experience of mental health to deal with.
I think you're right about trying to find peace with it too, and I think it is important to see the difference in intention when people are not wanting to engage vs trying to engage but not really understanding.
Thank you for your support! I appreciate it very much","Hi there. First, welcome. I am sorry that you have been dealing with friends who just don't understand and your sister dealing with an eating disorder. I am sure it isn't easy on you either. I know my sister's had trouble dealing with me and my struggles. It does seem that mental health issues are frowned upon more than medical but that is because they are so misunderstood. And often it takes a long time to heal from. They are so multifaceted. I encourage you to take care of yourself while you support your sister. Do you two talk?
I am sorry they seem to be putting you in a position of choosing them over her. It is painful to watch someone we love suffer when it seems ""enough"" time has passed. It has taken me a long time to get to where I am today. I wish I was completely in recovery. My roommate doesn't understand. She says things like, you have had enough therapy, you know what to do. I know she doesn't understand but it is still frustrating. NEDA has information on their web site that may be helpful for your friend's if they are willing to read.
I am glad you reached out. It must be scary for you to see how sick and how long your sister has been struggling and how her illness has perhaps overshadowed some of your needs. Please post again. iwanttolive","Thank you for your comment! Yes, me and my sister are very close and we talk all the time which I am really grateful for.... but I do think that can make it hard for people to understand too... obviously this illness can make her a difficult person to deal with sometimes and if I talk to my friends about that side of it they will say things like ""she's a nightmare"" and ""why do you do all this for her, she's not a good person"". That really hurts because even though the things she has done and put my family thought have been pretty bad but she is still my sister and I still love her very much. I think that complex relationship is really difficult for people who don't have experience of mental health to understand and can lead to those hurtful remarks.
I will always put my family over any other relationship and I think sometimes when I feel like I can't be friends with people anymore it's as much to protect my sister as it is to protect myself in a strange way... I just don't want people who say things like that to be anywhere near her.",,,,,,,
