,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,10/14/2021,ShoppingforNewWorkClothingisStressful,"Stores round here wont allow us customers to fit on clothes in their fitting rooms.I hate guessing whether an outfit, or pants will fit me correctly. I have already returned online outfits, especially pants. The size chart of online clothing is Not always accurate. So tonight I continue to online shop and order clothes. My retail job kind of has a uniform. I  wear scrub pants and we have an assigned polo shirt. My teaching job is the 1 that I am finding myself doing online shopping for. I have tons of tops in my closet. I am donating a bunch of my favorite dresses that I had never worn, but had saved as they were so lovely. Now I feel bad but hope that some lady will be able to appreciate my dresses. Tonight I am feeling anxious. I have not worked for 2 days in a row. Tomorrow and next day I work both jobs. I need to go take my pm Rx's or I shall never chill and will feel jittery all night. Take care everyone, and take 1 day at a time.","Hi 2Healthy4Me,
I'm so glad I came across your post sharing about the incredible difficulty in finding professional pants. I also have plenty of tops, but otherwise only jeans and capri leggings that are really comfortable. I have been out of work for 2-1/2 years and trying to find pants that truly fit, are a material my skin can tolerate, and are reasonably priced, has been overwhelming, and no success yet. The shame and unhappiness I feel about how my body carries extra weight and how that makes finding any pants that comfortably fit almost impossible is often overwhelming. When I did find a pair a while back, having them tailored to fit ended up being more expensive then the pants.
Yikes! I sure am venting here. I'm grateful to have found this site. Thank you for sharing.","Macy's has a plus women's department. The In Style Department has a line of soft stretchy jeans. This line of women's jeans are called, ""In Style."" I ordered a larger size but ended up overjoyed by the generosity of how stretchy the material fits. Now I may even fit in a size less. I hope that you explore some online shopping sites for plus size clothing. Just use their brands size chart and measure yourself for filling in the measurement blanks.It's fun shopping, beats staying home and eating...",,,,,,,,,
1,10/21/2021,Idon'tknowhowtostop!:(,"I am new to here, just signed up today! I am struggling so bad with binge eating at night and I have struggled on and off for about 5 years now. I have gained so much weight, as I had gained due to an injury 2 years ago and never lost that weight, then gained more during the Covid shut down and now more since June! I work so hard to eat healthy during the day and I used to be very active at my gym, but now just don't do anything, I am a slug! I eat a healthy dinner, then around 6ish, the kitchen calls me for more food. Then I feel horrible about myself and feel fat and ugly and ashamed and swear it's the last time and I do it all over again the next night.  I am so depressed and just lost. I don't know what to do! I do not have any insurance right now, so I can't seek counseling, I just don't know where to turn! :(","Hi Kiwiw_0423, welcome to the forums! We are happy to have you here and it's great that you are reaching out. You can check out the tab ""Help & Support"" and click on ""Low & Free Cost Support"" if you would like some resources. If you ever want to talk to someone or reach out, NEDA is here for you. You can call 800-931- 2237 or chat, https://www.nationaleatingdisorders.org/helplinechat  to discuss support options. Helpline phone hours are Monday-Thursday 11am-9pm ET, Friday 11am-5pm ET. Helpline chat hours are Monday-Thursday 9am-9pm ET, Friday 9am-5pm ET. We hope you find the support you are looking for and keep posting!  ","Thanks for sharing your story kiwi_0423. I am in the same boat as you. Pretty much identical. I can for the most part do well during the day with healthy eating choices and then something just switches at night and I get so ravenous. I'm not even actually hungry or thirsty. I just seem to snap. I have had issues with binge eating and secret eating since I was elementary age and I am now in my late 30s. This is my first time taking a real step towards getting help. Over the years I've briefly browsed websites about eating disorders, but that's about the extent of it. Me signing up on this site was a big deal for me. I also took another step of finding a virtual support group. As of yet, I haven't actually registered or signed up for a group session. Perhaps in time. Baby steps.We can both do this and we will. We are off to a good start! :-) ~Torah","It's difficult getting back on our feet after taking a mandatory recess while the rest of the world dies of Covid. I feel that I am lucky. I only get sick following vaccinations, but never had any signs of Covid so far, Thank God.Do you have any friends you can call and plan to go and do fun things with. Are you dating? What do you do to pass the day from AM to PM?Good luck in trying to reach out and go treat yourself to a mall-i-day. Most places are beginning to open up and some are even doing away w/ the face masks too.",,,,,,,,
2,10/31/2021,FeelingasFlatasaNewSurfboardToday,"So I just finished my weekend warrior job at my retail store. I don't return until next Friday. I am getting a Covid Booster tomorrow. There will be sooooo much tempting junk food on sale following the holiday for kids. I suppose I am feeling so excited that my mind is numbing me out to keep from freaking out and going bizerk over tons of sweets on sale the day I must go there for my Covid Booster. Tonight I am chilled and sitting at my lap top listening to retro 80's hits. I have my earbuds on music is blasting so don't have to acknowledge the evening trick or treaters running around after 2 yrs of no fun, for the kids, I mean...1 of my past boy friends would have loved going out on this night to a fright fest or something spooky, the others would have rather just stayed home and painted my toe nails. Now I have no boyfriend, just a house mate and it helps to not feel so by myself w/o a male partner in my life currently.I shopped earlier this afternoon for all healthy foods. I am trying to be self disciplined again as I was when I had more control over my body and eating habits. I fasted for most of the day. I don't want to eat when I don't feel hungry, that includes regular meals too. Well, that's it. I hope everyone is taking care and being gentle to yourselves.Bye",,,,,,,,,,,
3,10/29/2021,alternativetocaloriecounting,"i started recovery less than a month ago. in order to make sure i eat enough, ive been counting calories. (wouldn't do this if i was in touch with my hunger cues, but unfortunately i'm not.) however this often leads to fixation on food and i also find myself avoiding going over that number. i've tried a set number of meals and snacks a day, but it gives me anxiety. does anyone know any other ways to make sure you eat enough? thank you","Hi! Thank you for posting. We hope that you’re able to get the support you deserve here on the forums. When you get the chance, please take a look at our community guidelines here: https://www.nationaleatingdisorders.org/forums/community-guidelines If you’re looking for resources, please feel free to contact the Helpline at (800) 931-2237. Phones are open Monday-Thursday 11AM-9PM EST and Friday 11 AM-5PM EST. Our Click to Chat is open Monday-Thursday 9AM-9PM EST and Friday 9AM-5PM EST. You can click the chat now option at the top right hand corner! Please continue posting!",,,,,,,,,,
4,10/21/2021,Idon'treallyknowwhatIhave,"I've done alot of research and I'm fairly confident that I have ARFID, but from what I've learned people with ARFID don""t care about thier weight, and I do, up until i was 14-15 I was under a healthy weight, and when I finally got to a healthy weight, I convinced myself I was happy about it, but I think I was really just covering up the fact that I wasn't, now I'm 16 and I went to the doctor yesterday and they weighed me, and I didn't think I really cared that much about my weight but getting that number really messed with me, I haven't eaten anything since dinner last night all I've done is drink, and I really don't want to eat, but I'm confused, everything I read about ARFID says people with it don't care about thier weight or body shape,can I have ARFID but still care about my weight and body shape? Is it possible I have more than one ED?","Welcome to the forums! It's great that you are taking this step to share your experience. Eating disorders are different for everyone but you are not alone. We did want to mention that we edited your post to remove weight, which can be triggering for others. This violates our community guidelines, you can review them here. Keep posting!","It might not be the answer you were looking for, but I get it. I’ve never been diagnosed so I always thought I just had mild anorexia, but recently it seems a lot more like bulimia. But at the end of the day it literally does not matter. An eating disorder is an eating disorder. If food causes you distress, that’s not good. A diagnosis is very validating, but unfortunately it doesn’t do anything. At least in my experience. ED recovery is hard, and it goes the same for all EDs: stop behaviors, restore physical health, work on mental health, essentially. Idk if that helps.",,,,,,,,,
5,10/24/2021,UsingNeurofeedbacktogetbetter?,"I have the opportunity to use Neurofeedback and I am wondering if anyone has resources on how to make it help with ED recovery? I got a QEEG and it showed great cognitive functioning but very high anxiety, low serotonin despite being on an SSRI, some inflammation and some depression. The most significant was the anxiety/over-arousal. The doctor basically said that an eating disorder is an anxiety disorder. The thing is, I am already being treated for my anxiety and PTSD. I've tried many treatments and I just want to start to get better from my eating disorder! Does anyone know of any resources or articles, advice or personal experience to make Neurofeedback work for ED recovery?",,,,,,,,,,,
6,10/20/2021,Ifeeltrappedanddon'tknowhowtostop,"I have an eating disorder. I have always had body dysmorphia and have had bad thoughts about eating since I was young, but I was able to pretty much push those thoughts aside and maintain a normal eating lifestyle. It wasn't until sophomore year when I dropped a significant amount of weight (due to stressful situations) that my mindset changed. At first when I lost the weight I knew it was unhealthy so the summer after my sophomore year I worked on rebuilding my body and I ate normally and enjoyed exercising. That summer I had the healthiest relationship with food and my body, and it has been the last time I have ever had a healthy relationship with food. That was the summer of 2019. When returning to school, I was healthy at first, but then I had the constant desire to lose weight and be skinnier than all my friends. So I heavily restricted almost all foods and again I lost a vast amount of weight. I kept on my restriction until quarantine. When quarantine hit I told myself that it'd be really hard to restrict myself without going to school and being at home all day. During quarantine I would severely restrict myself and then binge and repeat. I am still stuck in the loop of restriction and binging and I want to change my brain so bad. I know that binging comes from restriction, but even when I'm not restricting my brain wants me to keep eating until I'm sick. I am just confused and looking for advice on how to change my mindset and lifestyle because my eating disorder has brainwashed me and has become a habit. If anyone has any helpful tips I would be more than happy to hear them.",,,,,,,,,,,
7,10/17/2021,forcedintorecovery,"i feel as if im being forced into recovery. like its being used as an ultimatum for anything and everything i want to do this year for school. i go to a out of area school and my moms friend thats a teacher brings me. she knows about my ed because shes in the same building as the counselor and the counselor told her. about a week ago i had a really bad headache and she asked my sister where i was and she told her i stayed home because i had a headache, she then proceeded to tell my sister and the counselor that if i dont get better she wont take me to school anymore. that absolutely broke me honestly. i hate that a mental illness is constantly brought up to me and held over my head for anything. my mom will be like ""if you dont eat ... you cant go ..."" like okay? i dont understand how this is trying to make me better. recovery is hard as it is and theyre honestly not making anything better at all. obviously im going to keep trying at recovery but its so hard","Yeah, the idea that people can be shamed or bullied or punished into getting better….you gotta wonder what school of psychology that comes from.",,,,,,,,,,
8,10/11/2021,Hi,I've been hiding food from my parents and sister's after someone passed away and I feel like something is wrong with me.,"Hi Gracey_, welcome to the forums. We’re glad you’re here. We are so sorry to hear about your loss. If you need assistance finding resources to support you, we encourage you to contact the NEDA Helpline at 800.931.2237 M-Th 11am-9pm ET and F 11am-5pm ET. Additionally, you can chat with us online M-Th 9am-9pm ET and F 9am-5pm ET. Please don’t hesitate to reach out and take care.",We all find different ways to cope with grief.  Try to be compassionate with yourself! Hopefully there is someone you can reach out to for support.,Thank you.,,,,,,,,
9,10/14/2021,NewherehowdoIsearchtheforum?,"I just joined the forum and am exploring it, but I do not see a search feature to be able to see if topics have been discussed before. Am I just overlooking it somewhere?","Welcome to the forums, we are glad you are here! There are many threads about different topics discussed throughout the forums so it's best to look in the category that would best fit what you are looking for. For example, if you're looking for ways to support your sibling, looking under ""Siblings of Sufferers"" and browse through the threads to find a topic that could help find what you need. It is also perfectly fine to start your own thread on a topic! ",Thank you.,,,,,,,,,
10,10/13/2021,"Idontknowwheretostartorifit'sa""thing""","I've spent the past few years in and out of every doctors office possible trying to get a diagnosis for why my body has suddenly revolted. I went from being an athlete and fun stay at home mom to barely able to lift my toddler and unable to work. I've been diagnosed with multiple autoimmune diseases as well as mitochondrial disease. I know my body needs more food to supply healing but I feel sick when I don't eat and sick when I do. I have to be on a restricted diet because my levels were toxic. I eat super clean but I also moderate food groups. I can get in my calories for the day and even then I feel overfill and sick. I'm so bloated and uncomfortable all the time. That's just the tip of the iceberg. I'm honestly afraid to try any sort of food because of how I may react and I don't want to feel worse. I have done different diets and food groups for years as well. No one has any answers. I want to get better. But I feel like my fear of food is out of control. It makes me SO SAD because I LOVE cooking and baking for my family, yet I eat none of it. I honesty just want my life back.","Welcome to the forums Magelle17! NEDA is here for you and it's great that you are sharing. We did want to let you know that we edited your post to remove specific diets, food grouos and calories, which can be triggering for others. This violates our community guidelines where you can check them out here. Keep posting!",I'm so sorry!! Thank you,,,,,,,,,
11,10/09/2021,Simplemealideas?,"This is my first time posting on a forum like this, I'm really nervous to submit this but I'd really appreciate some help or feedback or even some kind words.I struggled with bulimia for a couple years in college. It started with dieting and counting calories until it progressed to throwing up almost all day long, everyday. I was always hungry and the only thing I could think about was what food I was going to eat next and how I would purge. I tried stopping at various times, but could never quite fully pull myself out of the hole I dug around me. I dated a few guys in that time and each time they found out, they were really angry with me and the relationship would end shortly after. I felt like a ticking time bomb.One day I started dating the guy of my dreams, a guy I had a crush on since I was 14 and it turned out he liked me the whole time too. I decided to fully quit bulimia. Of course I had some slip-ups in the first week of trying, but eventually I stopped puking. I had to learn how to eat fast and sugary food again without feeling sick. I had to learn how much food was a normal amount because I hadn't felt full in years. The first time I felt full and let myself digest my food I cried because it had been so long since I felt 'normal'.I started recovery on my own, but after I felt confident eating and digesting food I eventually told my boyfriend and he was perfectly wonderful about it. I had to teach him my needs, but he never made me feel bad. By the way, he lives in Massachusetts and I live in Texas. He FaceTimed me for every meal and told me I was beautiful and perfect every single time I started worrying about my weight.Over the summer I got a job in Massachusetts and lived with him in a tiny room in a house he shared with 4 guys. It was hard at first and there was even a time I almost gave up because he didn't understand I needed to eat at the same time everyday because otherwise I wouldn't eat at all. We talked it out and developed a plan. It ended up working out and I got used to living with the perfect, most loving, caring person.Summer ended and I had to go back to Texas for my last semester of college. I'm doing well in my classes because I don't skip and I always get my work done, but I'm struggling with eating again. For some reason almost all food looks gross to me. I don't think I'm eating nearly as much as I should be even though I'm really trying. I was really happy with my weight, but now I'm almost back to my high school weigh. I've never really struggled with anorexia before, but that seems to be my new problem. I'm not sure if it's because I'm sad from missing my boyfriend or scared of food because of my past relationship with it, but something's definitely wrong. I used to always be hungry and now I never am. Yesterday I felt sick while sitting at my computer, so I stood up and my vision went black at the edges. I crumpled to the floor and dropped everything in my hands and waited on the floor in the fetus position for the feeling to go away. I ended up taking a nap and ordering food for dinner and then sleeping very early. I feel alright now, but a little shaken. I think I'll feel better if I get back into a routine of eating at the same times everyday, but I've never been a very good cook and usually just ate microwavable meals. The problem is that type of food just looks gross to me now. I was hoping some of you might have some simple, fresh meal ideas for a recovering bulimic/possible anorexic that I could make easily. The less complex the better. Thank you for reading, sorry it's long.","Hi braviary18, welcome to the forums. We are glad that you reached out for some advice and support. However, the NEDA Community Guidelines do not allow discussion for nutritional advice. We slightly edited your post to remove specific weight numbers. Thanks for your understanding and please continue to post!  ","I can relate to you so much I actually had to drop my classes this semester because I was getting to overwhelmed with School, my daughter, my health and looking for a place. I have alarms set to help me eat that way I dont feel like I have to rely on my man to tell me. This transforms from being dependent on him to being independent and reaching recovery for myself. I also use supplement to help me get the nutrients protein and anything else I may not be getting enough of from meals. (sometimes I miss meals because I tend to overwork myself)im not the best cook either I like to use Pinterest for some recipes and cook books but you can always make your own cook book with your favorite dishes you find from Pinterest.no im going to take my own advice and try to us it for myself cause I've been going through the same thing.I hope this helps! <3you got this I believe in you and you are not alone in this.","Dear ilostmyself.98, We would like to inform you that we edited your post to remove the nutritional advice. As per our community guidelines, any kind of advice is not allowed on the forums. Thanks for your understanding and please continue to post!   ",,,,,,,,
